energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.89548570407972,2.89548570407972,2.89548570407972,0.0,0.0,0.0,2.89548570407972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1496
0.0157,2.895488906319512,2.895488906319512,2.895488906319512,0.0,0.0,0.0,2.895488906319512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0315,2.895498594853262,2.895498594853262,2.895498594853262,0.0,0.0,0.0,2.895498594853262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0472,2.895514647335278,2.895514647335278,2.895514647335278,0.0,0.0,0.0,2.8955146473352777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.063,2.895537268750117,2.895537268750117,2.895537268750117,0.0,0.0,0.0,2.895537268750117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0787,2.8955661734372393,2.8955661734372393,2.8955661734372393,0.0,0.0,0.0,2.8955661734372398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,2.895601730499521,2.895601730499521,2.895601730499521,0.0,0.0,0.0,2.895601730499521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1102,2.895643490926756,2.895643490926756,2.895643490926756,0.0,0.0,0.0,2.8956434909267563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1259,2.895691660627377,2.895691660627377,2.895691660627377,0.0,0.0,0.0,2.8956916606273766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1417,2.8957466092612814,2.8957466092612814,2.8957466092612814,0.0,0.0,0.0,2.895746609261282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
