energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.55872272214566,2.55872272214566,2.373609889725109,0.0,0.0,0.0,2.497018444672143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0956
0.0159,2.5587248152434627,2.5587248152434627,2.3736115686233377,0.0,0.0,0.0,2.497020399703421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0319,2.558731147325344,2.558731147325344,2.3736166476547726,0.0,0.0,0.0,2.49702631410182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0478,2.5587416393866307,2.5587416393866307,2.3736250634324287,0.0,0.0,0.0,2.4970361140685635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0637,2.5587563180811985,2.5587563180811985,2.373636837308402,0.0,0.0,0.0,2.4970498244902664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0796,2.5587751837486934,2.5587751837486934,2.3736519695169287,0.0,0.0,0.0,2.4970674456714383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0956,2.558798395065396,2.558798395065396,2.373670587282577,0.0,0.0,0.0,2.497089125804456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1115,2.5588256624264623,2.5588256624264623,2.373692458253342,0.0,0.0,0.0,2.4971145943687554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1274,2.5588571183652067,2.5588571183652067,2.373717688663338,0.0,0.0,0.0,2.4971439751312503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1434,2.5588930010521294,2.5588930010521294,2.373746469461673,0.0,0.0,0.0,2.497177490521977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1593,2.5589328627834496,2.5589328627834496,2.3737784414605727,0.0,0.0,0.0,2.4972147223424908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1752,2.558976915574144,2.558976915574144,2.373813774610008,0.0,0.0,0.0,2.4972558685860986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1911,2.5590251604443113,2.5590251604443113,2.3738524696133734,0.0,0.0,0.0,2.497300930167332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2071,2.5590779415821587,2.5590779415821587,2.37389480239702,0.0,0.0,0.0,2.4973502285204456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.223,2.5591346004448594,2.5591346004448594,2.3739402446432765,0.0,0.0,0.0,2.4974031485109984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2389,2.5591954550399825,2.5591954550399825,2.373989051261981,0.0,0.0,0.0,2.497459987113982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2549,2.5592609291929973,2.5592609291929973,2.3740415620025255,0.0,0.0,0.0,2.4975211401295065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2708,2.5593302059932213,2.5593302059932213,2.3740971215258577,0.0,0.0,0.0,2.4975858445041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2867,2.5594036830603697,2.5594036830603697,2.3741560485474658,0.0,0.0,0.0,2.4976544715560682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3026,2.559481362098665,2.559481362098665,2.374218344241955,0.0,0.0,0.0,2.497727022813095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3186,2.5595637732031182,2.5595637732031182,2.3742844335093194,0.0,0.0,0.0,2.4978039933051854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3345,2.5596498881455423,2.5596498881455423,2.374353491550405,0.0,0.0,0.0,2.4978844226138297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3504,2.5597402107732035,2.5597402107732035,2.3744259222022217,0.0,0.0,0.0,2.497968781249543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3664,2.5598353510533736,2.5598353510533736,2.3745022143494325,0.0,0.0,0.0,2.4980576388187266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
