energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0422600253100707,3.007580735567582,3.034665229522465,0.0,0.0,0.007592435060071662,3.028168663466706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2205
0.0154,3.0422642128490733,3.0075844763905444,3.0346694773408385,0.0,0.0,0.007592302895676449,3.028172722193485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0308,3.042276775616572,3.0075956989786587,3.0346822209513005,0.0,0.0,0.0075919063907284225,3.0281848985155104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0463,3.0422978773998013,3.0076145496002846,3.034703626507138,0.0,0.0,0.007591240354449878,3.0282053511690745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0617,3.0423272466752804,3.0076407856217613,3.034733418589815,0.0,0.0,0.007590313321637807,3.028233816962285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0771,3.042364993444674,3.007674505203133,3.034771708803636,0.0,0.0,0.007589121771178006,3.0282704024838143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0925,3.0424111190647887,3.0077157094192724,3.0348184985495164,0.0,0.0,0.007587665596993263,3.028315109011192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.108,3.0424660065199745,3.0077647402197916,3.0348741763568765,0.0,0.0,0.007585932629085206,3.0283683076988805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1234,3.0425289495563153,3.0078209665108515,3.0349380258377714,0.0,0.0,0.007583945074175592,3.0284293139683123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,3.0426002773384404,3.0078846821066265,3.035010380937432,0.0,0.0,0.007581692434550151,3.0284984467941665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1542,3.0426799924318226,3.0079558890392892,3.0350912443047013,0.0,0.0,0.007579174509538355,3.0285757085919376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1697,3.0427686972407897,3.0080351251161166,3.0351812270753777,0.0,0.0,0.0075763721323644844,3.028661683144095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1851,3.0428652503756557,3.008121370461646,3.0352791714735954,0.0,0.0,0.007573321213240543,3.028755264103632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2005,3.0429702003565384,3.0082151146963945,3.0353856339843124,0.0,0.0,0.0075700042626316915,3.0288569830124152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
