energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.838263743414785,4.950264657950605,4.8111859378353605,0.0,0.0,0.0,4.8665714464002505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4751999999999996
0.0156,4.838284577368455,4.950285961058865,4.811206258629793,0.0,0.0,0.0,4.866592265685704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0311,4.8383465480006755,4.950349327162408,4.811266702848569,0.0,0.0,0.0,4.866654192670551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0467,4.838450461338188,4.950455580348221,4.811368056603321,0.0,0.0,0.0,4.866758032763244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0623,4.838596061863876,4.950604459194307,4.811510070567355,0.0,0.0,0.0,4.866903530541846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,4.838782031115399,4.9507946153443765,4.811691458613847,0.0,0.0,0.0,4.867089368357874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0934,4.839010787931001,4.951028521823417,4.811914579809715,0.0,0.0,0.0,4.867317963188045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.109,4.83928128983135,4.951305112347601,4.8121784171278446,0.0,0.0,0.0,4.867588273102265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1246,4.8395935647858686,4.951624415121746,4.812482997579269,0.0,0.0,0.0,4.867900325828962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1401,4.839945242145527,4.951984005703608,4.812826008626769,0.0,0.0,0.0,4.868251752158635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1557,4.84034089612291,4.952388560717635,4.8132119114105105,0.0,0.0,0.0,4.868647122750352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1713,4.840778432837883,4.952835938585354,4.813638663251521,0.0,0.0,0.0,4.869084344891586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1868,4.841254690519484,4.953322905805804,4.814103179894277,0.0,0.0,0.0,4.869560258739855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2024,4.8417758638801,4.9538557956914735,4.814611502858007,0.0,0.0,0.0,4.870081054143193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.218,4.842339068826936,4.954431658520797,4.815160818623154,0.0,0.0,0.0,4.870643848656962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2335,4.842940349611929,4.955046448853136,4.815747268457874,0.0,0.0,0.0,4.871244688974312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2491,4.843587527300221,4.955708162588446,4.816378479911927,0.0,0.0,0.0,4.871891389933531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2647,4.844276925008637,4.956413039260278,4.817050866134805,0.0,0.0,0.0,4.87258027680124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2802,4.845003789433488,4.957156217877618,4.817759790461917,0.0,0.0,0.0,4.873306599257674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
