energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4983943738732624,3.4983943738732624,3.3971554710858207,0.0,0.0,0.0,3.464648072944115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.207999999999999
0.0159,3.49840031185546,3.49840031185546,3.3971610278978295,0.0,0.0,0.0,3.4646538838695826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0318,3.4984181260406,3.4984181260406,3.3971776985555984,0.0,0.0,0.0,3.464671316878933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0477,3.4984478171443234,3.4984478171443234,3.397205483724245,0.0,0.0,0.0,3.4647003726709635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0636,3.4984893863594504,3.4984893863594504,3.3972443845124523,0.0,0.0,0.0,3.464741052410451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0795,3.498542835356106,3.498542835356106,3.397294402472562,0.0,0.0,0.0,3.464793357728258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0954,3.498608166281998,3.498608166281998,3.397355539600719,0.0,0.0,0.0,3.4648572907215716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1113,3.498685381762572,3.498685381762572,3.397427798337156,0.0,0.0,0.0,3.4649328539540996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1273,3.4987750829234496,3.4987750829234496,3.3975117411988016,0.0,0.0,0.0,3.4650206356819004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1432,3.49887615210247,3.49887615210247,3.3976063222480946,0.0,0.0,0.0,3.4651195421510117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1591,3.4989891166096534,3.4989891166096534,3.397712034919093,0.0,0.0,0.0,3.465230089379466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.175,3.499113980988241,3.499113980988241,3.397828883434577,0.0,0.0,0.0,3.465352281803686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1909,3.499250750261429,3.499250750261429,3.3979568724633333,0.0,0.0,0.0,3.4654861243287307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2068,3.499399429932886,3.499399429932886,3.3980960071207553,0.0,0.0,0.0,3.465631622328843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2227,3.4995600259874395,3.4995600259874395,3.398246292969468,0.0,0.0,0.0,3.4657887816481154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2386,3.49973254489178,3.49973254489178,3.398407736019968,0.0,0.0,0.0,3.465957608601176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2545,3.499916993595242,3.499916993595242,3.3985803427312913,0.0,0.0,0.0,3.4661381099739246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2704,3.5001133795306467,3.5001133795306467,3.3987641200118897,0.0,0.0,0.0,3.4663302930243947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2863,3.500321710615113,3.500321710615113,3.3989590752203664,0.0,0.0,0.0,3.4665341654835307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3022,3.5005419952510866,3.5005419952510866,3.399165216166371,0.0,0.0,0.0,3.4667497355561814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3181,3.500774242327296,3.500774242327296,3.399382551111538,0.0,0.0,0.0,3.4669770119220433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.334,3.5010184612198136,3.5010184612198136,3.3996110887704742,0.0,0.0,0.0,3.4672160037367004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3499,3.5012746617932087,3.5012746617932087,3.399850838311794,0.0,0.0,0.0,3.467466720632737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3658,3.5015428544016785,3.5015428544016785,3.4001018093592283,0.0,0.0,0.0,3.467729172720862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3818,3.5018248501321074,3.5018248501321074,3.400365696629537,0.0,0.0,0.0,3.468005132297917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3977,3.502117135436208,3.502117135436208,3.400639212126036,0.0,0.0,0.0,3.468291160999484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4136,3.5024214468645294,3.5024214468645294,3.400923980812811,0.0,0.0,0.0,3.4685889581806233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4295,3.50273779674599,3.50273779674599,3.4012200141489357,0.0,0.0,0.0,3.4688985358803053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4454,3.503066197905938,3.503066197905938,3.4015273240549417,0.0,0.0,0.0,3.4692199066222726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4613,3.50340666366771,3.50340666366771,3.4018459229141786,0.0,0.0,0.0,3.469553083416533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4772,3.5037592078542663,3.5037592078542663,3.402175823574363,0.0,0.0,0.0,3.469898079760965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4931,3.5041238447898095,3.5041238447898095,3.4025170393491058,0.0,0.0,0.0,3.4702549096429087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.509,3.504500589301517,3.504500589301517,3.4028695840195122,0.0,0.0,0.0,3.470623587540849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5249,3.5048894567213638,3.5048894567213638,3.403233471835834,0.0,0.0,0.0,3.471004128426187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5408,3.505290462887953,3.505290462887953,3.403608717519205,0.0,0.0,0.0,3.471396547765037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5567,3.505703624148453,3.505703624148453,3.4039953362634443,0.0,0.0,0.0,3.471800861520117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5726,3.5061289573605285,3.5061289573605285,3.404393343736857,0.0,0.0,0.0,3.472217086152638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
