energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5254057997084374,3.4639335748848756,3.530047642115541,0.0,0.0,0.0,3.5064623389029514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.102600000000001
0.0243,3.525419315505033,3.463946419648805,3.53006110699729,0.0,0.0,0.0,3.5064756140503754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0486,3.5254598641313026,3.4639849550753583,3.5301015028637366,0.0,0.0,0.0,3.506515440690132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0729,3.5255274492970146,3.4640491845693,3.53016883337885,0.0,0.0,0.0,3.5065818224150553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0972,3.525622077186223,3.464139113806086,3.5302631046502815,0.0,0.0,0.0,3.5066747652141967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1215,3.5257437564588696,3.4642547507334913,3.5303843252310454,0.0,0.0,0.0,3.506794277474469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1458,3.5258924982532274,3.4643961055735595,3.5305325061217885,0.0,0.0,0.0,3.5069403699828587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1701,3.5260683161887796,3.4645631908252583,3.530707660773654,0.0,0.0,0.0,3.507113055929231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1944,3.526271226369892,3.464756021267678,3.5309098050919165,0.0,0.0,0.0,3.5073123509098285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2187,3.5265012473902,3.4649746139638595,3.531138957440228,0.0,0.0,0.0,3.5075382729314293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.243,3.5267584003374806,3.4652189882652054,3.531395138645428,0.0,0.0,0.0,3.507790842416038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2673,3.5270427087994514,3.465489165816477,3.531678372003221,0.0,0.0,0.0,3.5080700822063826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2916,3.527354198870011,3.4657851705612956,3.5319886832842404,0.0,0.0,0.0,3.5083760175718486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3159,3.5276928991563477,3.466107028748465,3.532326100741023,0.0,0.0,0.0,3.5087086762152784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3401,3.5280572789874522,3.4664532848317546,3.532689099239859,0.0,0.0,0.0,3.5090665543530215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3644,3.528450383303878,3.4668268312011192,3.5330807118889855,0.0,0.0,0.0,3.5094526421313272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3887,3.528870798663458,3.4672263235193643,3.5334995302894763,0.0,0.0,0.0,3.5098655508241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.413,3.5293185637999014,3.4676517973200527,3.533945592693331,0.0,0.0,0.0,3.5103053179377617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4373,3.529793720005548,3.468103290481917,3.534418939878952,0.0,0.0,0.0,3.5107719834554723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4616,3.530296311142695,3.468580843238625,3.534919615162089,0.0,0.0,0.0,3.511265589847803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4859,3.5308263836553975,3.46908449818938,3.53544766440747,0.0,0.0,0.0,3.5117861820840823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5102,3.5313839865822114,3.469614300309948,3.5360031360412827,0.0,0.0,0.0,3.5123338076444806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5345,3.531969171569489,3.470170296964485,3.5365860810642014,0.0,0.0,0.0,3.5129085165327254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5588,3.5325819928855133,3.470752537917875,3.537196553065231,0.0,0.0,0.0,3.51351036128954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5831,3.5332225074353536,3.471361075348861,3.5378346082361656,0.0,0.0,0.0,3.5141393970067933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6074,3.533890774776474,3.4719959638637614,3.5385003053869735,0.0,0.0,0.0,3.514795681342403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6317,3.5345868571350967,3.4726572605108403,3.5391937059618157,0.0,0.0,0.0,3.515479274535918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.656,3.5353108194233642,3.473345024795351,3.539914874055731,0.0,0.0,0.0,3.5161902394248155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6803,3.536062729257178,3.4740593186954176,3.5406638764322964,0.0,0.0,0.0,3.5169286414616305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7046,3.536842656975078,3.474800206678255,3.541440782541865,0.0,0.0,0.0,3.5176945487317326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7289,3.5376506756575576,3.475567755717516,3.5422456645407183,0.0,0.0,0.0,3.5184880319719305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7532,3.5384868611475664,3.476362035311083,3.5430785973109304,0.0,0.0,0.0,3.5193091645898598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7775,3.5393512920715806,3.4771831174996106,3.5439396584811127,0.0,0.0,0.0,3.5201580226841016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8018,3.540244049861553,3.4780310768859164,3.544828928447941,0.0,0.0,0.0,3.521034685065137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8261,3.541165218777922,3.478905990654905,3.5457464903984626,0.0,0.0,0.0,3.5219392332770965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8504,3.5421148859331275,3.479807938594521,3.5466924303333665,0.0,0.0,0.0,3.5228717516203383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8747,3.5430931413163322,3.4807370031172216,3.5476668370909805,0.0,0.0,0.0,3.5238323271748446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.899,3.544100077818803,3.481693269282367,3.5486698023722902,0.0,0.0,0.0,3.524821049824487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9233,3.5451357912604258,3.4826768248192863,3.54970142076662,0.0,0.0,0.0,3.525838012282111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9476,3.546200380416846,3.4836877601513434,3.5507617897785297,0.0,0.0,0.0,3.5268833101155734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9718,3.54728938725282,3.484721838709694,3.5518464682081485,0.0,0.0,0.0,3.527952564723554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9961,3.548411916232672,3.4857877021502905,3.5529645233982063,0.0,0.0,0.0,3.5290547139270565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0204,3.5495636348268307,3.4868812326597802,3.5541116390471803,0.0,0.0,0.0,3.5301855021779303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0447,3.55074465391378,3.488002531681745,3.5552879245934847,0.0,0.0,0.0,3.53134503672967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.069,3.5519550874787504,3.489151703485793,3.5564934925382024,0.0,0.0,0.0,3.5325334278342484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0933,3.5531950526468656,3.490328855196704,3.557728458477632,0.0,0.0,0.0,3.533750788773734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1176,3.554464669717359,3.491534096824333,3.5589929411368177,0.0,0.0,0.0,3.5349972358928365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1419,3.5557640621990685,3.492767541294528,3.5602870624040235,0.0,0.0,0.0,3.5362728886325403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1662,3.5570933568466976,3.494029304480986,3.561610947366431,0.0,0.0,0.0,3.537577869564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1905,3.558452683698416,3.495319505238047,3.5629647243468243,0.0,0.0,0.0,3.5389123044277624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2148,3.5598421761145715,3.496638265434461,3.5643485249414018,0.0,0.0,0.0,3.540276322163478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2391,3.561261970817536,3.497985709988248,3.5657624840587743,0.0,0.0,0.0,3.541670054954853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2634,3.562712207932672,3.499361966902396,3.5672067399600174,0.0,0.0,0.0,3.5430936382650287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2877,3.564193031030684,3.50076716730183,3.5686814343000774,0.0,0.0,0.0,3.5445472108775307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.312,3.5657045871710555,3.502201445471366,3.570186712170168,0.0,0.0,0.0,3.5460309149375298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3363,3.5672470269468666,3.5036649388945937,3.571722722141707,0.0,0.0,0.0,3.5475448959943896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3606,3.568820504530817,3.505157788294189,3.5732896163111243,0.0,0.0,0.0,3.5490893030453763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3849,3.5704251777226483,3.506680137673125,3.574887550346375,0.0,0.0,0.0,3.550664288580716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4092,3.57206120799795,3.508232134357144,3.5765166835344955,0.0,0.0,0.0,3.5522700086298635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4335,3.5737287605582564,3.509813929038359,3.578177178830596,0.0,0.0,0.0,3.553906622809071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4578,3.575428004382708,3.511425675820223,3.5798692029083923,0.0,0.0,0.0,3.555574294370441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4821,3.577159112280995,3.5130675322635545,3.58159292621186,0.0,0.0,0.0,3.5572731902521366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5064,3.578922260948051,3.514739659434073,3.5833485230086453,0.0,0.0,0.0,3.5590034811302567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5307,3.5807176310200335,3.5164422219509537,3.585136171444792,0.0,0.0,0.0,3.5607653414719267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.555,3.582545407132011,3.5181753880370525,3.586956053601067,0.0,0.0,0.0,3.5625589495900436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5793,3.5844057779772904,3.5199393295702293,3.588808355550878,0.0,0.0,0.0,3.5643844876994657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6036,3.586298936368254,3.5217342221362533,3.5906932674196765,0.0,0.0,0.0,3.566242141974728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6278,3.5882170849219452,3.523552666546302,3.59260302412118,0.0,0.0,0.0,3.5681242585298087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6521,3.5901762766477567,3.525409873796948,3.5945536064949444,0.0,0.0,0.0,3.5700465856465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6764,3.592168858851537,3.527298580857801,3.5965373932540827,0.0,0.0,0.0,3.5720016109878068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7007,3.5941950414480663,3.5292189786878674,3.5985545913433175,0.0,0.0,0.0,3.5739895371597505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.725,3.5962550388020085,3.531171262240508,3.6006054120823303,0.0,0.0,0.0,3.576010571041616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7493,3.5983490697997045,3.533155630525444,3.6026900712358847,0.0,0.0,0.0,3.5780649238536775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7736,3.600477357923051,3.5351722866726667,3.6048087890857503,0.0,0.0,0.0,3.580152811227156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7979,3.6026401313253213,3.537221437997788,3.606961790504758,0.0,0.0,0.0,3.582274453275956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8222,3.6048376229090593,3.539303296069432,3.6091493050328434,0.0,0.0,0.0,3.584430074670445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8465,3.607070070406258,3.5414180767782684,3.6113715669551523,0.0,0.0,0.0,3.5866199047132263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8708,3.609337716460652,3.5435660004080387,3.6136288153823317,0.0,0.0,0.0,3.5888441774170077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
