energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.6183883604610045,3.605754408573159,3.6083642064405783,0.0,0.0,0.0,3.6108356584915806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0440000000000005
0.0142,3.6183970263574907,3.6057639444719984,3.608373062132698,0.0,0.0,0.0,3.6108446776540624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0284,3.618423024719228,3.6057925531157204,3.6083996300127974,0.0,0.0,0.0,3.610871735949249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0427,3.618466724198002,3.6058406408014503,3.608444287164043,0.0,0.0,0.0,3.6109172173878314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0569,3.6185275169991242,3.605907539746629,3.608506413060285,0.0,0.0,0.0,3.6109804899353457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0711,3.6186056523913432,3.6059935257056277,3.608586263251618,0.0,0.0,0.0,3.611061813782863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0853,3.6187011364403303,3.6060986072276013,3.6086838449916145,0.0,0.0,0.0,3.611161196219849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0995,3.6188139765611784,3.606222794765152,3.608799167148478,0.0,0.0,0.0,3.611278646158269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1138,3.6189451600544045,3.606367177700037,3.6089332403135757,0.0,0.0,0.0,3.611415192689339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.128,3.619092862370768,3.606529751053422,3.6090842015222173,0.0,0.0,0.0,3.6115689383154694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1422,3.619257951209397,3.6067114733655563,3.609252939577248,0.0,0.0,0.0,3.6117407880507337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1564,3.6194404394177515,3.606912362763709,3.609439469854469,0.0,0.0,0.0,3.6119307573453105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1706,3.6196403412071976,3.6071324393060253,3.609643809365934,0.0,0.0,0.0,3.6121388632930524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1848,3.619857672157222,3.6073717249891244,3.609865976766188,0.0,0.0,0.0,3.6123651246375115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1991,3.620094164484737,3.6076321325705982,3.610107745948972,0.0,0.0,0.0,3.612611347668102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2133,3.620346529046915,3.6079100460453812,3.610365757622227,0.0,0.0,0.0,3.6128741109048406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2275,3.6206163779074423,3.608207246573471,3.6106416632448224,0.0,0.0,0.0,3.6131550959085783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2417,3.6209037321770636,3.608523764011799,3.6109354881260667,0.0,0.0,0.0,3.6134543281049765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2559,3.6212086143612545,3.608859630205853,3.6112472592573206,0.0,0.0,0.0,3.6137718346081424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2702,3.621533381325456,3.6092174495673386,3.6115793912861878,0.0,0.0,0.0,3.6141100740596612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2844,3.6218735163432334,3.6095922537082945,3.611927269579871,0.0,0.0,0.0,3.6144643465437998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2986,3.6222312554215406,3.6099865144752306,3.6122931855242384,0.0,0.0,0.0,3.6148369851403364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3128,3.622606626724828,3.6104002718146146,3.612677172956071,0.0,0.0,0.0,3.615228023831838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.327,3.6229996598494187,3.610833567731917,3.613079267449973,0.0,0.0,0.0,3.6156374983437694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3413,3.6234133410826064,3.6112897051407558,3.613502530190607,0.0,0.0,0.0,3.616068525471323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3555,3.623841917355827,3.6117623509497334,3.6139410807456755,0.0,0.0,0.0,3.616515116350412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3697,3.6242882531649103,3.6122546742245296,3.614397855942492,0.0,0.0,0.0,3.616980261110644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3839,3.6247523839362175,3.6127667253962703,3.614872898457893,0.0,0.0,0.0,3.617464002596794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3981,3.6252343465764656,3.613298557047175,3.615366252779393,0.0,0.0,0.0,3.6179663854676782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4123,3.625734179483694,3.6138502239317556,3.6158779652217325,0.0,0.0,0.0,3.618487456212394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4266,3.626255632242223,3.6144258787379813,3.6164118825598845,0.0,0.0,0.0,3.6190311311800296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4408,3.626791453471183,3.615017529871814,3.6169605877418216,0.0,0.0,0.0,3.619589857028273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.455,3.6273452695351263,3.6156291942035765,3.617527801504226,0.0,0.0,0.0,3.620167421747643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4692,3.627917124928973,3.6162609354246493,3.618113577667553,0.0,0.0,0.0,3.6207638793403922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4834,3.628507065701796,3.6169128195199804,3.618717971975133,0.0,0.0,0.0,3.6213792857323033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4977,3.6291194860947664,3.6175897196942066,3.619345496296108,0.0,0.0,0.0,3.62201823402836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5119,3.629745870282995,3.6182822398909202,3.6199874340788387,0.0,0.0,0.0,3.622671848084251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5261,3.63039048783052,3.618995115480136,3.6206481694345056,0.0,0.0,0.0,3.6233445909150546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5403,3.6310533911616276,3.6197284219232833,3.621327766036777,0.0,0.0,0.0,3.624036526373896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5545,3.6317346343311248,3.620482237123956,3.622026289599077,0.0,0.0,0.0,3.6247477203513863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5688,3.632439265438783,3.621262168215679,3.622748928364989,0.0,0.0,0.0,3.6254834540064835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.583,3.6331574872145156,3.6220573904567113,3.623485645789238,0.0,0.0,0.0,3.626233507820155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5972,3.633894221370742,3.6228733707699483,3.6242415003336257,0.0,0.0,0.0,3.627003030824772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6114,3.6346495286720875,3.6237101971924623,3.625016566157439,0.0,0.0,0.0,3.627792097340663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6256,3.635423471604798,3.624567960383507,3.6258109196008705,0.0,0.0,0.0,3.6286007838630585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6399,3.6362217628520717,3.6254530171470907,3.6266304384973767,0.0,0.0,0.0,3.62943507283218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6541,3.6370333038859166,3.6263530856665636,3.6274637423241822,0.0,0.0,0.0,3.6302833772922205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6683,3.6378636790275576,3.627274379779878,3.6283165767885963,0.0,0.0,0.0,3.6311515451986778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6825,3.6387129578703545,3.6282170010712047,3.629189027295772,0.0,0.0,0.0,3.6320396620791104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6967,3.639581211836888,3.629181053963119,3.6300811816002714,0.0,0.0,0.0,3.6329478158000925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7109,3.640468514202609,3.6301666457645254,3.630993129843766,0.0,0.0,0.0,3.633876096603634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7252,3.641381391393718,3.6311810569996568,3.6319315975500124,0.0,0.0,0.0,3.6348313486477957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7394,3.6423071534119957,3.632210214007522,3.6328835548969116,0.0,0.0,0.0,3.63580030743881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7536,3.6432521955844717,3.633261250505749,3.633855592019079,0.0,0.0,0.0,3.6367896793697665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7678,3.6442165988642596,3.6343342858861516,3.634847809024907,0.0,0.0,0.0,3.6377995645917722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.782,3.6452004461876792,3.6354294426944236,3.635860308617615,0.0,0.0,0.0,3.6388300658332398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7963,3.6462109579868116,3.636554794922748,3.636900542545727,0.0,0.0,0.0,3.639888765151762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8105,3.647234088737572,3.6376947331828062,3.637954070759878,0.0,0.0,0.0,3.640960964226752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8247,3.6482769251655807,3.638857180979628,3.6390282064971538,0.0,0.0,0.0,3.6420541042141203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8389,3.649339558450157,3.6400422741136897,3.640123063335852,0.0,0.0,0.0,3.643168298633233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8531,3.6504220819062247,3.641250151858606,3.641238757695962,0.0,0.0,0.0,3.644303663820264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
