energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.028690149590906,3.028690149590906,3.004133455565317,0.0,0.0,0.0,3.0205045849157095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9299999999999997
0.0145,3.0286954448806305,3.0286954448806305,3.00413847231438,0.0,0.0,0.0,3.020509787358547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0291,3.028711477397746,3.028711477397746,3.004153661497072,0.0,0.0,0.0,3.020525538764188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0436,3.0287380284686,3.0287380284686,3.0041788159466276,0.0,0.0,0.0,3.0205516242946095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0582,3.028775465913465,3.028775465913465,3.0042142841428285,0.0,0.0,0.0,3.020588405323253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0727,3.0288232791091936,3.0288232791091936,3.004259582332011,0.0,0.0,0.0,3.020635380183466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0872,3.028881690782642,3.028881690782642,3.0043149215383953,0.0,0.0,0.0,3.020692767701226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1018,3.0289512171765125,3.0289512171765125,3.0043807908666875,0.0,0.0,0.0,3.020761075073237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1163,3.029030909997792,3.029030909997792,3.004456291922873,0.0,0.0,0.0,3.020839370639486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1308,3.029121213625115,3.029121213625115,3.0045418457333923,0.0,0.0,0.0,3.020928090994541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1454,3.029222866296352,3.029222866296352,3.004638151732135,0.0,0.0,0.0,3.021027961441613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1599,3.0293344815451517,3.0293344815451517,3.0047438964058486,0.0,0.0,0.0,3.0211376198320505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1745,3.029457605630333,3.029457605630333,3.004860544717529,0.0,0.0,0.0,3.021258585326065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.189,3.029590559239414,3.029590559239414,3.0049865057140046,0.0,0.0,0.0,3.021389208064278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2035,3.029734156945639,3.029734156945639,3.0051225511634203,0.0,0.0,0.0,3.0215302883515665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2181,3.0298895081086235,3.0298895081086235,3.005269732124571,0.0,0.0,0.0,3.021682916113939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,3.030054493883163,3.030054493883163,3.005426041231653,0.0,0.0,0.0,3.0218450096659932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2472,3.0302313999284185,3.0302313999284185,3.0055936439897373,0.0,0.0,0.0,3.0220188146155245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
