energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.21579742837777,3.21579742837777,3.21579742837777,0.0,0.0,0.0,3.2157974283777704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7275
0.0133,3.2158040667701253,3.2158040667701253,3.2158040667701253,0.0,0.0,0.0,3.2158040667701253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0267,3.215824182466906,3.215824182466906,3.215824182466906,0.0,0.0,0.0,3.2158241824669056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,3.2158574767019084,3.2158574767019084,3.2158574767019084,0.0,0.0,0.0,3.2158574767019084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0534,3.215904452613259,3.215904452613259,3.215904452613259,0.0,0.0,0.0,3.215904452613259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0667,3.2159644124973177,3.2159644124973177,3.2159644124973177,0.0,0.0,0.0,3.2159644124973177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0801,3.216038262462167,3.216038262462167,3.216038262462167,0.0,0.0,0.0,3.216038262462167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0934,3.2161249056639907,3.2161249056639907,3.2161249056639907,0.0,0.0,0.0,3.2161249056639907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1068,3.2162256514513228,3.2162256514513228,3.2162256514513228,0.0,0.0,0.0,3.2162256514513228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1201,3.216339003521252,3.216339003521252,3.216339003521252,0.0,0.0,0.0,3.216339003521252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1335,3.2164666748539865,3.2164666748539865,3.2164666748539865,0.0,0.0,0.0,3.2164666748539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1468,3.2166067692519227,3.2166067692519227,3.2166067692519227,0.0,0.0,0.0,3.2166067692519227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1602,3.216761403839488,3.216761403839488,3.216761403839488,0.0,0.0,0.0,3.216761403839488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1735,3.2169282819717875,3.2169282819717875,3.2169282819717875,0.0,0.0,0.0,3.2169282819717875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1869,3.2171099255515316,3.2171099255515316,3.2171099255515316,0.0,0.0,0.0,3.2171099255515316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2002,3.217303636816463,3.217303636816463,3.217303636816463,0.0,0.0,0.0,3.2173036368164625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2136,3.2175123432041586,3.2175123432041586,3.2175123432041586,0.0,0.0,0.0,3.217512343204158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2269,3.2177329450464747,3.2177329450464747,3.2177329450464747,0.0,0.0,0.0,3.2177329450464747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2403,3.217968776195723,3.217968776195723,3.217968776195723,0.0,0.0,0.0,3.217968776195723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2536,3.2182163341701897,3.2182163341701897,3.2182163341701897,0.0,0.0,0.0,3.2182163341701897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.267,3.218479360241147,3.218479360241147,3.218479360241147,0.0,0.0,0.0,3.218479360241147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2803,3.218753948085469,3.218753948085469,3.218753948085469,0.0,0.0,0.0,3.218753948085469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2937,3.2190442475229046,3.2190442475229046,3.2190442475229046,0.0,0.0,0.0,3.219044247522904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.307,3.2193459472399257,3.2193459472399257,3.2193459472399257,0.0,0.0,0.0,3.2193459472399257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3204,3.219663606861007,3.219663606861007,3.219663606861007,0.0,0.0,0.0,3.219663606861007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3337,3.219992508810584,3.219992508810584,3.219992508810584,0.0,0.0,0.0,3.219992508810584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.347,3.2203349972757556,3.2203349972757556,3.2203349972757556,0.0,0.0,0.0,3.220334997275755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3604,3.2206938269030667,3.2206938269030667,3.2206938269030667,0.0,0.0,0.0,3.220693826903067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3737,3.2210636688343057,3.2210636688343057,3.2210636688343057,0.0,0.0,0.0,3.2210636688343057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3871,3.221450112771235,3.221450112771235,3.221450112771235,0.0,0.0,0.0,3.221450112771235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
