energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.340654983647934,2.276920999089296,2.373007278519167,0.0,0.0,0.0,2.330194420418799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2355
0.0139,2.340656760461408,2.276922535290472,2.3730090957348566,0.0,0.0,0.0,2.330196130495579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0279,2.3406621421675657,2.2769271882135107,2.373014599813448,0.0,0.0,0.0,2.3302013100648415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0418,2.340671052011275,2.2769348914855927,2.3730237122547218,0.0,0.0,0.0,2.3302098852505297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0558,2.3406836184044693,2.2769457561093613,2.373036564390897,0.0,0.0,0.0,2.3302219796349095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0697,2.3406996621223093,2.2769596271036128,2.3730529729223457,0.0,0.0,0.0,2.3302374207160894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0837,2.3407194143928143,2.2769767043466658,2.373073174335576,0.0,0.0,0.0,2.3302564310250187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0976,2.3407425935045625,2.2769967442359187,2.373096880514236,0.0,0.0,0.0,2.330278739418239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1116,2.3407695335235954,2.2770200355422996,2.373124433121642,0.0,0.0,0.0,2.3303046673958456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1255,2.340799850225357,2.277046246021242,2.3731554391974656,0.0,0.0,0.0,2.3303338451480213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1395,2.3408339805456553,2.2770757533608474,2.3731903456143764,0.0,0.0,0.0,2.330366693173626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1534,2.3408714377104998,2.2771081366465653,2.3732286545309416,0.0,0.0,0.0,2.330402742962669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1674,2.3409127615670835,2.277143862515698,2.3732709180717304,0.0,0.0,0.0,2.3304425140515037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1813,2.340957362745965,2.2771824213482397,2.373316533467107,0.0,0.0,0.0,2.330485439187104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1953,2.3410058840570835,2.277224368770315,2.3733661581461862,0.0,0.0,0.0,2.330532136991195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2092,2.341057633479891,2.277269106413469,2.3734190843540706,0.0,0.0,0.0,2.33058194141581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2232,2.341113356848239,2.277317278939843,2.3734760748871437,0.0,0.0,0.0,2.330635570225075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2371,2.3411722594250843,2.2773681991820407,2.3735363169382007,0.0,0.0,0.0,2.3306922585151084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2511,2.341235190139198,2.2774226008930105,2.373600678743669,0.0,0.0,0.0,2.3307528232586257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.265,2.3413012514618914,2.2774797080483897,2.373668242367077,0.0,0.0,0.0,2.330816400625786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.279,2.3413713954977267,2.2775403435543,2.3737399815677263,0.0,0.0,0.0,2.3308839068732508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2929,2.341444621841478,2.2776036424639035,2.3738148731929085,0.0,0.0,0.0,2.3309543791660965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3069,2.341521985864275,2.27767051690647,2.3738939966178165,0.0,0.0,0.0,2.3310288331295204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3208,2.341602384189585,2.2777400129395753,2.373976223376447,0.0,0.0,0.0,2.3311062068352024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3348,2.341686975555832,2.277813131993284,2.3740627385630475,0.0,0.0,0.0,2.331187615370721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3487,2.341774553510648,2.2778888310489362,2.374152308291215,0.0,0.0,0.0,2.331271897616933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3626,2.3418657114820425,2.2779676228659813,2.3742455394888102,0.0,0.0,0.0,2.331359624612278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3766,2.3419611461923466,2.278050109431266,2.374343144728328,0.0,0.0,0.0,2.3314514667839803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3905,2.3420594965430217,2.2781351141038444,2.3744437319592095,0.0,0.0,0.0,2.331546114202025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4045,2.342162180010635,2.278223861795166,2.3745487509016012,0.0,0.0,0.0,2.3316449309024674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4184,2.3422677321164898,2.278315086553255,2.3746567037727484,0.0,0.0,0.0,2.331746507480831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4324,2.3423776741351165,2.2784101029223645,2.37476914645321,0.0,0.0,0.0,2.3318523078368973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4463,2.3424904380685363,2.2785075555321233,2.3748844752854703,0.0,0.0,0.0,2.3319608229620434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4603,2.3426076491349352,2.2786088486718583,2.375004352459788,0.0,0.0,0.0,2.3320736167555274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4742,2.3427276356678792,2.2787125374377952,2.3751270682910652,0.0,0.0,0.0,2.33218908046558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4882,2.342852126985047,2.278820115984426,2.375254391438947,0.0,0.0,0.0,2.33230887813614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5021,2.342979347592374,2.2789300497517253,2.3753845060276326,0.0,0.0,0.0,2.332431301123911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5161,2.343111131072986,2.279043922887281,2.3755192873562674,0.0,0.0,0.0,2.332558113772178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.53,2.3432455979359132,2.279160111044326,2.375656813184902,0.0,0.0,0.0,2.33268750738838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.544,2.3433846862060035,2.2792802884992702,2.37579906563277,0.0,0.0,0.0,2.332821346779348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5579,2.343526412215926,2.2794027409802826,2.3759440159119465,0.0,0.0,0.0,2.3329577230360514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5719,2.343672818618731,2.2795292330362207,2.376093753152851,0.0,0.0,0.0,2.3330986016026007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
