energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.854246611664824,2.9973956692956163,3.008526549571484,0.0,0.0,0.0,2.9533896101773087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7923
0.0181,2.8542525573971655,2.9974027441455844,3.008533973459055,0.0,0.0,0.0,2.9533964250006015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0362,2.8542703949882986,2.9974239692259075,3.008556245706943,0.0,0.0,0.0,2.9534168699737164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0543,2.854300125620761,2.9974593461280623,3.0085933680708803,0.0,0.0,0.0,2.953450946606568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0724,2.8543417512657117,2.997508877504943,3.0086453434775753,0.0,0.0,0.0,2.953498657416077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0905,2.8543952746834105,2.9975725670715563,3.0087121760255435,0.0,0.0,0.0,2.9535600059268368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1086,2.854460699423834,2.9976504196060167,3.008793870986131,0.0,0.0,0.0,2.953634996671994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1267,2.8545380298275154,2.9977424409507236,3.0088904348049255,0.0,0.0,0.0,2.9537236351943883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1448,2.8546272710264993,2.9978486380139575,3.0090018751034964,0.0,0.0,0.0,2.953825928047985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1629,2.8547284289455246,2.997969018771592,3.009128200681367,0.0,0.0,0.0,2.9539418827994943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.181,2.854841510303403,2.99810359226923,3.009269421518365,0.0,0.0,0.0,2.954071508030333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
