energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.494319143249041,2.4654640812794244,2.508141340048166,0.002418915261380115,0.013481443819164635,0.002700576221252286,2.48930818819221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6354
0.0147,2.4943211980793087,2.4654660575763794,2.508143411620275,0.0024189187139775172,0.013481485006027803,0.0027005860181801913,2.489310222425321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0294,2.4943273626166693,2.465471986511692,2.5081496263835277,0.002418929071734376,0.013481608567901027,0.002700615409271676,2.4893163251706296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0442,2.494337720969212,2.4654819489779243,2.50816006913107,0.0024189464756246776,0.013481816191712428,0.002700664795796151,2.4893265796927353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0589,2.4943521333936554,2.4654958105710114,2.5081745989807738,0.002418970690282623,0.013482105078199327,0.002700733511918226,2.48934084764848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0736,2.4943706562261507,2.4655136254717047,2.508193272727392,0.0024190018095673243,0.01348247635902395,0.002700821826838718,2.4893591848084156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0883,2.49439328988647,2.4655353940807547,2.5082160907935567,0.0024190398331594637,0.0134829300457603,0.0027009297433331207,2.4893815915869273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1031,2.4944202309069627,2.4655613054154193,2.5082432513121993,0.002419085089939113,0.013483470081821654,0.0027010581994323327,2.48940826254486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1178,2.494451115829703,2.4655910099048475,2.5082743878634144,0.0024191369678631023,0.013484089186242193,0.0027012054632766028,2.4894388378659884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1325,2.4944861134039455,2.4656246698438036,2.508309670570403,0.0024191957487036874,0.01348479074686129,0.002701372340754767,2.489473484606051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1472,2.4945252244230867,2.465662285989794,2.508349100232027,0.002419261431853993,0.013485574785558101,0.0027015588371143403,2.4895122035483026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.162,2.4945687579156672,2.46570415555336,2.5083929883933394,0.0024193345340415367,0.013486447504215848,0.0027017664276247615,2.489555300620789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1767,2.494616126577344,2.465749713671134,2.508440742963988,0.00241941406664179,0.013487397136534351,0.0027019923135320517,2.489602194404155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1914,2.4946676116323454,2.465799230810922,2.5084926474579783,0.002419500499287642,0.013488429328240941,0.002702237837824562,2.489653163300415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2061,2.4947232142486406,2.4658527080878643,2.5085487030512845,0.0024195938310782455,0.013489544111547694,0.0027025030082299542,2.4897082084625963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2209,2.494783356064119,2.465910551013955,2.508609334815066,0.0024196947664947956,0.01349074994993431,0.002702789838007661,2.4897677472977136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2356,2.4948472257149574,2.4659719792297308,2.5086737247739412,0.002419801940487906,0.013492030585893457,0.0027030944601025065,2.4898309765728763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2503,2.4949152170035536,2.4660373714747,2.5087422699366133,0.0024199160104638744,0.013493393925891184,0.0027034187552882156,2.489898286138289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.265,2.4949873314737334,2.466106729222827,2.508814971857516,0.00242003697521811,0.0134948400125143,0.0027037627337845966,2.4899696775180256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2798,2.495064103527386,2.466180566435158,2.5088923692895753,0.0024201657268560096,0.013496379575109197,0.0027041289478679205,2.4900456797507062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2945,2.495144497446562,2.46625788697492,2.5089734180757297,0.002420300524121673,0.013497991856840986,0.0027045124602359787,2.4901252674990704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3092,2.4952290197564095,2.466339177991288,2.5090586288649455,0.0024204422120720345,0.01349968702890907,0.0027049156904087727,2.490208942204214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3239,2.4953176723783814,2.4664244413187895,2.5091480035918456,0.002420590789185833,0.01350146514432967,0.002705338651114044,2.4902967057630057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3387,2.495411102674546,2.4665142995548166,2.509242194888661,0.0024207473350258244,0.013503339203736284,0.0027057844349492417,2.4903891990393414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3534,2.4955080501963227,2.4666075404258514,2.5093399320375847,0.0024209097324125912,0.013505283940588272,0.0027062470318768724,2.4904851742199194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3681,2.4956091343777973,2.4667047596684717,2.509441839515259,0.0024210790138938626,0.013507311795961133,0.002706729401400926,2.4905852445205094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3828,2.4957143575201632,2.4668059594798306,2.50954791963865,0.002421255177615514,0.013509422833369016,0.002707231558777218,2.4906894122128813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3975,2.495823722019802,2.466911142147884,2.5096581748205176,0.002421438221637444,0.013511617118958211,0.002707753519896002,2.4907976796627342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4123,2.495938016730509,2.4670210663435106,2.5097734003356718,0.0024216294594706107,0.01351391050088826,0.002708299054784686,2.4909108278032304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.427,2.496055699731406,2.4671342490891615,2.5098920417025843,0.002421826304691783,0.013516272059353043,0.0027088608086137714,2.4910273301743837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4417,2.496177531869973,2.467251422120098,2.5100148659616046,0.0024220300238489006,0.013518717080798716,0.0027094424178021105,2.491147939983892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4564,2.496303515925649,2.467372588090083,2.5101418759111356,0.002422240614644125,0.013521245641973842,0.002710043900798433,2.4912726599756225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4712,2.4964345543070823,2.467498614874126,2.510273981303998,0.0024224595775248848,0.013523875878762531,0.0027106695719092346,2.491402383495069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4859,2.4965688792143377,2.467627802261439,2.5104093999415795,0.0024226839510337593,0.013526572329976694,0.002711310995970072,2.491535360472452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5006,2.4967073649755314,2.4677609911205964,2.5105490132675214,0.0024229151887058594,0.013529352567744497,0.0027119723531906234,2.4916724564545496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5153,2.4968500147563346,2.4678981844741825,2.510692824469049,0.0024231532878617296,0.013532216679516493,0.0027126536646070484,2.491813674566522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5301,2.496997844853369,2.4680403597194243,2.5108418581123892,0.002423399935583547,0.013535185098115925,0.0027133597910262695,2.491960020895061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5448,2.497148860941794,2.468185598795668,2.5109941036315604,0.00242365179589726,0.013538217803148152,0.002714081212668314,2.4921095211230075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5595,2.497304051153224,2.4683348520130717,2.5111505571985324,0.0024239105090320713,0.013541334661353899,0.002714822655686523,2.492263153454943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5742,2.497463419043141,2.4684881227664404,2.5113112223929486,0.0024241760718993334,0.013544535770999275,0.0027155841437377735,2.4924209214008433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.589,2.4976280951721694,2.468646498334313,2.5114772389730193,0.0024244503578671394,0.01354784387225214,0.002716371086639953,2.492583944159834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6037,2.4977958579604245,2.4688078421090056,2.511646367270237,0.0024247296570448153,0.01355121436535175,0.002717172875152254,2.4927500224465557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6184,2.4979678097086078,2.4689732141913794,2.5118197185529976,0.0024250157960161263,0.013554669421768731,0.0027179947838130345,2.4929202474843284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6331,2.498143954366097,2.46914261835236,2.5119972967974356,0.002425308771251801,0.013558209150713334,0.002718836838937389,2.4930946231719644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6479,2.4983255371768767,2.469317252152189,2.5121803573758843,0.0024256106420063733,0.013561858611308356,0.002719705002157694,2.493274382234983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6626,2.498510108490671,2.469494759657751,2.5123664306964946,0.0024259173251615254,0.013565568601904854,0.002720587569355334,2.493457099614972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6773,2.4986988851861778,2.469676311150958,2.512556743535682,0.002426230833265893,0.013569363610023283,0.0027214903661867806,2.493643979957606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.692,2.498891871611151,2.4698619107832176,2.5127513002705806,0.002426551162314472,0.01357324375596085,0.002722413421667578,2.493835027554983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7068,2.4990904281560287,2.4700528668387065,2.5129514723538975,0.0024268805569940626,0.01357723643062501,0.0027233632523457883,2.494031589116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7215,2.4992918761989182,2.4702466031982415,2.51315455936299,0.002427214561743602,0.01358128780556665,0.0027243270532270867,2.49423101292005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7362,2.4994975476489305,2.470444400756926,2.513361904037817,0.002427555374633449,0.01358542469689111,0.0027253112041161574,2.4944346174812244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7509,2.499707447257239,2.470646264051421,2.5135735111615523,0.0024279029911432933,0.013589647236140805,0.0027263157367755776,2.494642407490071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7657,2.4999230510682175,2.470853612574396,2.5137908687781283,0.0024282598408793166,0.013593985160075128,0.0027273477260731406,2.4948558441402473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7804,2.500141450499874,2.4710636490768607,2.514011044638986,0.002428621096726403,0.013598379986108716,0.0027283932595508396,2.495072048071907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7951,2.500364092988521,2.471277765541412,2.514235497947695,0.0024289891417756055,0.01360286087270003,0.0027294592744930043,2.4952924521592093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8098,2.500590983694207,2.4714959668952288,2.514464233898968,0.00242936397094732,0.013607427962810895,0.0027305458054606977,2.4955170614961344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8245,2.5008221278799416,2.4717182581638646,2.5146972577910853,0.0024297455790151068,0.013612081402281564,0.002731652887722077,2.4957458812782973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8393,2.5010591468901238,2.4719461985498303,2.5149362041444476,0.002430136625837368,0.013616853880875204,0.002732788299061888,2.495980516528134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.854,2.5012988432666496,2.4721767130309664,2.5151778494926127,0.002430531821435924,0.013621681058143511,0.0027339367329875185,2.4962178019300763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8687,2.501542809572161,2.4724113331338438,2.515423799340693,0.002430933779298798,0.013626595040750263,0.0027351058285466456,2.4964593140155658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8834,2.501791051486098,2.4726500642817797,2.5156740594061047,0.002431342493578816,0.013631595986195202,0.0027362956238772456,2.4967050583913273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8982,2.5020453073135713,2.472894578133663,2.5159303821159273,0.0024317608076586616,0.013636718966358582,0.0027375144638776498,2.4969567558543875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
