energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.412053351933147,2.4024617497892846,2.4008596873342354,-0.006834949429456511,0.019468218460554174,0.006810894744919477,2.4051249296855555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1311
0.0151,2.412055100545045,2.402463467523637,2.400861374700476,-0.0068349651653354625,0.019468283691473354,0.006810913663401765,2.4051266475897193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5285774776802,0.0,0.0,0.0,
0.0301,2.412060300170891,2.402468575332577,2.400866392206918,-0.00683501195719704,0.019468477661210595,0.006810969918958999,2.405131755903462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.22008069535514,0.0,0.0,0.0,
0.0452,2.412069020242584,2.4024771414213535,2.4008748068508954,-0.006835090430078296,0.019468802962347407,0.006811064262972481,2.4051403228382777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.7512654826833,0.0,0.0,0.0,
0.0603,2.412081237849863,2.4024891432832316,2.400886596520042,-0.0068352003781660285,0.01946925874434177,0.006811196447885878,2.4051523258843788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.28506631804095,0.0,0.0,0.0,
0.0754,2.4120969532358574,2.402504581155554,2.400901761442601,-0.006835341804149425,0.019469845022025277,0.006811366476767718,2.4051677652780037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.8223572655527,0.0,0.0,0.0,
0.0904,2.412116027964573,2.402523319045093,2.400920168023572,-0.006835513462844667,0.01947055663815302,0.006811572852393551,2.4051865050110792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.5259720182975,0.0,0.0,0.0,
0.1055,2.412138716745766,2.4025456071614144,2.4009420620408366,-0.006835717647238266,0.019471403104125477,0.006811818331235299,2.4052087953160055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0728282477816,0.0,0.0,0.0,
0.1206,2.4121649044496065,2.4025713324050533,2.4009673323854197,-0.006835953322181249,0.01947238013557757,0.006812101668484017,2.405234523080027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.6257917051455,0.0,0.0,0.0,
0.1357,2.4121945915973853,2.402600495284922,2.400995979546729,-0.006836220493439845,0.019473487764313763,0.006812422870719001,2.405263688809679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.1857370151997,0.0,0.0,0.0,
0.1507,2.412227547483262,2.402632869165968,2.401027780885963,-0.006836517085938693,0.019474717396201047,0.0068127794428286025,2.4052960658450644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.9153138872884,0.0,0.0,0.0,
0.1658,2.4122642121759004,2.402668886341253,2.4010631610376283,-0.006836847061511236,0.019476085466413245,0.006813176147398128,2.4053320865182606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.4917869151964,0.0,0.0,0.0,
0.1809,2.4123043782897176,2.4027083430831793,2.4011019198622012,-0.006837208555272738,0.019477584254558856,0.006813610741908483,2.405371547078366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0778612012425,0.0,0.0,0.0,
0.196,2.4123480466246394,2.4027512401727362,2.401144058110627,-0.006837601576073,0.01947921380945441,0.006814083236455224,2.4054144483026674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.674412339627,0.0,0.0,0.0,
0.211,2.41239489413209,2.402797260261889,2.401189264031916,-0.006838023218139948,0.019480962095642877,0.006814590137119018,2.4054604728086315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.4438140338943,0.0,0.0,0.0,
0.2261,2.4124455463798817,2.402847017864052,2.401238141248821,-0.006838479113705712,0.019482852480635585,0.006815138214367027,2.4055102351642517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895.0638630432134,0.0,0.0,0.0,
0.2412,2.412499703661222,2.402900218559695,2.40129040052981,-0.006838966567427899,0.019484873804037885,0.0068157242271438215,2.405563440916909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.697011825348,0.0,0.0,0.0,
0.2563,2.4125573670554834,2.4029568634026224,2.4013460428881475,-0.006839485591250002,0.01948702613174058,0.006816348189070143,2.4056200911154177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.344137353997,0.0,0.0,0.0,
0.2713,2.4126181210693156,2.403016544232152,2.4014046673647833,-0.006840032447575223,0.01948929398074598,0.00681700560612996,2.405679777555417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274.1672451769246,0.0,0.0,0.0,
0.2864,2.412682776968982,2.403080057976728,2.4014670567578666,-0.00684061444124219,0.019491707663088248,0.006817705259186909,2.4057432972345256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.8448497115564,0.0,0.0,0.0,
