energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6167221250459525,2.695954689572559,2.6934288531075006,0.0,0.0,0.0,2.6687018892420036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6747
0.0152,2.616724635217422,2.6959573580597143,2.6934317717763046,0.0,0.0,0.0,2.6687045883511473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0304,2.616732165796874,2.6959653635910676,2.6934405278676876,0.0,0.0,0.0,2.6687126857518764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0457,2.6167448161773823,2.695978811830643,2.693455236978353,0.0,0.0,0.0,2.6687262883287928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0609,2.616762421321871,2.6959975273361643,2.6934757072602196,0.0,0.0,0.0,2.6687452186394185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0761,2.6167850478532335,2.696021580937572,2.693502016244146,0.0,0.0,0.0,2.6687695483449843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0913,2.6168126963576945,2.696050973264689,2.693534164696401,0.0,0.0,0.0,2.6687992781062615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1066,2.61684559912624,2.6960859512676767,2.6935724228206617,0.0,0.0,0.0,2.6688346577381927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1218,2.6168833269090532,2.6961260586328155,2.6936162916240707,0.0,0.0,0.0,2.6688752257219797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.137,2.616926079211837,2.696171507459953,2.6936660032248563,0.0,0.0,0.0,2.6689211966322155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1522,2.6169738571427823,2.6962222989397127,2.6937215590716166,0.0,0.0,0.0,2.668972571718037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1675,2.6170270259880475,2.696278821412874,2.6937833841023555,0.0,0.0,0.0,2.6690297438344257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1827,2.617084892107215,2.6963403375032096,2.6938506719470414,0.0,0.0,0.0,2.6690919671858224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1979,2.617147787972668,2.6964072006705964,2.6939238094210887,0.0,0.0,0.0,2.6691595993547845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2131,2.6172157152159876,2.6964794126679648,2.694002798657433,0.0,0.0,0.0,2.669232642180462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2284,2.617289172271628,2.696557503391303,2.694088219528829,0.0,0.0,0.0,2.669311631730587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2436,2.61736720082106,2.6966404540929174,2.694178957912454,0.0,0.0,0.0,2.6693955376088105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2588,2.617450266443014,2.6967287597428045,2.694275555503669,0.0,0.0,0.0,2.6694848605631627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.274,2.6175383712945406,2.696822422658535,2.6943780151228838,0.0,0.0,0.0,2.6695796030253196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2893,2.61763214716769,2.6969221145160667,2.694487071851439,0.0,0.0,0.0,2.669680444511732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3045,2.617730370668137,2.6970265347690683,2.694601303294091,0.0,0.0,0.0,2.6697860695770985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3197,2.6178336406767047,2.697136320107986,2.6947214062825062,0.0,0.0,0.0,2.669897122355732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3349,2.617941959878727,2.6972514734179738,2.6948473843284844,0.0,0.0,0.0,2.6700136058750616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3502,2.618056093689383,2.6973728084404165,2.694980128069676,0.0,0.0,0.0,2.6701363433998253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
