energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0980765193803155,3.1713540534583196,3.1525262108443797,0.0,0.0,0.0,3.1406522612276717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5717
0.0137,3.098082208166001,3.171360705598939,3.152532391384162,0.0,0.0,0.0,3.140658435049701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0274,3.09809927487417,3.17138066249073,3.1525509334106596,0.0,0.0,0.0,3.1406769569251867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0411,3.098127720558153,3.1714139255435927,3.1525818381454465,0.0,0.0,0.0,3.1407078280823977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0548,3.0981675469737917,3.1714604971077023,3.1526251076247416,0.0,0.0,0.0,3.1407510505687455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0685,3.098218756579745,3.171520380474096,3.152680744699927,0.0,0.0,0.0,3.1408066272512563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0822,3.0982813525380397,3.1715935798754007,3.152748753038135,0.0,0.0,0.0,3.140874561817192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.096,3.09835592064421,3.171680781010999,3.1528297693774405,0.0,0.0,0.0,3.1409554903442163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1097,3.098441384802345,3.1717807262560265,3.152922624904638,0.0,0.0,0.0,3.1410482453210036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1234,3.0985382490675217,3.171894005949274,3.153027867647769,0.0,0.0,0.0,3.141153374221522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1371,3.0986465194284136,3.1720206281086036,3.1531455045531147,0.0,0.0,0.0,3.141270884030044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1508,3.098766202581901,3.1721606017005546,3.153275543388724,0.0,0.0,0.0,3.14140078255706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1645,3.0988973059343516,3.172313936642428,3.1534179927461143,0.0,0.0,0.0,3.1415430784409644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1782,3.099039837603285,3.1724806438045685,3.1535728620422314,0.0,0.0,0.0,3.1416977811500284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1919,3.099193806419001,3.172660735012877,3.153740161521586,0.0,0.0,0.0,3.1418649009844883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2056,3.099359221926458,3.1728542230515866,3.1539199022585342,0.0,0.0,0.0,3.1420444490788597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2193,3.0995360943873056,3.1730611216662306,3.1541120961597913,0.0,0.0,0.0,3.1422364374044425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.233,3.09972443478199,3.1732814455667837,3.1543167559671232,0.0,0.0,0.0,3.1424408787719655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2467,3.0999242548121115,3.17351521043116,3.1545338952602733,0.0,0.0,0.0,3.142657786834515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2604,3.100135566902879,3.1737624329088123,3.1547635284599544,0.0,0.0,0.0,3.1428871760905484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2741,3.100358384205723,3.1740231306246764,3.1550056708312386,0.0,0.0,0.0,3.143129061887213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2879,3.100594473468602,3.1742993732361233,3.1552622434624933,0.0,0.0,0.0,3.1433853633890734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3016,3.100840427812087,3.1745871769384015,3.1555295449805394,0.0,0.0,0.0,3.1436523832436762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3153,3.101097931322731,3.174888514802578,3.1558094067000115,0.0,0.0,0.0,3.1439319509417736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.329,3.1013670000917153,3.175203408406227,3.1561018473061924,0.0,0.0,0.0,3.144224085268045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3427,3.1016476509519992,3.1755318803253907,3.1564068863479973,0.0,0.0,0.0,3.1445288058751295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3564,3.10193990148189,3.175873954139931,3.156724544242553,0.0,0.0,0.0,3.1448461332881243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3701,3.1022437700088377,3.1762296544390707,3.1570548422799245,0.0,0.0,0.0,3.1451760889092775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3838,3.102559275613296,3.1765990068272396,3.1573978026279006,0.0,0.0,0.0,3.145518695022812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3975,3.102886438132898,3.176982037930143,3.157753448337227,0.0,0.0,0.0,3.1458739748000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4112,3.103225278166628,3.1773787754010985,3.1581218033468925,0.0,0.0,0.0,3.146241952304873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4249,3.1035758170793675,3.1777892479276275,3.1585028924897043,0.0,0.0,0.0,3.1466226524988996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4386,3.103938077006393,3.178213485238305,3.158896741498049,0.0,0.0,0.0,3.147016101247582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4523,3.1043120808582616,3.1786515181098878,3.1593033770099144,0.0,0.0,0.0,3.1474223253260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.466,3.104697852325747,3.179103378374726,3.1597228265751265,0.0,0.0,0.0,3.1478413524252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4798,3.1050983612214007,3.1795725493856124,3.1601583213628586,0.0,0.0,0.0,3.148276410656624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4935,3.105507828492167,3.1800522657403065,3.160603579429993,0.0,0.0,0.0,3.1487212245541554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5072,3.105929139377811,3.180545911656566,3.1610617399614913,0.0,0.0,0.0,3.1491789303319564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5209,3.10636232074924,3.1810535232764408,3.1615328342283595,0.0,0.0,0.0,3.149649559418014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5346,3.1068074002853,3.18157513783881,3.16201689444814,0.0,0.0,0.0,3.1501331441907503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5483,3.1072644064787975,3.182110793688375,3.1625139537926925,0.0,0.0,0.0,3.1506297179866216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.562,3.107733368642908,3.1826605302851902,3.1630240463959898,0.0,0.0,0.0,3.151139315108029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5757,3.108214316917589,3.18322438821425,3.1635472073623814,0.0,0.0,0.0,3.1516619708314066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5894,3.1087072822763444,3.183802409195565,3.1640834727750438,0.0,0.0,0.0,3.1521977214156514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6031,3.1092122965331264,3.1843946360944484,3.16463287970459,0.0,0.0,0.0,3.1527466041107215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6168,3.1097293923494598,3.1850011129321993,3.1651954662182185,0.0,0.0,0.0,3.153308657166626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6305,3.1102586032417756,3.1856218848970577,3.165771271388803,0.0,0.0,0.0,3.1538839198425452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6442,3.110799963589009,3.1862569983554905,3.1663603353045082,0.0,0.0,0.0,3.154472432416336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6579,3.11135350864033,3.1869065008638584,3.1669626990786446,0.0,0.0,0.0,3.1550742361942774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6717,3.111923449218815,3.187575340659601,3.167582948216953,0.0,0.0,0.0,3.1556939126984562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6854,3.1125015625588057,3.1882538746936615,3.168212137062618,0.0,0.0,0.0,3.1563225247716953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6991,3.113091971933266,3.188946948085899,3.168854755686684,0.0,0.0,0.0,3.156964558568616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7128,3.1136947161614805,3.189654613284654,3.1695108494148,0.0,0.0,0.0,3.157620059620312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7265,3.114309834975425,3.1903769239917836,3.1701804646513922,0.0,0.0,0.0,3.1582890745395336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7402,3.114937369029008,3.1911139351763964,3.1708636488912925,0.0,0.0,0.0,3.158971651032232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7539,3.115577359907491,3.1918657030890705,3.1715604507317954,0.0,0.0,0.0,3.1596678379094527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
