energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8135546285842192,2.9710435418755106,2.856666473506335,0.0,0.0,0.0,2.880421547988688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.417
0.0228,2.8135614589806934,2.9710513873993696,2.856673447731504,0.0,0.0,0.0,2.8804287647038556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0455,2.813581830895631,2.9710747869657697,2.8566942486100766,0.0,0.0,0.0,2.8804502888238255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0683,2.8136159251007093,2.9711139481997138,2.856729060687595,0.0,0.0,0.0,2.880486311329339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0911,2.8136636839578673,2.9711688048756697,2.85677782505776,0.0,0.0,0.0,2.880536771297099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1139,2.8137251104744445,2.971239360417947,2.856840544714758,0.0,0.0,0.0,2.8806016718690497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1366,2.8137998492851857,2.97132520660996,2.8569168567153906,0.0,0.0,0.0,2.880680637536845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1594,2.813888563593334,2.971427105170415,2.8570074381029507,0.0,0.0,0.0,2.8807743689555667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1822,2.8139909597273904,2.9715447187272694,2.8571119888817087,0.0,0.0,0.0,2.88088255577879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2049,2.8141065051022576,2.971677435482662,2.8572299650990125,0.0,0.0,0.0,2.8810046352279777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2277,2.8142362250293336,2.971826433047552,2.8573624134510744,0.0,0.0,0.0,2.8811416905093203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2505,2.8143796487032877,2.971991170566046,2.857508853018129,0.0,0.0,0.0,2.8812932240958204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2732,2.814536066025168,2.9721708323234677,2.857668558544985,0.0,0.0,0.0,2.8814584856312067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.296,2.8147068650032114,2.972367012492257,2.857842946966411,0.0,0.0,0.0,2.8816389414872936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3188,2.8148913974413627,2.9725789664391566,2.858031356182336,0.0,0.0,0.0,2.881833906687618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3416,2.815089675001821,2.9728067074386617,2.8582337978018453,0.0,0.0,0.0,2.882043393414109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3643,2.8153007501868115,2.973049147071854,2.8584493041194694,0.0,0.0,0.0,2.8822664004593785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3871,2.8155264960556896,2.973308436582852,2.8586797871736476,0.0,0.0,0.0,2.8825049066040633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
