energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6132173502480445,2.6148206545821324,2.573897847679609,0.0,0.0,-0.02133086692026399,2.6006452841699286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0695
0.0139,2.6132198038537093,2.6148230565831296,2.5739001469997502,0.0,0.0,-0.02133099065732344,2.6006476691455296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.76136787063626,0.0,
0.0279,2.613227235478934,2.614830331901328,2.573907111312491,0.0,0.0,-0.02133136544308254,2.6006548928975843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0066615700156,0.0,
0.0418,2.6132395391775116,2.6148423768076583,2.5739186413234068,0.0,0.0,-0.021331985945467147,2.6006668524361922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.7788365972585,0.0,
0.0557,2.6132567507446387,2.614859226325854,2.5739347705598554,0.0,0.0,-0.02133285398776302,2.6006835825434496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.5617807917457,0.0,
0.0696,2.6132788706901877,2.614880880929027,2.5739554994758196,0.0,0.0,-0.02133396962101149,2.6007050836983447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.359076445377,0.0,
0.0836,2.6133061119098455,2.6149075489998768,2.573981027547554,0.0,0.0,-0.02133534361610618,2.600731562819092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.6550656167374,0.0,
0.0975,2.6133380860495254,2.6149388503140276,2.574010990806152,0.0,0.0,-0.021336956425262996,2.6007626423899017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.491983077663,0.0,
0.1114,2.6133749709776084,2.6149749589494142,2.5740455558901836,0.0,0.0,-0.021338817066668278,2.600798495272402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.3540316092185,0.0,
0.1254,2.613417086282446,2.615016187710409,2.574085022234911,0.0,0.0,-0.021340941718046035,2.600839432075922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.7261402536624,0.0,
0.1393,2.613463831563821,2.6150619487717695,2.5741288271457563,0.0,0.0,-0.021343300152124534,2.6008848691604487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.6494616106174,0.0,
0.1532,2.6135154913613334,2.61511252061318,2.574177237201204,0.0,0.0,-0.02134590679179944,2.6009350830585727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.608709340623,0.0,
0.1671,2.6135720672070892,2.6151679046561513,2.5742302537654,0.0,0.0,-0.021348761790558446,2.600990075209547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.6074779089718,0.0,
0.1811,2.6136340210005216,2.615228552979839,2.574288309596601,0.0,0.0,-0.02135188854494064,2.601050294525654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.1318451851002,0.0,
0.195,2.6137004695236854,2.6152936008832253,2.5743505769606934,0.0,0.0,-0.021355242571044306,2.601114882455868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.2207991550526,0.0,
0.2089,2.6137718395843326,2.615363466080849,2.5744174557208637,0.0,0.0,-0.021358845506332914,2.6011842537953487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094.360100683591,0.0,
0.2229,2.6138487000211414,2.6154387053021386,2.574489478813869,0.0,0.0,-0.021362726179014233,2.6012589613790493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302.0369656348166,0.0,
0.2368,2.6139299551082713,2.615518245816493,2.574565619368607,0.0,0.0,-0.02136682937956978,2.6013379400977903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3508.288213996995,0.0,
