energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.576356541129287,2.576356541129287,2.5016671853000094,0.0,0.0,0.0,2.5514600891861945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4975000000000005
0.0139,2.5763593779158853,2.5763593779158853,2.501669442043368,0.0,0.0,0.0,2.5514627326250463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0278,2.5763678883689733,2.5763678883689733,2.5016762123301075,0.0,0.0,0.0,2.5514706630226844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0416,2.5763819504584498,2.5763819504584498,2.5016873990300708,0.0,0.0,0.0,2.5514837666489902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0555,2.5764017684458387,2.5764017684458387,2.501703164550432,0.0,0.0,0.0,2.5515022338140363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0694,2.5764272614942714,2.5764272614942714,2.5017234444604624,0.0,0.0,0.0,2.551525989149668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0833,2.576458430442491,2.576458430442491,2.5017482392691717,0.0,0.0,0.0,2.551555033384718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0971,2.576494990961468,2.576494990961468,2.501777322605532,0.0,0.0,0.0,2.551589101509489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.111,2.5765374741184894,2.5765374741184894,2.501811116698173,0.0,0.0,0.0,2.5516286883117174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1249,2.576585636802529,2.576585636802529,2.5018494278903978,0.0,0.0,0.0,2.551673567165152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,2.5766394805992174,2.5766394805992174,2.501892257144239,0.0,0.0,0.0,2.551723739447558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1526,2.576698558732544,2.576698558732544,2.501939248757687,0.0,0.0,0.0,2.551778788740925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1665,2.5767637293555783,2.5767637293555783,2.501991084950427,0.0,0.0,0.0,2.5518395145538615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1804,2.5768345869572067,2.5768345869572067,2.5020474427630415,0.0,0.0,0.0,2.551905538892485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1943,2.576911133872528,2.576911133872528,2.502108323611719,0.0,0.0,0.0,2.5519768637855917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2081,2.576992760645967,2.576992760645967,2.5021732423219474,0.0,0.0,0.0,2.552052921204627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
