energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8509673898947563,2.8509673898947563,2.8509673898947563,0.0,0.0,0.0,2.8509673898947567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1777999999999995
0.0133,2.8509713291594885,2.8509713291594885,2.8509713291594885,0.0,0.0,0.0,2.8509713291594885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0265,2.850983028860018,2.850983028860018,2.850983028860018,0.0,0.0,0.0,2.850983028860018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0398,2.8510026667420085,2.8510026667420085,2.8510026667420085,0.0,0.0,0.0,2.8510026667420085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0531,2.8510301845913752,2.8510301845913752,2.8510301845913752,0.0,0.0,0.0,2.8510301845913752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0663,2.851065287963708,2.851065287963708,2.851065287963708,0.0,0.0,0.0,2.851065287963708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0796,2.851108510161265,2.851108510161265,2.851108510161265,0.0,0.0,0.0,2.8511085101612657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0929,2.8511596166415734,2.8511596166415734,2.8511596166415734,0.0,0.0,0.0,2.851159616641573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1061,2.8512181365028573,2.8512181365028573,2.8512181365028573,0.0,0.0,0.0,2.851218136502857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,2.851284958799797,2.851284958799797,2.851284958799797,0.0,0.0,0.0,2.851284958799797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1327,2.851359672577312,2.851359672577312,2.851359672577312,0.0,0.0,0.0,2.851359672577312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.146,2.851442280884578,2.851442280884578,2.851442280884578,0.0,0.0,0.0,2.851442280884578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1592,2.851532077119046,2.851532077119046,2.851532077119046,0.0,0.0,0.0,2.851532077119046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1725,2.8516304255013605,2.8516304255013605,2.8516304255013605,0.0,0.0,0.0,2.8516304255013605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
