energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.728656875902068,2.728656875902068,2.728656875902068,0.0,0.0,0.0,2.728656875902068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2553
0.0135,2.728660285571368,2.728660285571368,2.728660285571368,0.0,0.0,0.0,2.7286602855713675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.027,2.728670514714237,2.728670514714237,2.728670514714237,0.0,0.0,0.0,2.728670514714237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0405,2.728687563735534,2.728687563735534,2.728687563735534,0.0,0.0,0.0,2.728687563735534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.054,2.7287114333100906,2.7287114333100906,2.7287114333100906,0.0,0.0,0.0,2.7287114333100906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0675,2.7287421243827863,2.7287421243827863,2.7287421243827863,0.0,0.0,0.0,2.728742124382786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.081,2.7287796381686835,2.7287796381686835,2.7287796381686835,0.0,0.0,0.0,2.7287796381686835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,2.7288239761532047,2.7288239761532047,2.7288239761532047,0.0,0.0,0.0,2.7288239761532047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.108,2.728875140092247,2.728875140092247,2.728875140092247,0.0,0.0,0.0,2.728875140092247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1215,2.7289331320125028,2.7289331320125028,2.7289331320125028,0.0,0.0,0.0,2.7289331320125023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.135,2.728997954211689,2.728997954211689,2.728997954211689,0.0,0.0,0.0,2.728997954211689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1484,2.729069053354496,2.729069053354496,2.729069053354496,0.0,0.0,0.0,2.7290690533544955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1619,2.72914749344434,2.72914749344434,2.72914749344434,0.0,0.0,0.0,2.7291474934443394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1754,2.729232772311394,2.729232772311394,2.729232772311394,0.0,0.0,0.0,2.7292327723113936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1889,2.7293248933387098,2.7293248933387098,2.7293248933387098,0.0,0.0,0.0,2.7293248933387098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2024,2.7294238601822505,2.7294238601822505,2.7294238601822505,0.0,0.0,0.0,2.72942386018225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2159,2.729529676771264,2.729529676771264,2.729529676771264,0.0,0.0,0.0,2.729529676771264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2294,2.7296423473088707,2.7296423473088707,2.7296423473088707,0.0,0.0,0.0,2.7296423473088702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
