energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8993233528711126,3.072531176543161,3.058847309803493,0.0,0.0,0.07065452498471407,3.010233946405922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8282
0.0135,2.899327885047322,3.0725369297557927,3.058852597135965,0.0,0.0,0.07065500219943247,3.0102391373130266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0271,2.899341616363082,3.0725543605432977,3.0588686163916763,0.0,0.0,0.07065644805087866,3.010254864432685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0406,2.8993643456360356,3.072583213666354,3.0588951329049117,0.0,0.0,0.07065884139971561,3.0102808974024335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0541,2.899396141499564,3.0726235764901113,3.0589322268079266,0.0,0.0,0.07066218954620311,3.010317314932534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0677,2.8994373422281297,3.0726758787768804,3.058980292830953,0.0,0.0,0.0706665282162044,3.0103645046119873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0812,2.899487344176217,3.072739354664769,3.0590386268570335,0.0,0.0,0.07067179397555767,3.010421775232673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0947,2.8995464194330594,3.0728143500857574,3.0591075464520636,0.0,0.0,0.07067801563797853,3.01048943865696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1083,2.899615109929687,3.0729015536629487,3.059187684024275,0.0,0.0,0.07068525047586281,3.0105681158723034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1218,2.899692409261868,3.072999688479849,3.0592778656456954,0.0,0.0,0.07069339271174375,3.010656654462471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1353,2.899778793112332,3.0731093592374674,3.0593786464835584,0.0,0.0,0.07070249269563336,3.0107555996111195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1489,2.8998750073405444,3.0732315138183757,3.0594908969551935,0.0,0.0,0.07071262929142082,3.0108658060380376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
