energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6637731681885084,2.7493541006715683,2.77382280346344,0.0,0.0,0.030081795293644235,2.7289833574411717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7892
0.0196,2.6637787832624324,2.7493600294092717,2.773829052370206,0.0,0.0,0.030081819636448237,2.7289892883473037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0392,2.6637956288344746,2.749377815987446,2.7738477994985464,0.0,0.0,0.03008189265149192,2.7290070814401552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0588,2.663823705955571,2.7494074615013897,2.773879046072735,0.0,0.0,0.030082014298661135,2.729036737843232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0784,2.663863016377509,2.7494489677768352,2.773922794133451,0.0,0.0,0.030082184511078327,2.729078259429265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.098,2.663913562553269,2.7495023373702976,2.7739790465383187,0.0,0.0,0.030082403195067615,2.7291316488206285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1176,2.66397534763751,2.749567573569591,2.774047806962362,0.0,0.0,0.030082670230110103,2.7291969093898216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1372,2.664048375487222,2.7496446803944785,2.7741290798988727,0.0,0.0,0.03008298546878258,2.729274045260191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1567,2.6641321921327172,2.749733178457906,2.7742223603557497,0.0,0.0,0.030083346761708724,2.7293625769821244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1763,2.664227662471778,2.7498339808932406,2.774328611160233,0.0,0.0,0.03008375761391952,2.7294634181750843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
