energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.213261959784447,2.9598588300461945,3.2589261834614183,0.0,0.0,0.0,2.8106823244306867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4209
0.0135,2.21326344161144,2.9598634168882834,3.258932249032689,0.0,0.0,0.0,2.810686369177471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.027,2.213267887123777,2.959877177611476,3.258950446012555,0.0,0.0,0.0,2.810698503582603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0405,2.213275296415545,2.9599001128066145,3.2589807751993005,0.0,0.0,0.0,2.810718728140486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.054,2.2132856696435703,2.9599322234585372,3.2590232379234716,0.0,0.0,0.0,2.810747043675193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0676,2.2132991168831815,2.9599738510236433,3.2590782857631226,0.0,0.0,0.0,2.810783751223316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0811,2.213315440665176,2.9600243851175163,3.259145111603698,0.0,0.0,0.0,2.8108283124621303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0946,2.213334729233206,2.9600841000056075,3.259224078192699,0.0,0.0,0.0,2.8108809691438377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1081,2.213356982995641,2.960152998253415,3.2593151889960503,0.0,0.0,0.0,2.8109417234150356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1216,2.213382202423701,2.9602310828215614,3.259418448013473,0.0,0.0,0.0,2.8110105777529117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1351,2.2134103880514284,2.960318357066235,3.259533859778872,0.0,0.0,0.0,2.811087534965512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1486,2.2134415404758294,2.9604148247395847,3.2596614293609885,0.0,0.0,0.0,2.8111725981921345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1621,2.2134756603568055,2.960520489990233,3.2598011623640195,0.0,0.0,0.0,2.811265770903686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1756,2.2135127484172683,2.960635357363835,3.259953064928221,0.0,0.0,0.0,2.811367056903108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1891,2.2135528054431735,2.960759431803661,3.2601171437307626,0.0,0.0,0.0,2.8114764603258657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2027,2.213596162083939,2.960893740348057,3.260294757109985,0.0,0.0,0.0,2.8115948865139937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2162,2.2136421816599876,2.9610363136488753,3.260483300907807,0.0,0.0,0.0,2.8117205987388894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2297,2.213691172945645,2.961188111285169,3.260684044268643,0.0,0.0,0.0,2.8118544428331522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2432,2.2137431369800917,2.9613491398006793,3.2608969960300036,0.0,0.0,0.0,2.811996424270258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2567,2.2137980748658883,2.9615194061405674,3.261122165571038,0.0,0.0,0.0,2.8121465488591646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2702,2.2138559877690533,2.961698917652332,3.2613595628137397,0.0,0.0,0.0,2.8123048227450416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2837,2.2139168769191064,2.961887682086745,3.261609198224098,0.0,0.0,0.0,2.812471252409983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2972,2.2139807436091816,2.9620857075989573,3.261871082813447,0.0,0.0,0.0,2.812645844673862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3107,2.2140475891961393,2.9622930027494805,3.2621452281398056,0.0,0.0,0.0,2.812828606695142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3242,2.2141174151006195,2.962509576505404,3.262431646309302,0.0,0.0,0.0,2.813019545971775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3378,2.2141907732528723,2.9627371459703493,3.262732608468943,0.0,0.0,0.0,2.813220175897388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3513,2.214266586414901,2.96297237438036,3.263043701995243,0.0,0.0,0.0,2.8134275542635017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3648,2.214345384552419,2.9632169108255217,3.2633671080910562,0.0,0.0,0.0,2.813643134489666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3783,2.2144271693428217,2.9634707659146176,3.263702841074741,0.0,0.0,0.0,2.81386692544406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3918,2.2145119425278366,2.9637339506695026,3.2640509158209907,0.0,0.0,0.0,2.8140989363394433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4053,2.214599705913674,2.964006476526584,3.2644113477626595,0.0,0.0,0.0,2.814339176734306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4188,2.2146904613711693,2.9642883553383435,3.264784152892716,0.0,0.0,0.0,2.8145876565340764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4323,2.214784210835859,2.96457959937492,3.2651693477661645,0.0,0.0,0.0,2.8148443859923145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4458,2.2148809563081726,2.9648802213257577,3.265566949502202,0.0,0.0,0.0,2.8151093757120442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4593,2.214980699853591,2.9651902343013106,3.265976975786304,0.0,0.0,0.0,2.8153826366470684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4729,2.2150842158671504,2.965512053014931,3.2664026207455117,0.0,0.0,0.0,2.815666296542531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4864,2.2151899842642817,2.965840958884184,3.2668376438384583,0.0,0.0,0.0,2.815956195662308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4999,2.2152987573395073,2.9661792977617285,3.267285148101949,0.0,0.0,0.0,2.8162544010677286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5134,2.2154105374203485,2.9665270844634657,3.267745153513756,0.0,0.0,0.0,2.816560925132523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5269,2.2155253269001767,2.9668843342358295,3.268217680629807,0.0,0.0,0.0,2.8168757805886044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5404,2.2156431282383364,2.967251062757697,3.2687027505866997,0.0,0.0,0.0,2.8171989805275772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5539,2.2157639439603347,2.967627286142644,3.2692003851044245,0.0,0.0,0.0,2.8175305384024676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5674,2.215887776658001,2.9680130209410684,3.269710606489079,0.0,0.0,0.0,2.817870468029383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5809,2.216014628989725,2.9684082841424813,3.2702334376357403,0.0,0.0,0.0,2.8182187835893155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5945,2.2161454769991114,2.9688161274244496,3.2707729156304177,0.0,0.0,0.0,2.8185781733513267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.608,2.2162783992602595,2.9692305710785476,3.2713211312060255,0.0,0.0,0.0,2.818943367181611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
