energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.1867333345818936,2.1867333345818936,2.0366243675885576,0.0,0.0,0.0,2.1366970122507816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4735
0.0153,2.1867345454803426,2.1867345454803426,2.0366253782483175,0.0,0.0,0.0,2.136698156403001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0305,2.1867381465890707,2.1867381465890707,2.0366283838628836,0.0,0.0,0.0,2.136701559013675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0458,2.1867441853489504,2.1867441853489504,2.0366334240238824,0.0,0.0,0.0,2.1367072649072614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0611,2.1867526460798685,2.1867526460798685,2.036640485637086,0.0,0.0,0.0,2.1367152592656073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0764,2.1867635289176084,2.1867635289176084,2.0366495688059443,0.0,0.0,0.0,2.1367255422137204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0916,2.186776739210625,2.186776739210625,2.036660594518789,0.0,0.0,0.0,2.1367380243133467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1069,2.186792450990834,2.186792450990834,2.036673708012506,0.0,0.0,0.0,2.136752869998058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1222,2.186810585516784,2.186810585516784,2.0366888435486556,0.0,0.0,0.0,2.136770004860741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1374,2.1868310008490752,2.1868310008490752,2.0367058826404976,0.0,0.0,0.0,2.136789294779549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1527,2.1868539659386275,2.1868539659386275,2.036725049736594,0.0,0.0,0.0,2.136810993871283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.168,2.186879354761527,2.186879354761527,2.036746239627533,0.0,0.0,0.0,2.136834983050196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1832,2.1869069780701973,2.1869069780701973,2.0367692943360036,0.0,0.0,0.0,2.1368610834921324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1985,2.1869371997733498,2.1869371997733498,2.036794517551783,0.0,0.0,0.0,2.1368896390328276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2138,2.186969846546605,2.186969846546605,2.0368217645807514,0.0,0.0,0.0,2.1369204858913204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2291,2.187004918914398,2.187004918914398,2.0368510358224325,0.0,0.0,0.0,2.1369536245504093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2443,2.187042164473759,2.187042164473759,2.0368821205836096,0.0,0.0,0.0,2.136988816510376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2596,2.187082073897013,2.187082073897013,2.0369154283307314,0.0,0.0,0.0,2.137026525374919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2749,2.187124410718268,2.187124410718268,2.036950761664344,0.0,0.0,0.0,2.1370665277002936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2901,2.1871688751524907,2.1871688751524907,2.0369878703443653,0.0,0.0,0.0,2.137108540216449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3054,2.187216052973743,2.187216052973743,2.0370272431880543,0.0,0.0,0.0,2.1371531163785136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3207,2.187265660347194,2.187265660347194,2.0370686432590652,0.0,0.0,0.0,2.1371999879844843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3359,2.1873173500627736,2.1873173500627736,2.0371117807376824,0.0,0.0,0.0,2.13724882695441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3512,2.1873718030808673,2.1873718030808673,2.0371572238563873,0.0,0.0,0.0,2.137300276672707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3665,2.1874286881570817,2.1874286881570817,2.0372046961109627,0.0,0.0,0.0,2.137354024141709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3818,2.1874880062070794,2.1874880062070794,2.037254198198757,0.0,0.0,0.0,2.137410070204305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.397,2.1875493466741167,2.1875493466741167,2.0373053874383533,0.0,0.0,0.0,2.1374680269288624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4123,2.18761351765862,2.18761351765862,2.037358938125526,0.0,0.0,0.0,2.1375286578142556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4276,2.187680124593764,2.187680124593764,2.037414520912807,0.0,0.0,0.0,2.1375915900334452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4428,2.187748709370763,2.187748709370763,2.0374717534423703,0.0,0.0,0.0,2.1376563907279653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4581,2.187820175527702,2.187820175527702,2.0375313896165475,0.0,0.0,0.0,2.137723913557317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4734,2.1878940809666663,2.1878940809666663,2.0375930604273798,0.0,0.0,0.0,2.137793740786904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4886,2.187969919960973,2.187969919960973,2.037656343790446,0.0,0.0,0.0,2.1378653945707975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5039,2.188048691617217,2.188048691617217,2.0377220733142423,0.0,0.0,0.0,2.1379398188495586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5192,2.188129906242868,2.188129906242868,2.0377898402818997,0.0,0.0,0.0,2.1380165509225453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5345,2.188213565149347,2.188213565149347,2.037859645691727,0.0,0.0,0.0,2.138095591996807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5497,2.1882990989702837,2.1882990989702837,2.03793101437435,0.0,0.0,0.0,2.1381764041049727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.565,2.188387634534428,2.188387634534428,2.038004886444604,0.0,0.0,0.0,2.13826005183782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5803,2.188478618544299,2.188478618544299,2.0380808001271125,0.0,0.0,0.0,2.1383460124052367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5955,2.18857143383494,2.18857143383494,2.0381582403882685,0.0,0.0,0.0,2.1384337026860494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6108,2.1886673031635446,2.1886673031635446,2.0382382273229567,0.0,0.0,0.0,2.1385242778833486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6261,2.1887656254628673,2.1887656254628673,2.0383202593134646,0.0,0.0,0.0,2.138617170079733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6413,2.18886573568029,2.18886573568029,2.038403781394128,0.0,0.0,0.0,2.138711750918236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6566,2.1889689526791973,2.1889689526791973,2.0384898937750977,0.0,0.0,0.0,2.1388092663778306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6719,2.1890746275359128,2.1890746275359128,2.0385780549303245,0.0,0.0,0.0,2.13890910333405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6872,2.189182761964089,2.189182761964089,2.03866826616349,0.0,0.0,0.0,2.1390112633638894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7024,2.1892926268752166,2.1892926268752166,2.0387599191222874,0.0,0.0,0.0,2.1391150576242404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7177,2.189405669645546,2.189405669645546,2.038854221124722,0.0,0.0,0.0,2.139221853471938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.733,2.1895211773609193,2.1895211773609193,2.038950577292587,0.0,0.0,0.0,2.1393309773381417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7482,2.189638372809875,2.189638372809875,2.0390483391623686,0.0,0.0,0.0,2.1394416949273727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7635,2.1897587999451824,2.1897587999451824,2.039148794525021,0.0,0.0,0.0,2.1395554648051287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7788,2.189881697766607,2.189881697766607,2.0392513084191424,0.0,0.0,0.0,2.1396715679841187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.794,2.190006240827007,2.190006240827007,2.039355192184262,0.0,0.0,0.0,2.1397892246127586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8093,2.1901340698812106,2.1901340698812106,2.039461814255727,0.0,0.0,0.0,2.139909984672716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8246,2.1902643757326317,2.1902643757326317,2.0395704995050323,0.0,0.0,0.0,2.1400330836567654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8399,2.1903971605056998,2.1903971605056998,2.039681249547143,0.0,0.0,0.0,2.140158523519514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8551,2.190531534216054,2.190531534216054,2.039793321953427,0.0,0.0,0.0,2.140285463461845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8704,2.190669267134643,2.190669267134643,2.0399081930297536,0.0,0.0,0.0,2.1404155757663466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8857,2.1908094855839737,2.1908094855839737,2.040025133922196,0.0,0.0,0.0,2.1405480350300476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9009,2.1909512510529465,2.1909512510529465,2.0401433617837283,0.0,0.0,0.0,2.140681954629874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9162,2.191096431197665,2.191096431197665,2.0402644340077245,0.0,0.0,0.0,2.140819098801018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9315,2.1912441038589936,2.1912441038589936,2.040387581356093,0.0,0.0,0.0,2.140958596358027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9467,2.1913932818622,2.1913932818622,2.0405119804593284,0.0,0.0,0.0,2.1410995147279093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.962,2.1915459305229574,2.1915459305229574,2.0406392700067357,0.0,0.0,0.0,2.1412437103508837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9773,2.1917010790661213,2.1917010790661213,2.0407686402738827,0.0,0.0,0.0,2.141390266135375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9926,2.191858730037565,2.191858730037565,2.0409000931943364,0.0,0.0,0.0,2.1415391844231553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0078,2.192017831116413,2.192017831116413,2.0410327511674256,0.0,0.0,0.0,2.141689471133417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0231,2.192180478355252,2.192180478355252,2.0411683616802447,0.0,0.0,0.0,2.1418431061302496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0384,2.192345635900284,2.192345635900284,2.04130606082838,0.0,0.0,0.0,2.141999110876316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0536,2.192512202418687,2.192512202418687,2.041444930223935,0.0,0.0,0.0,2.1421564450204365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0689,2.192682372321439,2.192682372321439,2.0415867991805126,0.0,0.0,0.0,2.1423171812744637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0842,2.1928550607963784,2.1928550607963784,2.0417307630470853,0.0,0.0,0.0,2.1424802948799475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0994,2.19302911733695,2.19302911733695,2.0418758625256967,0.0,0.0,0.0,2.142644699066532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1147,2.193206835037273,2.193206835037273,2.0420240090028186,0.0,0.0,0.0,2.1428125596924548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.13,2.193387079967622,2.193387079967622,2.042174256959922,0.0,0.0,0.0,2.1429828056317217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1453,2.1935698551082616,2.1935698551082616,2.0423266086580476,0.0,0.0,0.0,2.143155439624857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1605,2.1937539440868896,2.1937539440868896,2.0424800500214464,0.0,0.0,0.0,2.143329312731742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1758,2.193941772179139,2.193941772179139,2.0426366023305356,0.0,0.0,0.0,2.1435067155629377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1911,2.194132139668551,2.194132139668551,2.0427952653488486,0.0,0.0,0.0,2.143686514895317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2063,2.194323780601808,2.194323780601808,2.0429549837813212,0.0,0.0,0.0,2.143867514994979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2216,2.1945192197557635,2.1945192197557635,2.043117861601691,0.0,0.0,0.0,2.1440521003710726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2369,2.1947172078952697,2.1947172078952697,2.04328285740137,0.0,0.0,0.0,2.14423909106397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2522,2.1949177483136597,2.1949177483136597,2.0434499736768075,0.0,0.0,0.0,2.1444284901013755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2674,2.195119508620297,2.195119508620297,2.043618099921402,0.0,0.0,0.0,2.1446190390539988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2827,2.1953251469219706,2.1953251469219706,2.0437894508733843,0.0,0.0,0.0,2.1448132482391085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.298,2.19553334763354,2.19553334763354,2.043962929978728,0.0,0.0,0.0,2.1450098750819357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3132,2.1957427283335242,2.1957427283335242,2.044137385170314,0.0,0.0,0.0,2.1452076139457876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3285,2.1959560475340085,2.1959560475340085,2.044315114564726,0.0,0.0,0.0,2.145409069877581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3438,2.196171939687651,2.196171939687651,2.0444949800993433,0.0,0.0,0.0,2.145612953158215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.359,2.1963889721361403,2.1963889721361403,2.04467578799036,0.0,0.0,0.0,2.1458179107542135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3743,2.1966100042110623,2.1966100042110623,2.0448599200463655,0.0,0.0,0.0,2.14602664282283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3896,2.196833620199653,2.196833620199653,2.045046196542059,0.0,0.0,0.0,2.1462378123137884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4049,2.197059823857236,2.197059823857236,2.0452346203202345,0.0,0.0,0.0,2.146451422678236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4201,2.197287115171702,2.197287115171702,2.045423941690812,0.0,0.0,0.0,2.146666057344739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4354,2.1975184886473658,2.1975184886473658,2.0456166546222665,0.0,0.0,0.0,2.1468845439723325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4507,2.1977524613172417,2.1977524613172417,2.045811523558285,0.0,0.0,0.0,2.1471054820642563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4659,2.1979874824198378,2.1979874824198378,2.046007256703821,0.0,0.0,0.0,2.1473274071811654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4812,2.198226648309954,2.198226648309954,2.0462064324995053,0.0,0.0,0.0,2.1475532430398045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4965,2.198468425349207,2.198468425349207,2.0464077733429686,0.0,0.0,0.0,2.1477815413471277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5117,2.1987112117932663,2.1987112117932663,2.046609945157492,0.0,0.0,0.0,2.1480107895813414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.527,2.1989582063171467,2.1989582063171467,2.0468156112110285,0.0,0.0,0.0,2.1482440079484406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5423,2.1992078243804953,2.1992078243804953,2.0470234516805847,0.0,0.0,0.0,2.148479700147192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5576,2.199460070220503,2.199460070220503,2.0472334697688623,0.0,0.0,0.0,2.148717870069956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5728,2.1997132737005485,2.1997132737005485,2.047444274706761,0.0,0.0,0.0,2.1489569407026194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5881,2.1999707707580036,2.1999707707580036,2.0476586435021176,0.0,0.0,0.0,2.1492000616727083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6034,2.20023090857266,2.20023090857266,2.047875199724407,0.0,0.0,0.0,2.149445672289909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6186,2.200491965447125,2.200491965447125,2.0480925098856915,0.0,0.0,0.0,2.1496921469266472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6339,2.2007573808023286,2.2007573808023286,2.0483134367000995,0.0,0.0,0.0,2.149942732768252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6492,2.2010254503450035,2.2010254503450035,2.0485365610844166,0.0,0.0,0.0,2.1501958205914744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6644,2.2012944005549047,2.2012944005549047,2.0487604066338063,0.0,0.0,0.0,2.1504497359145387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6797,2.201567774864227,2.201567774864227,2.048987922167031,0.0,0.0,0.0,2.1507078239651616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.695,2.201843817247596,2.201843817247596,2.0492176457523916,0.0,0.0,0.0,2.1509684267491944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7103,2.2021225324468263,2.2021225324468263,2.0494495809679707,0.0,0.0,0.0,2.151231548620541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7255,2.202402077383389,2.202402077383389,2.0496821938353014,0.0,0.0,0.0,2.151495449534026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7408,2.2026861350995657,2.2026861350995657,2.0499185486853806,0.0,0.0,0.0,2.1517636062948373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7561,2.202972880137554,2.202972880137554,2.0501571261076794,0.0,0.0,0.0,2.152034295460929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7713,2.2032604169495134,2.2032604169495134,2.050396348718675,0.0,0.0,0.0,2.152305727539234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7866,2.2035525338909956,2.2035525338909956,2.0506393679360384,0.0,0.0,0.0,2.1525814785726767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8019,2.203847353132878,2.203847353132878,2.050884621017949,0.0,0.0,0.0,2.152859775761235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8171,2.204142926365834,2.204142926365834,2.0511304869553775,0.0,0.0,0.0,2.153138779895682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
