energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.3215251611982266,2.3215251611982266,2.3215251611982266,0.0,0.0,0.0,2.3215251611982266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7714
0.0144,2.3215268681847028,2.3215268681847028,2.3215268681847028,0.0,0.0,0.0,2.3215268681847028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0288,2.321531989184061,2.321531989184061,2.321531989184061,0.0,0.0,0.0,2.321531989184061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0433,2.321540595525231,2.321540595525231,2.321540595525231,0.0,0.0,0.0,2.321540595525231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0577,2.321552568701172,2.321552568701172,2.321552568701172,0.0,0.0,0.0,2.321552568701172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0721,2.3215679564912817,2.3215679564912817,2.3215679564912817,0.0,0.0,0.0,2.3215679564912817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0865,2.3215867592555988,2.3215867592555988,2.3215867592555988,0.0,0.0,0.0,2.3215867592555988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.101,2.3216091436696322,2.3216091436696322,2.3216091436696322,0.0,0.0,0.0,2.3216091436696322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1154,2.321634801506103,2.321634801506103,2.321634801506103,0.0,0.0,0.0,2.321634801506103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1298,2.321663875881182,2.321663875881182,2.321663875881182,0.0,0.0,0.0,2.321663875881182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1442,2.321696367475491,2.321696367475491,2.321696367475491,0.0,0.0,0.0,2.321696367475491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1587,2.321732538374121,2.321732538374121,2.321732538374121,0.0,0.0,0.0,2.321732538374121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1731,2.3217718905141966,2.3217718905141966,2.3217718905141966,0.0,0.0,0.0,2.3217718905141966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1875,2.32181466240299,2.32181466240299,2.32181466240299,0.0,0.0,0.0,2.32181466240299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2019,2.3218608550425164,2.3218608550425164,2.3218608550425164,0.0,0.0,0.0,2.3218608550425164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2164,2.321910826026717,2.321910826026717,2.321910826026717,0.0,0.0,0.0,2.321910826026717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2308,2.321963887270563,2.321963887270563,2.321963887270563,0.0,0.0,0.0,2.321963887270563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2452,2.3220203727629025,2.3220203727629025,2.3220203727629025,0.0,0.0,0.0,2.3220203727629025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2596,2.3220802838284467,2.3220802838284467,2.3220802838284467,0.0,0.0,0.0,2.3220802838284467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
