energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.391766779780375,3.391766779780375,2.713531558880944,0.0,0.0,0.0,3.165688372813898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3777999999999997
0.014,3.3917777108116325,3.3917777108116325,2.713535704655606,0.0,0.0,0.0,3.165697042092957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0279,3.391810193077355,3.391810193077355,2.713548023918278,0.0,0.0,0.0,3.1657228033576623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0419,3.391864696760279,3.391864696760279,2.713568694462601,0.0,0.0,0.0,3.16576602932772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0559,3.3919410709726505,3.3919410709726505,2.713597658176318,0.0,0.0,0.0,3.1658266000405395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0699,3.392039322320073,3.392039322320073,2.713634916323154,0.0,0.0,0.0,3.1659045203211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0838,3.3921585235529785,3.3921585235529785,2.7136801157201207,0.0,0.0,0.0,3.165999054275359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0978,3.392300400124504,3.392300400124504,2.713733908693274,0.0,0.0,0.0,3.166111569647427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1118,3.392464184927382,3.392464184927382,2.7137960020461316,0.0,0.0,0.0,3.1662414573002984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1257,3.3926484878932306,3.3926484878932306,2.713865866208883,0.0,0.0,0.0,3.1663876139984484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1397,3.3928559768504147,3.3928559768504147,2.713944509476045,0.0,0.0,0.0,3.1665521543922917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1537,3.393085422176174,3.393085422176174,2.7140314623204156,0.0,0.0,0.0,3.1667341022242543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1677,3.3933368437710447,3.3933368437710447,2.7141267285416326,0.0,0.0,0.0,3.166933472027907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1816,3.393608232399381,3.393608232399381,2.714229542916139,0.0,0.0,0.0,3.1671486692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1956,3.3939035165313864,3.3939035165313864,2.714341389288778,0.0,0.0,0.0,3.167382807450517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2096,3.3942208479859066,3.3942208479859066,2.714461562591192,0.0,0.0,0.0,3.167634419521002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2235,3.3945577516894083,3.3945577516894083,2.7145891206280703,0.0,0.0,0.0,3.167901541335629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
