energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2742966858101163,3.2742966858101163,3.2098869721161027,0.0,0.0,0.0,3.2528267812454454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911999999999999
0.0178,3.2743031528664335,3.2743031528664335,3.209893284295871,0.0,0.0,0.0,3.252833196676246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0356,3.27432255435834,3.27432255435834,3.2099122211694535,0.0,0.0,0.0,3.252852443295378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0535,3.274355109465106,3.274355109465106,3.2099439967250882,0.0,0.0,0.0,3.252884738551767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0713,3.2744004560670854,3.2744004560670854,3.2099882576100542,0.0,0.0,0.0,3.252929723248075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0891,3.2744587419650175,3.2744587419650175,3.2100451482192676,0.0,0.0,0.0,3.2529875440497675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1069,3.274529970070919,3.274529970070919,3.2101146715667457,0.0,0.0,0.0,3.2530582039028615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1248,3.2746146534074496,3.2746146534074496,3.210197328611157,0.0,0.0,0.0,3.2531422118086852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1426,3.274711850020733,3.274711850020733,3.210292200187085,0.0,0.0,0.0,3.253238633409517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1604,3.27482200149304,3.27482200149304,3.2103997175961996,0.0,0.0,0.0,3.25334790686076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1782,3.2749451133328242,3.2749451133328242,3.2105198865406126,0.0,0.0,0.0,3.25347003773542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1961,3.275081992823874,3.275081992823874,3.2106534953826555,0.0,0.0,0.0,3.253605827010135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2139,3.275231117429793,3.275231117429793,3.210799058370733,0.0,0.0,0.0,3.2537537644101064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2317,3.275393222877024,3.275393222877024,3.210957294089789,0.0,0.0,0.0,3.2539145799479456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2495,3.275568317284364,3.275568317284364,3.211128210945791,0.0,0.0,0.0,3.254088281838173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2674,3.275757502855852,3.275757502855852,3.2113128853886144,0.0,0.0,0.0,3.254275963700106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2852,3.275958675261758,3.275958675261758,3.211509263828648,0.0,0.0,0.0,3.254475538117388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.303,3.2761728649763517,3.2761728649763517,3.2117183527608573,0.0,0.0,0.0,3.2546880275711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3208,3.2764000827494804,3.2764000827494804,3.211940163318455,0.0,0.0,0.0,3.2549134429391384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3387,3.2766417266076235,3.2766417266076235,3.2121760609753607,0.0,0.0,0.0,3.2551531713968695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3565,3.276895108751252,3.276895108751252,3.2124234225702044,0.0,0.0,0.0,3.2554045466909027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3743,3.2771615552488615,3.2771615552488615,3.2126835433869485,0.0,0.0,0.0,3.2556688846282236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3921,3.2774410795087707,3.2774410795087707,3.212956437317132,0.0,0.0,0.0,3.2559461987782243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41,3.277735376527731,3.277735376527731,3.213243760050478,0.0,0.0,0.0,3.2562381710353137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4278,3.2780411728899366,3.2780411728899366,3.213542316633571,0.0,0.0,0.0,3.2565415541378147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4456,3.2783600913496613,3.2783600913496613,3.2138536922730623,0.0,0.0,0.0,3.256857958324128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4634,3.2786921480079556,3.2786921480079556,3.214177903657755,0.0,0.0,0.0,3.2571873998912224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4813,3.279039336228075,3.279039336228075,3.2145168981437555,0.0,0.0,0.0,3.257531856866635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4991,3.2793977943565134,3.2793977943565134,3.214866906272572,0.0,0.0,0.0,3.257887498328533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5169,3.279769443172363,3.279769443172363,3.215229804565274,0.0,0.0,0.0,3.2582562303033336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5347,3.2801543015110513,3.2801543015110513,3.2156056125550094,0.0,0.0,0.0,3.2586380718590373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5525,3.2805523888979793,3.2805523888979793,3.215994350493355,0.0,0.0,0.0,3.2590330427631042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5704,3.280966073896952,3.280966073896952,3.2163983326569388,0.0,0.0,0.0,3.259443493483614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5882,3.281390755344093,3.281390755344093,3.2168130670816537,0.0,0.0,0.0,3.2598648592566133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.606,3.2818287287108387,3.2818287287108387,3.2172407966849947,0.0,0.0,0.0,3.2602994180355576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6238,3.2822800163191355,3.2822800163191355,3.2176815446336713,0.0,0.0,0.0,3.260747192423981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6417,3.282747289169189,3.282747289169189,3.2181379211028576,0.0,0.0,0.0,3.2612108331470786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6595,3.283225350188192,3.283225350188192,3.2186048516783563,0.0,0.0,0.0,3.2616851840182464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6773,3.283716796810881,3.283716796810881,3.21908487468817,0.0,0.0,0.0,3.2621728227699776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6951,3.2842216542141864,3.2842216542141864,3.2195780162807104,0.0,0.0,0.0,3.262673774903028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.713,3.284742898067825,3.284742898067825,3.220087184854572,0.0,0.0,0.0,3.2631909936634074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7308,3.285274731171794,3.285274731171794,3.220606719172243,0.0,0.0,0.0,3.2637187271719434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7486,3.2858200550970307,3.2858200550970307,3.221139455234597,0.0,0.0,0.0,3.264259855142886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7664,3.2863788979419826,3.2863788979419826,3.2216854222477123,0.0,0.0,0.0,3.2648144060438926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7843,3.2869545425482127,3.2869545425482127,3.222247829440786,0.0,0.0,0.0,3.2653856381790707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8021,3.287540586857925,3.287540586857925,3.222820423845174,0.0,0.0,0.0,3.265967199187008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8199,3.288140239019018,3.288140239019018,3.2234063416779906,0.0,0.0,0.0,3.266562273238675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8377,3.2887535301264967,3.2887535301264967,3.224005615288656,0.0,0.0,0.0,3.2671708918472167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8556,3.2893840529722076,3.2893840529722076,3.2246217576346425,0.0,0.0,0.0,3.2677966211930194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8734,3.2900247953852295,3.2900247953852295,3.225247918559533,0.0,0.0,0.0,3.2684325031099974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8912,3.2906792748059077,3.2906792748059077,3.22588753732879,0.0,0.0,0.0,3.269082028980202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.909,3.291347525409677,3.291347525409677,3.226540649531289,0.0,0.0,0.0,3.2697452334502146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9269,3.292033453000928,3.292033453000928,3.2272110750496243,0.0,0.0,0.0,3.2704259936838267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9447,3.2927294295017946,3.2927294295017946,3.2278913605185577,0.0,0.0,0.0,3.2711167398407155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9625,3.293439284642772,3.293439284642772,3.2285852513813698,0.0,0.0,0.0,3.271821273555638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9803,3.2941630557729535,3.2941630557729535,3.229292786573569,0.0,0.0,0.0,3.272539632706492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9981,3.294900781049521,3.294900781049521,3.230014005884269,0.0,0.0,0.0,3.2732718559944374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.016,3.295656762183359,3.295656762183359,3.2307531177103472,0.0,0.0,0.0,3.2740222140256883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0338,3.296422592439879,3.296422592439879,3.231501905535396,0.0,0.0,0.0,3.274782363471718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0516,3.2972024964596898,3.2972024964596898,3.2322645022852776,0.0,0.0,0.0,3.2755564984015524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0694,3.297996515704317,3.297996515704317,3.2330409512462945,0.0,0.0,0.0,3.2763446608849764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0873,3.2988092728698346,3.2988092728698346,3.2338357760796166,0.0,0.0,0.0,3.277151440606429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1051,3.2996317302296374,3.2996317302296374,3.234640141356833,0.0,0.0,0.0,3.277967867272036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1229,3.3004684325347884,3.3004684325347884,3.2354584943613767,0.0,0.0,0.0,3.278798453143651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1407,3.30131942466789,3.30131942466789,3.2362908820116614,0.0,0.0,0.0,3.2796432437824805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1586,3.3021896543592044,3.3021896543592044,3.2371421474772606,0.0,0.0,0.0,3.280507152065223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1764,3.3030694452310274,3.3030694452310274,3.238002828430173,0.0,0.0,0.0,3.281380572964076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1942,3.303963666122698,3.303963666122698,3.2388776906806958,0.0,0.0,0.0,3.2822683409753637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.212,3.3048723654661116,3.3048723654661116,3.2397667849281095,0.0,0.0,0.0,3.2831705052867775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2299,3.3058008204020926,3.3058008204020926,3.240675278444249,0.0,0.0,0.0,3.2840923064161447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2477,3.3067387076265473,3.3067387076265473,3.2415930733603595,0.0,0.0,0.0,3.2850234962044844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2655,3.3076912243697425,3.3076912243697425,3.242525258529966,0.0,0.0,0.0,3.285969235756484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2833,3.308658422753495,3.308658422753495,3.2434718885967277,0.0,0.0,0.0,3.2869295780345724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3012,3.3096459140460577,3.3096459140460577,3.2444384598939755,0.0,0.0,0.0,3.2879100959953633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.319,3.310642719101988,3.310642719101988,3.245414229690378,0.0,0.0,0.0,3.288899889298118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3368,3.31165436818298,3.31165436818298,3.2464046147610417,0.0,0.0,0.0,3.2899044503756674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3546,3.3126809172547462,3.3126809172547462,3.2474096738739617,0.0,0.0,0.0,3.2909238361278184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3725,3.3137283167845117,3.3137283167845117,3.248435237765149,0.0,0.0,0.0,3.2919639571113906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3903,3.314784922205655,3.314784922205655,3.2494699088086123,0.0,0.0,0.0,3.2930132510733077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4081,3.3158566018035978,3.3158566018035978,3.2505194369583927,0.0,0.0,0.0,3.294077546855196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4259,3.316943415556255,3.316943415556255,3.2515838853041483,0.0,0.0,0.0,3.29515690547222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4438,3.3180516585720987,3.3180516585720987,3.252669424726665,0.0,0.0,0.0,3.296257580623621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4616,3.3191690105904152,3.3191690105904152,3.2537639919304926,0.0,0.0,0.0,3.297367337703774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4794,3.320301683280086,3.320301683280086,3.254873675702961,0.0,0.0,0.0,3.2984923474210444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4972,3.3214497408151527,3.3214497408151527,3.2559985436720074,0.0,0.0,0.0,3.2996326751007707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.515,3.3226132484479565,3.3226132484479565,3.2571386646347675,0.0,0.0,0.0,3.3007883871768935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5329,3.323798940209769,3.323798940209769,3.2583006432485,0.0,0.0,0.0,3.301966174556013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5507,3.3249936359145575,3.3249936359145575,3.259471568030218,0.0,0.0,0.0,3.3031529466197775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5685,3.326203984460931,3.326203984460931,3.260657959775462,0.0,0.0,0.0,3.304355309565775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5863,3.327430055551187,3.327430055551187,3.261859892120011,0.0,0.0,0.0,3.305573334407461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6042,3.3286789415476044,3.3286789415476044,3.2630843243579357,0.0,0.0,0.0,3.306814069151048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.622,3.3299367607643147,3.3299367607643147,3.2643176521925894,0.0,0.0,0.0,3.30806372457374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6398,3.331210518974356,3.331210518974356,3.2655667495324687,0.0,0.0,0.0,3.3093292624937267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6576,3.3325002905541736,3.3325002905541736,3.2668316951186798,0.0,0.0,0.0,3.3106107587423423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6755,3.3338135329715284,3.3338135329715284,3.2681198100790065,0.0,0.0,0.0,3.311915625340688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6933,3.3351356502905767,3.3351356502905767,3.269416783850756,0.0,0.0,0.0,3.313229361477303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7111,3.336474011838437,3.336474011838437,3.270729850550439,0.0,0.0,0.0,3.314559291409104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7289,3.337828696910301,3.337828696910301,3.272059094316971,0.0,0.0,0.0,3.3159054960458576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7468,3.3392075353098543,3.3392075353098543,3.273412205811883,0.0,0.0,0.0,3.317275758810531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7646,3.3405952032584096,3.3405952032584096,3.274774153834931,0.0,0.0,0.0,3.3186548534505835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.7824,3.341999440768094,3.341999440768094,3.2761525403034355,0.0,0.0,0.0,3.320050473946541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8002,3.343420332320045,3.343420332320045,3.2775474550752537,0.0,0.0,0.0,3.321462706571781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8181,3.3448660877657947,3.3448660877657947,3.278966966579611,0.0,0.0,0.0,3.322899714037067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8359,3.3463206410037287,3.3463206410037287,3.2803953076354597,0.0,0.0,0.0,3.324345529880972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8537,3.3477921103385317,3.3477921103385317,3.281840456081984,0.0,0.0,0.0,3.3258082255863495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.8715,3.3492805857291392,3.3492805857291392,3.283302507848743,0.0,0.0,0.0,3.3272878931023406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
