energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.7828311205053673,3.0691538048627702,3.0267035936508377,0.0,0.0,0.0,2.959562839672992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7161
0.0148,2.7828344535917364,3.0691581309481735,3.0267079796345278,0.0,0.0,0.0,2.9595668547248124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0296,2.782844452957706,3.0691711093487792,3.0267211377451226,0.0,0.0,0.0,2.9595789000172026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0445,2.7828612542072433,3.0691929160855853,3.026743246480799,0.0,0.0,0.0,2.9595991389245424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,2.7828846323583125,3.0692232591780026,3.0267740098832685,0.0,0.0,0.0,2.9596273004731946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0741,2.782914678397682,3.0692622567601844,3.026813547814503,0.0,0.0,0.0,2.9596634943241233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0889,2.782951393288773,3.069309910134404,3.026861861712876,0.0,0.0,0.0,2.9597077217120176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1038,2.782995094039495,3.069366630819857,3.026919368949889,0.0,0.0,0.0,2.95976036460308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1186,2.78304519546261,3.0694316593575004,3.026985299706673,0.0,0.0,0.0,2.9598207181755947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1334,2.783101969923533,3.069505349345493,3.0270600126807756,0.0,0.0,0.0,2.959889110649934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1482,2.7831654192437556,3.0695877032459324,3.0271435105920004,0.0,0.0,0.0,2.959965544360563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.163,2.783235545459384,3.0696787238109002,3.027235796480572,0.0,0.0,0.0,2.960050021916952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1779,2.7833128924990067,3.069779117160561,3.027337586571136,0.0,0.0,0.0,2.960143198743568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1927,2.7833964246278313,3.069887539085867,3.027447518257762,0.0,0.0,0.0,2.9602438273238203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2075,2.7834866410686674,3.0700046377002392,3.027566248996868,0.0,0.0,0.0,2.9603525092552583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2223,2.783583544719572,3.0701304169206733,3.0276937831163817,0.0,0.0,0.0,2.9604692482522093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2372,2.7836878614163156,3.070265819045488,3.027831076466483,0.0,0.0,0.0,2.9605949189760956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,2.7837981942842513,3.0704090311234697,3.027976291185928,0.0,0.0,0.0,2.9607278388645497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2668,2.7839152243772247,3.0705609373432527,3.028130324243317,0.0,0.0,0.0,2.9608688286545983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2816,2.7840389554599447,3.070721542792799,3.02829318126183,0.0,0.0,0.0,2.9610178931715248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2964,2.78416939151428,3.0708908528535512,3.0284648681893853,0.0,0.0,0.0,2.9611750375190717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3113,2.7843074862258668,3.0710701056799126,3.0286466411184705,0.0,0.0,0.0,2.961341411008083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3261,2.7844513904175536,3.0712569011982174,3.0288360667816594,0.0,0.0,0.0,2.961514786132477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3409,2.784602012865868,3.0714524192811967,3.0290343422004917,0.0,0.0,0.0,2.961696258115852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3557,2.7847593584271872,3.0716566664914753,3.0292414746308265,0.0,0.0,0.0,2.9618858331831626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3706,2.7849245636795867,3.071871118492632,3.0294589612643814,0.0,0.0,0.0,2.962084881145534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3854,2.7850954164292334,3.072092903931659,3.029683890776573,0.0,0.0,0.0,2.9622907370458216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4002,2.7852730082175605,3.072323440017901,3.0299177010981055,0.0,0.0,0.0,2.9625047164445224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.415,2.785457344783324,3.0725627345054622,3.030160400805603,0.0,0.0,0.0,2.96272682669813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4299,2.7856497461918113,3.0728125013703966,3.030413729079825,0.0,0.0,0.0,2.962958658880678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4447,2.7858476360919613,3.073069396438744,3.030674294835934,0.0,0.0,0.0,2.963197109122213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
