energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.273680600836692,4.009297847394587,3.896913926886935,0.0,0.0,0.0,4.0599641250394045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9815000000000005
0.0182,4.273695344961146,4.009313309059108,3.896927890022872,0.0,0.0,0.0,4.059978848014375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0364,4.273739578416131,4.009359695477032,3.8969697806158226,0.0,0.0,0.0,4.060023018169662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0547,4.273813791012728,4.009437521180206,3.8970400630218416,0.0,0.0,0.0,4.060097125071592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0729,4.273917177124616,4.009545942778434,3.8971379750882433,0.0,0.0,0.0,4.060200364997098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0911,4.274050068844318,4.009685310564901,3.897263832447467,0.0,0.0,0.0,4.060333070618896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1093,4.274212475925948,4.009855637385833,3.897417645788159,0.0,0.0,0.0,4.060495253033313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1275,4.274404410292705,4.010056938946145,3.8975994281769704,0.0,0.0,0.0,4.060686925805274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1458,4.274627184572075,4.0102905958117745,3.8978104249618704,0.0,0.0,0.0,4.060909401781907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.164,4.274878380423254,4.010554075898302,3.898048348088643,0.0,0.0,0.0,4.0611602681367325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1822,4.275159152481027,4.010848595180754,3.8983142938854414,0.0,0.0,0.0,4.061440680515741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2004,4.2754695213886755,4.011174180867111,3.8986082849835517,0.0,0.0,0.0,4.061750662413114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2186,4.275809509976749,4.0115308630543005,3.8989303464151552,0.0,0.0,0.0,4.062090239815402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
