energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.1936999277244045,4.150225303594567,4.023618873105539,0.0,0.0,0.07490305055073283,4.122514701474837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6119
0.0129,4.1937151456132185,4.150240165017652,4.023632470650413,0.0,0.0,0.07490278267302837,4.122529260427094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0258,4.193760800692942,4.150284750594611,4.02367326448026,0.0,0.0,0.07490197892963378,4.122572938589271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0388,4.193837606020369,4.150359756457374,4.0237418915210235,0.0,0.0,0.07490062650683516,4.122646417999589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0517,4.193944387100018,4.150464035262222,4.023837301997556,0.0,0.0,0.07489874565506487,4.122748574786598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0646,4.194081626664843,4.150598057924327,4.0239599267674055,0.0,0.0,0.0748963272755963,4.122879870452192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0775,4.194249337468181,4.150761836243511,4.024109776615534,0.0,0.0,0.0748933703727805,4.123040316775742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0905,4.194449190644237,4.150957001344162,4.024288343933788,0.0,0.0,0.07488984451162026,4.123231511974063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1034,4.194678130090521,4.151180567858688,4.024492897228718,0.0,0.0,0.07488580248632658,4.123450531725976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1163,4.194937596251099,4.151433941353147,4.024724722512541,0.0,0.0,0.07488121760444448,4.123698753372262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1292,4.195227613279254,4.15171714416994,4.024983840207797,0.0,0.0,0.07487608797820584,4.123976199218997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1422,4.1955508129340915,4.152032744776414,4.025272600322937,0.0,0.0,0.07487036534974481,4.124285386011148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1551,4.195902252999158,4.152375915604098,4.025586585830833,0.0,0.0,0.07486413540611388,4.124621584811362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.168,4.196284333849821,4.1527489989156665,4.025927939771126,0.0,0.0,0.07485735368422734,4.124987090845537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1809,4.19669709115302,4.153152027691554,4.026296692294677,0.0,0.0,0.07485001739136415,4.125381937046417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1939,4.197144121322461,4.153588511457871,4.026696054427132,0.0,0.0,0.07484206012705659,4.125809562402488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2068,4.197618588722875,4.154051773677519,4.027119917425212,0.0,0.0,0.07483360103777162,4.126263426608536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2197,4.198123857360404,4.15454509671806,4.02757128447627,0.0,0.0,0.07482457759507109,4.126746746184911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,4.198659974584361,4.1550685243396295,4.028050195593989,0.0,0.0,0.07481498608223924,4.127259564839327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2456,4.199231506994449,4.155626512224567,4.02856072748745,0.0,0.0,0.0748047415160934,4.127806248902155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2585,4.199829715400404,4.156210525480063,4.029095071120619,0.0,0.0,0.07479399729039823,4.128378437333695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2714,4.200458932636009,4.156824791364841,4.029657094210881,0.0,0.0,0.0747826723967561,4.128980272737244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2843,4.201119217958384,4.157469364607663,4.0302468468143715,0.0,0.0,0.07477076216900402,4.129611809793473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2973,4.201816115213662,4.158149653548952,4.0308692772770565,0.0,0.0,0.0747581624776687,4.13027834867989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3102,4.20253896864215,4.158855252894281,4.031514865261858,0.0,0.0,0.07474506197831435,4.13096969559943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3231,4.203293086625235,4.159591340979123,4.03218834868103,0.0,0.0,0.07473136064516796,4.131690925428463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.336,4.204078540612282,4.160357983738823,4.032889787859614,0.0,0.0,0.07471705283049615,4.13244210407024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3489,4.204895405146422,4.161155249948081,4.033619245725859,0.0,0.0,0.07470213263583006,4.133223300273454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3619,4.205750457467397,4.161989749632565,4.034382770122563,0.0,0.0,0.07468647102159502,4.134040992407509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3748,4.206630624258382,4.162848719339504,4.035168683161356,0.0,0.0,0.07467030248553976,4.134882675586414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3877,4.207542444681705,4.163738536659389,4.03598282003481,0.0,0.0,0.07465350229091981,4.135754600458635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4006,4.208486005915834,4.164659281943296,4.036825254292159,0.0,0.0,0.07463606350765474,4.136656847383763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4136,4.209469084113563,4.165618537795846,4.03770292366506,0.0,0.0,0.07461783620879285,4.137596848524823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
