energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2746093410067005,3.2746093410067005,3.2013577008458833,0.0,0.0,0.0,3.2501921276197616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870100000000001
0.0211,3.274617478086509,3.274617478086509,3.2013660581921535,0.0,0.0,0.0,3.250200338121724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0421,3.2746417357469815,3.2746417357469815,3.2013909725713656,0.0,0.0,0.0,3.2502248146884427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0632,3.2746823465090213,3.2746823465090213,3.201432683030589,0.0,0.0,0.0,3.25026579201621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0843,3.2747392359282554,3.2747392359282554,3.2014911134971764,0.0,0.0,0.0,3.2503231951178955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1053,3.274812022318174,3.274812022318174,3.2015658724798706,0.0,0.0,0.0,3.250396639038739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1264,3.2749014033717634,3.2749014033717634,3.201657677274521,0.0,0.0,0.0,3.2504868280060157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1475,3.2750070765831727,3.2750070765831727,3.2017662180321698,0.0,0.0,0.0,3.250593457066172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1685,3.275128431951445,3.275128431951445,3.2018908691869163,0.0,0.0,0.0,3.2507159110299355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1896,3.2752666327327824,3.2752666327327824,3.202032826747595,0.0,0.0,0.0,3.2508553640710534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2107,3.275421148199263,3.275421148199263,3.2021915469014917,0.0,0.0,0.0,3.251011281100006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2317,3.275591139705526,3.275591139705526,3.202366169620824,0.0,0.0,0.0,3.251182816343959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2528,3.275778236723787,3.275778236723787,3.2025583704023477,0.0,0.0,0.0,3.251371614616641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2739,3.275981680020553,3.275981680020553,3.2027673711381586,0.0,0.0,0.0,3.2515769103930885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2949,3.27620040185274,3.27620040185274,3.2029920768066313,0.0,0.0,0.0,3.2517976268373707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.316,3.2764364988240233,3.2764364988240233,3.2032346434794983,0.0,0.0,0.0,3.2520358803758485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3371,3.27668898278861,3.27668898278861,3.20349405827785,0.0,0.0,0.0,3.2522906746183566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
