energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,6.349848727062723,6.701412793817064,6.148059995208551,0.0,0.0,-0.07615276455853802,6.399773838696113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3050999999999995
0.0133,6.349892416008305,6.701461303769241,6.148098093971057,0.0,0.0,-0.07615328578798215,6.3998172712495345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.9970446678773,0.0,
0.0265,6.350022178384267,6.7016053849354,6.1482112519119045,0.0,0.0,-0.07615483354879729,6.3999462717438576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.2046511862587,0.0,
0.0398,6.350240001545837,6.701847243105526,6.148401199670383,0.0,0.0,-0.07615743044116294,6.400162814773915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.2244562044768,0.0,
0.053,6.350542645028657,6.702183278832649,6.148665107490428,0.0,0.0,-0.07616103600919487,6.400463677117244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482.4696688479992,0.0,
0.0663,6.350934743955101,6.702618636638571,6.149007011603931,0.0,0.0,-0.07616570289246001,6.400853464065868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1854.5424596944927,0.0,
0.0795,6.351410465293559,6.70314683737822,6.1494218185163065,0.0,0.0,-0.07617135837255233,6.401326373729361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2223.855191270635,0.0,
0.0928,6.351977095028634,6.70377596760059,6.149915872386744,0.0,0.0,-0.07617808499288782,6.401889645005323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2596.0109922544107,0.0,
0.106,6.3526262038714965,6.704496664496893,6.150481813167771,0.0,0.0,-0.07618577790639819,6.402534893845387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2965.420898027085,0.0,
0.1193,6.35336773354043,6.705319961829224,6.15112829661888,0.0,0.0,-0.07619454934606928,6.403271997329511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3337.68941497183,0.0,
0.1325,6.354190653149538,6.706233607387185,6.151845692068067,0.0,0.0,-0.07620426253084675,6.4040899842015975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707.2257747579883,0.0,
0.1458,6.355107566810588,6.707251589233023,6.152644971895054,0.0,0.0,-0.07621505908847558,6.4050013759795545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4079.636274417433,0.0,
0.159,6.3561048350393845,6.708358758234042,6.153514229466588,0.0,0.0,-0.07622677056088843,6.405992607580004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449.327870823685,0.0,
0.1723,6.357197732805457,6.709572065755614,6.15446676015901,0.0,0.0,-0.0762395675927919,6.407078852906694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4821.909055773402,0.0,
0.1855,6.358370003348487,6.710873456424565,6.155488374766486,0.0,0.0,-0.07625325037032137,6.408243944846514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5191.784047297316,0.0,
0.1988,6.359639602785366,6.712282855847746,6.156594699408583,0.0,0.0,-0.0762680180911774,6.409505719347231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.563924982851,0.0,
0.212,6.360987646706036,6.713779291277352,6.157769254407901,0.0,0.0,-0.07628363997362961,6.4108453974637625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5934.649712630145,0.0,
0.2253,6.362434784515233,6.715385675458236,6.159030005759755,0.0,0.0,-0.0763003432143046,6.412283488577742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6307.655457168757,0.0,
0.2385,6.363959492061071,6.7170781052967445,6.160358174114382,0.0,0.0,-0.07631786652121574,6.413798590490733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677.978543143963,0.0,
0.2518,6.365585126057558,6.718882495558385,6.16177407588054,0.0,0.0,-0.07633646444104634,6.415413899165494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7051.236348371273,0.0,
0.265,6.367287508773712,6.720771997969124,6.163256621515483,0.0,0.0,-0.07635584570237082,6.4171053760861065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7421.822185285118,0.0,
0.2783,6.369092720170558,6.722775546215982,6.164828489806606,0.0,0.0,-0.07637629145266935,6.418898918731049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7795.357107409912,0.0,
0.2915,6.3709739133244785,6.7248633301178415,6.166466269157619,0.0,0.0,-0.07639748104921426,6.420767837533313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8166.229936304058,0.0,
0.3048,6.372959909338019,6.72706732123871,6.168195014152922,0.0,0.0,-0.07641972138415665,6.422740748243217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8540.065724379094,0.0,
0.318,6.375021174670301,6.729354728838439,6.169988977919447,0.0,0.0,-0.07644266313364735,6.424788293809395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8911.248399702332,0.0,
0.3313,6.377189291462782,6.731760583409425,6.171875605738669,0.0,0.0,-0.07646663796400968,6.426941826870292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9285.407311932462,0.0,
0.3445,6.379432020281506,6.734249093037759,6.1738268008491906,0.0,0.0,-0.07649126864791775,6.4291693047228184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9656.9211113998,0.0,
0.3578,6.381783726259156,6.736858370338472,6.175872415643996,0.0,0.0,-0.07651691053240989,6.4315048374138755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10031.423715090696,0.0,
0.371,6.384209442897971,6.739549599604642,6.177981987444951,0.0,0.0,-0.07654315935790272,6.433913676649188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10403.288132120426,0.0,
0.3843,6.386746342386849,6.742364000962657,6.180187793721192,0.0,0.0,-0.07657039292593035,6.4364327123569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10778.15308480779,0.0,
0.3975,6.389356708049017,6.745259710242669,6.182456988400577,0.0,0.0,-0.07659818091637362,6.439024468897421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11150.385600950234,0.0,
0.4108,6.392080545372467,6.748281082723232,6.18482429358389,0.0,0.0,-0.0766269222151248,6.441728640559863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11525.62940994494,0.0,
0.424,6.394877362387535,6.751383179000366,6.187254460843978,0.0,0.0,-0.07665616152153225,6.44450500074396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11898.245244386058,0.0,
0.4373,6.397790026373681,6.754613519460366,6.189784678103756,0.0,0.0,-0.0766863172791402,6.447396074645934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12273.882001608064,0.0,
0.4505,6.400775242895745,6.757924060537035,6.192377274097759,0.0,0.0,-0.07671691040376422,6.450358859176846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12646.8938344416,0.0,
0.4638,6.4038787718464505,6.76136552006466,6.1950719254453155,0.0,0.0,-0.07674837719899992,6.453438739118809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13022.934922989452,0.0,
0.477,6.407054487028073,6.764886719168929,6.197828515995242,0.0,0.0,-0.07678021612087478,6.456589907397415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13396.352588492551,0.0,
0.4903,6.410351074185893,6.768541607932931,6.2006892356749015,0.0,0.0,-0.07681287944831916,6.459860639264575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13772.806356893134,0.0,
0.5035,6.413719543865751,6.772275838744101,6.2036114997901475,0.0,0.0,-0.07684584463895815,6.4632022941333345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14146.63650249895,0.0,
0.5168,6.417211543419131,6.776146631278978,6.20664003798428,0.0,0.0,-0.0768795778568614,6.466666070894129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14523.507901989844,0.0,
0.53,6.4207751863667895,6.780096433400522,6.209729771702755,0.0,0.0,-0.07691353717242752,6.470200463823356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14897.753608010562,0.0,
0.5433,6.424465120041223,6.7841857743580825,6.2129279985734875,0.0,0.0,-0.07694820031840488,6.473859630990931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15275.043787505221,0.0,
0.5565,6.428226524808113,6.788353859269137,6.216187119150031,0.0,0.0,-0.07698300775246868,6.477589167742427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15649.704141900414,0.0,
0.5698,6.432117089095758,6.792664569668717,6.219557029244653,0.0,0.0,-0.07701844620978346,6.481446229336375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16027.409994454958,0.0,
0.583,6.436079021529469,6.797053827188833,6.222987579714542,0.0,0.0,-0.07705394048821092,6.485373476144281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16402.479616042205,0.0,
0.5963,6.440173095617617,6.80158891120436,6.22653129676426,0.0,0.0,-0.07708998348254376,6.489431101195412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16780.59326965176,0.0,
0.6095,6.444338507103258,6.806202416510486,6.230135450913087,0.0,0.0,-0.07712598647896074,6.493558791508943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17156.06177208096,0.0,
0.6228,6.448639161571852,6.81096506883502,6.233855233058405,0.0,0.0,-0.07716244538221605,6.497819821155093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17534.57001645414,0.0,
0.636,6.453011198073993,6.815806090074744,6.237635300834212,0.0,0.0,-0.07719876032886368,6.502150862994316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17910.421403985634,0.0,
0.6493,6.457521704440741,6.820799703909403,6.2415335463157415,0.0,0.0,-0.07723542674254304,6.506618318221963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18289.30504352981,0.0,
0.6625,6.462103716431083,6.825871710458203,6.245491979723438,0.0,0.0,-0.07727183620699868,6.51115580220424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18665.51702811842,0.0,
0.6758,6.466827557636285,6.831099886177279,6.24957123308117,0.0,0.0,-0.07730847979285953,6.515832892298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19044.750149665037,0.0,
0.689,6.471623111003922,6.8364065575956,6.253710632605446,0.0,0.0,-0.07734474338586332,6.520580100401656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19421.293376995494,0.0,
0.7023,6.476563992939968,6.841873112146495,6.257973591435683,0.0,0.0,-0.07738110940584308,6.525470232174048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19800.842518743193,0.0,
0.7155,6.481576880997027,6.8474183478975235,6.26229671304486,0.0,0.0,-0.07741696117917389,6.530430647313136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20177.679688615943,0.0,
