energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.03222254919493,2.9913018603913994,2.938042776816329,0.0,0.0,0.043429309796835444,2.987189062134219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7743
0.016,3.032226595155046,2.9913055360844485,2.938046620685694,0.0,0.0,0.04342937289160722,2.987192917308396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0321,3.0322388345097773,2.991316655327654,2.9380582486984763,0.0,0.0,0.043429563755102533,2.9872045795119693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0481,3.0322591157158456,2.9913350803754817,2.938077516877268,0.0,0.0,0.04342988001439703,2.987223904322865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0641,3.0322874903327377,2.9913608579509816,2.938104474200367,0.0,0.0,0.04343032245740345,2.9872509408280288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0801,3.0323239595172633,2.991393988940114,2.9381391217586184,0.0,0.0,0.043430891079590465,2.987285690071999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0962,3.0323688287511854,2.9914347506456913,2.9381817497642473,0.0,0.0,0.043431590614338544,2.9873284430537077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1122,3.032421542480689,2.99148263811096,2.9382318304006,0.0,0.0,0.04343241236459207,2.98737867033075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1282,3.032482356245042,2.991537883176425,2.9382896064274693,0.0,0.0,0.043433360272536435,2.9874366152829785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1443,3.032551728736645,2.991600902167068,2.938355513606835,0.0,0.0,0.04343444143788146,2.987502714836849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1603,3.0326288010138396,2.9916709144037816,2.938428735883071,0.0,0.0,0.043435642418809366,2.9875761504335636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1763,3.0327139817851116,2.9917482907171524,2.9385096615266333,0.0,0.0,0.04343696952394284,2.9876573113429656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1923,3.0328072745293175,2.991833033770214,2.9385982938180564,0.0,0.0,0.0434384227394286,2.9877462007058626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2084,3.0329093423903237,2.991925745365519,2.9386952627456013,0.0,0.0,0.043440012317198975,2.987843450167148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2244,3.0330189216121175,2.9920252769958484,2.938799367656415,0.0,0.0,0.0434417184942228,2.98794785542146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2404,3.0331366252716476,2.9921321849052664,2.9389111909690993,0.0,0.0,0.043443550731564994,2.9880600003820046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2564,3.0332624581846894,2.9922464727784037,2.9390307372248436,0.0,0.0,0.04344550900972917,2.9881798893959792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2725,3.0333972883883566,2.9923689282321906,2.939158831054982,0.0,0.0,0.043447606730848666,2.9883083492251763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2885,3.0335394464902286,2.992498034300713,2.9392938864342337,0.0,0.0,0.04344981781371384,2.9884437890750584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3045,3.033689750345699,2.9926345329536925,2.939436680315964,0.0,0.0,0.04345215486990043,2.9885869878717854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
