energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.865980971357943,2.9342094828257346,2.890426377775761,0.0,0.0,-0.004735916367322276,2.896872277319813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8842
0.0158,2.865984384134658,2.934212866244308,2.890429907684143,0.0,0.0,-0.004735921413338859,2.8968757193543695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.20539510805204,0.0,
0.0316,2.8659946225882162,2.9342230166066625,2.8904404975390916,0.0,0.0,-0.004735936551081626,2.8968860455779897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.41114247270716,0.0,
0.0474,2.8660116870888164,2.934239934232719,2.8904581477300373,0.0,0.0,-0.004735961779630243,2.8969032563505244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.61759431299583,0.0,
0.0632,2.8660355782534896,2.9342636196557894,2.8904828589060667,0.0,0.0,-0.004735997097450435,2.8969273522717818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.8251027727914,0.0,
0.0789,2.8660660810525904,2.9342938595901016,2.8905144086720433,0.0,0.0,-0.004736042183306572,2.8969581164382454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.3364899263844,0.0,
0.0947,2.8661035851611754,2.9343310402121734,2.8905532000975747,0.0,0.0,-0.004736097608793701,2.8969959418236413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.5471553193224,0.0,
0.1105,2.8661479192577155,2.93437499150361,2.890599056004688,0.0,0.0,-0.004736163115283951,2.8970406555886705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.7599307108311,0.0,
0.1263,2.8661990849461803,2.9344257148504744,2.8906519780807125,0.0,0.0,-0.004736238698785135,2.8970922592924553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.9751675690825,0.0,
0.1421,2.866257084078155,2.934483211852675,2.8907119682734246,0.0,0.0,-0.00473632435468729,2.8971507547347515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.1932170987299,0.0,
0.1579,2.8663219187530053,2.9345474843240966,2.890779028791228,0.0,0.0,-0.0047364200777611585,2.89721614395611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.41443020294,0.0,
0.1737,2.8663935913181695,2.9346185342928894,2.8908531621035625,0.0,0.0,-0.00473652586215696,2.8972884292382073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.63915744536,0.0,
0.1895,2.8664721043694836,2.934696364001624,2.8909343709411224,0.0,0.0,-0.0047366417014025,2.897367613104077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.8677490119205,0.0,
0.2053,2.8665574607514634,2.934780975907552,2.8910226582962455,0.0,0.0,-0.00473676758840146,2.8974536983184205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.1005546725316,0.0,
0.221,2.866649058460016,2.9348717728811105,2.891117401545197,0.0,0.0,-0.004736902623579518,2.8975460776287747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.6402037960904,0.0,
0.2368,2.8667480676696266,2.9349699144431876,2.891219811105853,0.0,0.0,-0.004737048518825238,2.8976459310728893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.8824529121014,0.0,
0.2526,2.866853930216041,2.935074846844715,2.891329309710283,0.0,0.0,-0.004737204436827916,2.8977526955903463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762.1299603476732,0.0,
