energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0941816730676006,3.3663183744162364,3.2791105960489153,0.0,0.0,0.0,3.2465368811775845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8295
0.0146,3.094186157576133,3.3663247906256326,3.279116188502903,0.0,0.0,0.0,3.2465423789015566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0291,3.0941994886048745,3.3663438640930132,3.2791328131475406,0.0,0.0,0.0,3.2465587219484764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0437,3.094221850501833,3.3663758588828814,3.2791607000088625,0.0,0.0,0.0,3.2465861364645257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,3.0942531828360855,3.366420689048422,3.2791997739473686,0.0,0.0,0.0,3.2466245486106255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0728,3.094293180144272,3.3664779182407782,3.279249654329937,0.0,0.0,0.0,3.2466735842383287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0874,3.094342395529137,3.366548338776146,3.2793110313244185,0.0,0.0,0.0,3.2467339218765674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.102,3.094400585613329,3.3666316035620145,3.279383601906343,0.0,0.0,0.0,3.2468052636938953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1165,3.0944672618709133,3.3667270148626023,3.279466757380424,0.0,0.0,0.0,3.2468870113713133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1311,3.094543346335501,3.3668358936138536,3.2795616483258105,0.0,0.0,0.0,3.246980296091722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1457,3.094628412607285,3.366957631421177,3.279667743717654,0.0,0.0,0.0,3.247084595915372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1602,3.0947217889442706,3.367091268844018,3.2797842065646345,0.0,0.0,0.0,3.2471990881176414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1748,3.094824766604592,3.3672386560522654,3.279912648306787,0.0,0.0,0.0,3.2473253569878815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1894,3.094936736032659,3.367398923074023,3.280052309715961,0.0,0.0,0.0,3.247462656274214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2039,3.095056842059206,3.3675708483269955,3.2802021251832976,0.0,0.0,0.0,3.247609938523166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2185,3.095186745578521,3.367756812076021,3.2803641676397723,0.0,0.0,0.0,3.2477692417647717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2331,3.0953256536882083,3.3679556823777026,3.2805374493635213,0.0,0.0,0.0,3.2479395951431442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2476,3.0954725275229125,3.368165974951083,3.2807206757183907,0.0,0.0,0.0,3.248119726064129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2622,3.0956293981428566,3.3683906012651685,3.280916381937741,0.0,0.0,0.0,3.2483121271152555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2768,3.0957952890501743,3.3686281668911504,3.281123351427513,0.0,0.0,0.0,3.2485156024562793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2913,3.0959689773564243,3.368876924171925,3.2813400600260083,0.0,0.0,0.0,3.2487286538514524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3059,3.0961528649364065,3.3691403171395966,3.2815695062626946,0.0,0.0,0.0,3.2489542294462326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3205,3.0963457913901946,3.3694166882457544,3.2818102442044546,0.0,0.0,0.0,3.249190907946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.335,3.096546349420867,3.3697040256579887,3.282060519576557,0.0,0.0,0.0,3.249436964885138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3496,3.096757312485851,3.3700063075821842,3.2823237953817967,0.0,0.0,0.0,3.249695805149944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3642,3.096977335918281,3.3703216125949846,3.282598395792187,0.0,0.0,0.0,3.249965781435151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3787,3.097204827568701,3.3706476637667255,3.282882335742679,0.0,0.0,0.0,3.2502449423593682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3933,3.0974429333653424,3.37098897534193,3.2831795440714306,0.0,0.0,0.0,3.250537150926234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4079,3.097690123950944,3.3713433611445325,3.283488114410252,0.0,0.0,0.0,3.250840533168576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4224,3.097944621820331,3.371708278101727,3.283805830135719,0.0,0.0,0.0,3.251152910019259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.437,3.0982099463816852,3.3720887786182785,3.2841370874700893,0.0,0.0,0.0,3.2514786041566843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4516,3.098484383104952,3.3724824107642646,3.2844797487691686,0.0,0.0,0.0,3.251815514212795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4661,3.098765968566375,3.3728863641522047,3.284831364991665,0.0,0.0,0.0,3.2521612325700815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4807,3.099058596785298,3.373306231728798,3.2851968014809807,0.0,0.0,0.0,3.2525205433316917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4952,3.0993582694743895,3.373736283568323,3.2855710680894274,0.0,0.0,0.0,3.25288854037738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5098,3.099669130796075,3.374182474017155,3.285959343607374,0.0,0.0,0.0,3.2532703161402012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5244,3.09998915650738,3.374641905861873,3.286359103225356,0.0,0.0,0.0,3.2536633885315367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5389,3.100316072048784,3.3751113204472114,3.286767508555751,0.0,0.0,0.0,3.2540649670172486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5535,3.100654398352233,3.3755972172160584,3.287190210828271,0.0,0.0,0.0,3.254480608798854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5681,3.1010019244239504,3.376096429917031,3.287624451547652,0.0,0.0,0.0,3.2549076019628775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5826,3.1013561879897695,3.3766054288304295,3.2880671571613362,0.0,0.0,0.0,3.255342924660512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5972,3.1017220882133243,3.377131261588757,3.288524453588825,0.0,0.0,0.0,3.2557926011303024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6118,3.1020972266470235,3.377670491435094,3.2889933475738786,0.0,0.0,0.0,3.2562536885519986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6263,3.1024789525156415,3.378219315937892,3.2894705291942037,0.0,0.0,0.0,3.256722932549246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6409,3.1028725448032595,3.3787853342872634,3.2899626015069927,0.0,0.0,0.0,3.2572068268658385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6555,3.1032754168438728,3.379364837621443,3.29046633532448,0.0,0.0,0.0,3.2577021965965987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.67,3.103684728512112,3.379953749014581,3.2909781830525584,0.0,0.0,0.0,3.2582055535264174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6846,3.1041061403295216,3.3805602228624836,3.2915052275344108,0.0,0.0,0.0,3.2587238635754723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6992,3.104536876584742,3.3811802764651744,3.29204400238348,0.0,0.0,0.0,3.2592537184777988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7137,3.104973906889692,3.3818095564824127,3.292590720932891,0.0,0.0,0.0,3.2597913947683317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7283,3.1054232751503905,3.3824567764493865,3.2931529486638356,0.0,0.0,0.0,3.260344333421204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7429,3.10588201571994,3.3831176779579817,3.293726980625487,0.0,0.0,0.0,3.2609088914344695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7574,3.1063469069707335,3.383787629192964,3.294308789576599,0.0,0.0,0.0,3.261481108580099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.772,3.106824378171975,3.3844759070542785,3.2949064266958117,0.0,0.0,0.0,3.262068903974022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7866,3.107311272787106,3.385177975416373,3.2955159470025186,0.0,0.0,0.0,3.262668398401999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8011,3.107804176906827,3.3858889217849395,3.29613308107719,0.0,0.0,0.0,3.2632753932563188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8157,3.1083099072759968,3.38661859094822,3.2967663690664533,0.0,0.0,0.0,3.26389828909689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8303,3.108825115449404,3.3873621669116285,3.297411624392812,0.0,0.0,0.0,3.264532968917948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8448,3.1093461941274882,3.388114454150821,3.2980643337500584,0.0,0.0,0.0,3.265174994009456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8594,3.109880349779245,3.388885870171189,3.2987335297387435,0.0,0.0,0.0,3.2658332498963927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
