energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.3157184674936735,3.106295806346737,3.4566645119359576,0.0,0.0,0.0,3.292892928592123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2145
0.0157,3.3157244559084718,3.10630078625356,3.456669849843879,0.0,0.0,0.0,3.2928983640019704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0314,3.3157424214982623,3.1063157262650045,3.45668586378856,0.0,0.0,0.0,3.2929146705172756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0471,3.3157723652994093,3.1063406272540424,3.456712554432767,0.0,0.0,0.0,3.292941848995406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0629,3.3158145944700728,3.1063757446694744,3.4567501951222,0.0,0.0,0.0,3.2929801780872494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0786,3.315868576897872,3.1064206360375026,3.4567983109489093,0.0,0.0,0.0,3.2930291746280944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0943,3.315934544816579,3.106475494515296,3.4568571081299067,0.0,0.0,0.0,3.2930890491539273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.11,3.316012502034294,3.106540323310946,3.456926589099843,0.0,0.0,0.0,3.2931598048150277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1257,3.3161024530526895,3.106615126216897,3.4570067567363316,0.0,0.0,0.0,3.293241445335306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1414,3.316204403067845,3.106699907610877,3.4570976143604546,0.0,0.0,0.0,3.293333975013059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1571,3.3163183579714524,3.106794672456831,3.457199165737254,0.0,0.0,0.0,3.2934373987218457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,3.3164443243520365,3.106899426306196,3.457311415076233,0.0,0.0,0.0,3.2935517219114883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1886,3.3165832269195143,3.1070149382329197,3.457435184478085,0.0,0.0,0.0,3.293677783210173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2043,3.316733315444807,3.1071397528286804,3.457568912370542,0.0,0.0,0.0,3.2938139935480097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.22,3.316895439466122,3.107274576668812,3.457713353564192,0.0,0.0,0.0,3.2939611232330415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2357,3.317069608379459,3.1074194176725527,3.4578685140563916,0.0,0.0,0.0,3.2941191800361342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2514,3.3172558322862207,3.1075742843544543,3.458034400292859,0.0,0.0,0.0,3.294288172311178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2671,3.317454121995387,3.1077391858263606,3.458211019168635,0.0,0.0,0.0,3.294468108996794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2828,3.317664489025885,3.1079141317995727,3.4583983780290954,0.0,0.0,0.0,3.2946589996181843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2985,3.317886945609052,3.1080991325870753,3.4585964846711104,0.0,0.0,0.0,3.294860854289079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3143,3.3181230375155586,3.108295473852993,3.4588067121711052,0.0,0.0,0.0,3.295075074513219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33,3.3183697899794224,3.1085006818519436,3.4590264081725812,0.0,0.0,0.0,3.295298960001316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3457,3.318628673085603,3.108715979318875,3.4592568781268676,0.0,0.0,0.0,3.2955338435104484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3614,3.3188997019477284,3.108941379003396,3.4594981316520235,0.0,0.0,0.0,3.295779737534383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3771,3.319182892406716,3.1091768942705134,3.4597501788242484,0.0,0.0,0.0,3.296036655167159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3928,3.3194782610341798,3.1094225391037753,3.460013030179288,0.0,0.0,0.0,3.296304610105748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4085,3.319785825136113,3.109678328108651,3.460286696714148,0.0,0.0,0.0,3.2965836166529705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4242,3.320105602756605,3.109944276515973,3.460571189888674,0.0,0.0,0.0,3.2968736897204174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.44,3.3204397666407544,3.1102221915818857,3.460868437485176,0.0,0.0,0.0,3.297176798569272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4557,3.3207841065046693,3.110508571976618,3.461174689334184,0.0,0.0,0.0,3.297489122605157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4714,3.3211407186204682,3.1108051613672796,3.461491805081134,0.0,0.0,0.0,3.297812561689627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4871,3.3215096240310227,3.1111119775285925,3.4618197980587677,0.0,0.0,0.0,3.2981471332061276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5028,3.3218908445389825,3.1114290388805874,3.462158682072194,0.0,0.0,0.0,3.2984928551639214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
