energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.589823141319191,3.589823141319191,3.441233634325631,0.0,0.0,0.0,3.540293305654671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2902000000000005
0.0162,3.5898286237172266,3.5898286237172266,3.4412384536175455,0.0,0.0,0.0,3.540298567017333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0323,3.5898449359376405,3.5898449359376405,3.44125279283594,0.0,0.0,0.0,3.540314221570407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0485,3.589872281176675,3.589872281176675,3.441276830572723,0.0,0.0,0.0,3.540340464308691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0647,3.5899105928968633,3.5899105928968633,3.441310508292655,0.0,0.0,0.0,3.540377231362127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0809,3.589959872412095,3.589959872412095,3.4413538270867816,0.0,0.0,0.0,3.5404245239703243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.097,3.590019715853667,3.590019715853667,3.4414064318568567,0.0,0.0,0.0,3.540481954521397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1132,3.5900908686732875,3.5900908686732875,3.441468977784624,0.0,0.0,0.0,3.5405502383770666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1294,3.5901729954718835,3.5901729954718835,3.4415411699217002,0.0,0.0,0.0,3.5406290536218226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1455,3.590265490677703,3.590265490677703,3.4416224758177214,0.0,0.0,0.0,3.540717819057709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1617,3.5903695064770855,3.5903695064770855,3.4417139081224097,0.0,0.0,0.0,3.5408176403588603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1779,3.590484505818118,3.590484505818118,3.4418149945769128,0.0,0.0,0.0,3.5409280020710496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1941,3.590610492649125,3.590610492649125,3.4419257384597195,0.0,0.0,0.0,3.5410489079193233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2102,3.5907465920242245,3.5907465920242245,3.4420453704815563,0.0,0.0,0.0,3.5411795181766688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2264,3.5908944992989733,3.5908944992989733,3.442175380640492,0.0,0.0,0.0,3.5413214597461464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2426,3.5910534081479453,3.5910534081479453,3.4423150599221963,0.0,0.0,0.0,3.541473958739362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2587,3.5912222413954624,3.5912222413954624,3.4424634612477343,0.0,0.0,0.0,3.5416359813462197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2749,3.591403102160296,3.591403102160296,3.4426224329368624,0.0,0.0,0.0,3.5418095457524843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2911,3.591594981987918,3.591594981987918,3.4427910882690966,0.0,0.0,0.0,3.541993684081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3073,3.591797887481059,3.591797887481059,3.442969432726287,0.0,0.0,0.0,3.5421884025628017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3234,3.59201047116292,3.59201047116292,3.4431562816204515,0.0,0.0,0.0,3.542392407982097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3396,3.592235381153577,3.592235381153577,3.44335396214041,0.0,0.0,0.0,3.542608241482521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3558,3.5924713388656393,3.5924713388656393,3.443561350096121,0.0,0.0,0.0,3.542834675942467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3719,3.5927167937285196,3.5927167937285196,3.4437770822922036,0.0,0.0,0.0,3.5430702232497477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3881,3.5929748033454665,3.5929748033454665,3.4440038456666824,0.0,0.0,0.0,3.543317817452538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4043,3.5932438861870155,3.5932438861870155,3.444240337647931,0.0,0.0,0.0,3.5435760366739877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4204,3.5935222881143782,3.5935222881143782,3.444485016139084,0.0,0.0,0.0,3.543843197455947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
