energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.523572441834442,3.523572441834442,3.471071488292575,0.0,0.0,0.0,3.506072123987153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6494999999999997
0.0158,3.523579851731833,3.523579851731833,3.471079187521116,0.0,0.0,0.0,3.5060796303282604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0317,3.523602269809041,3.523602269809041,3.471102480981118,0.0,0.0,0.0,3.506102340199733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0475,3.5236394155544817,3.5236394155544817,3.4711410773075264,0.0,0.0,0.0,3.5061399694721636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0634,3.523691761651109,3.523691761651109,3.4711954678101566,0.0,0.0,0.0,3.506192997037458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0792,3.5237586531068135,3.5237586531068135,3.4712649721493527,0.0,0.0,0.0,3.5062607594543267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0951,3.5238409411231513,3.5238409411231513,3.471350475078815,0.0,0.0,0.0,3.506344119108373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1109,3.5239375960559696,3.5239375960559696,3.471450907094571,0.0,0.0,0.0,3.5064420330688364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1268,3.524049847854606,3.524049847854606,3.4715675466481155,0.0,0.0,0.0,3.5065557474524423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1426,3.5241762919530384,3.5241762919530384,3.4716989347728116,0.0,0.0,0.0,3.5066838395596296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1585,3.5243185373798056,3.5243185373798056,3.471846743985002,0.0,0.0,0.0,3.5068279395815374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1743,3.524474804278681,3.524474804278681,3.4720091254480576,0.0,0.0,0.0,3.5069862446684734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1902,3.524647081191274,3.524647081191274,3.4721881462238353,0.0,0.0,0.0,3.5071607695354614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
