energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5465786871138953,3.5465786871138953,3.3881292651668686,0.0,0.0,0.0,3.493762213131553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2154000000000003
0.0148,3.5465867146748895,3.5465867146748895,3.388137717926313,0.0,0.0,0.0,3.493770382425364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0297,3.5466110152673616,3.5466110152673616,3.388163305800133,0.0,0.0,0.0,3.4937951121116186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0445,3.5466512644412074,3.5466512644412074,3.388205687579411,0.0,0.0,0.0,3.493836072153942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,3.54670757391689,3.54670757391689,3.3882649816128896,0.0,0.0,0.0,3.493893376482223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0742,3.546780491375596,3.546780491375596,3.3883417656249284,0.0,0.0,0.0,3.49396758279204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.089,3.546869043260477,3.546869043260477,3.3884350157215644,0.0,0.0,0.0,3.494057700747506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1038,3.5469736709991073,3.5469736709991073,3.388545198298138,0.0,0.0,0.0,3.494164180098784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1187,3.5470952524048016,3.5470952524048016,3.388673239679751,0.0,0.0,0.0,3.4942879148297847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1335,3.5472321641944404,3.5472321641944404,3.388817432485397,0.0,0.0,0.0,3.494427253624759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1483,3.547385177798435,3.547385177798435,3.3889785915463677,0.0,0.0,0.0,3.494582982381079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1631,3.5475543041672983,3.5475543041672983,3.3891567311143893,0.0,0.0,0.0,3.4947551131496617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.178,3.54774086198354,3.54774086198354,3.389353243286882,0.0,0.0,0.0,3.4949449890846545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1928,3.5479423604695164,3.5479423604695164,3.389565507704166,0.0,0.0,0.0,3.4951500762143994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2076,3.548160011651391,3.548160011651391,3.389794804621303,0.0,0.0,0.0,3.4953716093080285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2225,3.548395466041962,3.548395466041962,3.3900428769641056,0.0,0.0,0.0,3.4956112696826764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2373,3.548645580075737,3.548645580075737,3.3903064169200148,0.0,0.0,0.0,3.4958658590238296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
