energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.564581555684603,3.614828075664776,4.182834953680125,0.0,0.0,0.0,3.7874148616765013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675999999999997
0.0141,3.5645923526873995,3.614840464636735,4.182847778259509,0.0,0.0,0.0,3.7874268651945475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0282,3.5646247449553647,3.6148776334586117,4.182886253043865,0.0,0.0,0.0,3.7874628771526138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0424,3.564679196334174,3.61494011577827,4.182950927607049,0.0,0.0,0.0,3.7875234132398305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0565,3.5647549462501904,3.6150270411686476,4.1830408963104215,0.0,0.0,0.0,3.7876076279097535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0706,3.564852310408601,3.615138775129416,4.1831565309764915,0.0,0.0,0.0,3.787715872171503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0847,3.564971300180857,3.615275334875032,4.183297841044634,0.0,0.0,0.0,3.7878481587001747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0988,3.565111929471912,3.6154367414597637,4.183464838054251,0.0,0.0,0.0,3.788004502995309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1129,3.5652742147263656,3.615623019790047,4.183657535648212,0.0,0.0,0.0,3.7881849233882083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1271,3.5654595570749206,3.6158357853630076,4.18387759049252,0.0,0.0,0.0,3.7883909776434828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1412,3.565665367746024,3.6160720743441988,4.1841219211987895,0.0,0.0,0.0,3.788619787763004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1553,3.5658928992127237,3.616333333333302,4.184392006230921,0.0,0.0,0.0,3.7888727462589817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1694,3.5661421781824556,3.616619602841674,4.184687867707001,0.0,0.0,0.0,3.7891498829103774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1835,3.566413233951274,3.6169309273289385,4.185009529874934,0.0,0.0,0.0,3.789451230385049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1976,3.5667060984170376,3.6172673552290893,4.1853570191197775,0.0,0.0,0.0,3.7897768242553016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2118,3.5670231161580923,3.6176315933733116,4.18573310421616,0.0,0.0,0.0,3.7901292712491883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2259,3.5673598595116394,3.618018568467044,4.1861325190635625,0.0,0.0,0.0,3.790503649014082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,3.567718523310242,3.6184308168654136,4.186557853287896,0.0,0.0,0.0,3.7909023978211835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2541,3.56809915003608,3.6188684032410365,4.187009141923035,0.0,0.0,0.0,3.7913255650667175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2682,3.5685017848585283,3.619331396409776,4.187486422185856,0.0,0.0,0.0,3.7917732011513867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2823,3.5689264756550227,3.6198198693719923,4.187989733487427,0.0,0.0,0.0,3.7922453595048142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2965,3.5693765208830937,3.620337636422335,4.188522965156414,0.0,0.0,0.0,3.7927457074872812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3106,3.569845635565047,3.6208774870697757,4.189078650990909,0.0,0.0,0.0,3.7932672578752444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3247,3.5703369667394615,3.6214430626995364,4.189660499719703,0.0,0.0,0.0,3.7938135097195675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
