energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.320975119829346,3.8169777509731633,4.614323466295791,0.0,0.0,0.0,4.5840921123661005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3040000000000003
0.0134,5.320994129958715,3.8169898272551386,4.614339623823144,0.0,0.0,0.0,4.584107860345665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0267,5.321050595409361,3.8170256975735795,4.614387616414051,0.0,0.0,0.0,4.584154636465664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0401,5.321145369735963,3.817085905223871,4.614468170069157,0.0,0.0,0.0,4.584233148342997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0534,5.321277045737193,3.817169558005362,4.614580089600908,0.0,0.0,0.0,4.584342231114488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0668,5.321447613884123,3.817277922935623,4.6147250680586485,0.0,0.0,0.0,4.584483534959465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0802,5.321656239492434,3.817410472974417,4.614902397584064,0.0,0.0,0.0,4.584656370016972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0935,5.321900956903867,3.817565963069014,4.6151104092742266,0.0,0.0,0.0,4.584859109749035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1069,5.322185465389454,3.817746748318935,4.615352249820944,0.0,0.0,0.0,4.585094821176445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1203,5.322508089488295,3.817951769581708,4.615626497740493,0.0,0.0,0.0,4.585362118936832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1336,5.322866021047854,3.8181792482050114,4.615930768843725,0.0,0.0,0.0,4.5856586793655305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.147,5.3232646707817555,3.818432629702582,4.61626966603095,0.0,0.0,0.0,4.585988988838429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1603,5.323698119668574,3.8187081594121612,4.61663816114018,0.0,0.0,0.0,4.586348146740305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1737,5.324172920031633,3.819010010712901,4.617041828678027,0.0,0.0,0.0,4.5867415864741865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1871,5.324685992983917,3.81933623564264,4.617478055657665,0.0,0.0,0.0,4.587166761428074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2004,5.325233122309951,3.8196841626815523,4.6179432619016785,0.0,0.0,0.0,4.587620182297727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2138,5.32582257890982,3.8200590619290242,4.6184444850558695,0.0,0.0,0.0,4.588108708631571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2272,5.326450438771969,3.8204584495902845,4.61897839432717,0.0,0.0,0.0,4.588629094229808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
