energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.473207504164649,5.473207504164649,5.473207504164649,0.0,0.0,0.0,5.473207504164649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4830999999999994
0.0126,5.473243340588816,5.473243340588816,5.473243340588816,0.0,0.0,0.0,5.473243340588816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0252,5.473350857277014,5.473350857277014,5.473350857277014,0.0,0.0,0.0,5.473350857277015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0378,5.473530076482061,5.473530076482061,5.473530076482061,0.0,0.0,0.0,5.473530076482061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0503,5.473778761026704,5.473778761026704,5.473778761026704,0.0,0.0,0.0,5.473778761026704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0629,5.474100941452037,5.474100941452037,5.474100941452037,0.0,0.0,0.0,5.474100941452037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0755,5.474494979816459,5.474494979816459,5.474494979816459,0.0,0.0,0.0,5.474494979816459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0881,5.474960957891259,5.474960957891259,5.474960957891259,0.0,0.0,0.0,5.474960957891259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1007,5.475498972487341,5.475498972487341,5.475498972487341,0.0,0.0,0.0,5.475498972487341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1133,5.4761091355308595,5.4761091355308595,5.4761091355308595,0.0,0.0,0.0,5.4761091355308595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1258,5.476785873078057,5.476785873078057,5.476785873078057,0.0,0.0,0.0,5.476785873078057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1384,5.477540154361356,5.477540154361356,5.477540154361356,0.0,0.0,0.0,5.477540154361356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.151,5.478367010189572,5.478367010189572,5.478367010189572,0.0,0.0,0.0,5.478367010189572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1636,5.479266613828805,5.479266613828805,5.479266613828805,0.0,0.0,0.0,5.479266613828805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1762,5.480239154223154,5.480239154223154,5.480239154223154,0.0,0.0,0.0,5.480239154223153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1888,5.481284836145782,5.481284836145782,5.481284836145782,0.0,0.0,0.0,5.481284836145782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2014,5.482403880363467,5.482403880363467,5.482403880363467,0.0,0.0,0.0,5.482403880363467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2139,5.483586767996692,5.483586767996692,5.483586767996692,0.0,0.0,0.0,5.483586767996692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2265,5.484852676812517,5.484852676812517,5.484852676812517,0.0,0.0,0.0,5.484852676812518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2391,5.4861927058303355,5.4861927058303355,5.4861927058303355,0.0,0.0,0.0,5.486192705830336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2517,5.487607141581907,5.487607141581907,5.487607141581907,0.0,0.0,0.0,5.487607141581907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2643,5.489096287626583,5.489096287626583,5.489096287626583,0.0,0.0,0.0,5.489096287626583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2769,5.49066046480379,5.49066046480379,5.49066046480379,0.0,0.0,0.0,5.490660464803791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2895,5.492300011502059,5.492300011502059,5.492300011502059,0.0,0.0,0.0,5.492300011502059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.302,5.4940013715908504,5.4940013715908504,5.4940013715908504,0.0,0.0,0.0,5.4940013715908504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3146,5.49579213864881,5.49579213864881,5.49579213864881,0.0,0.0,0.0,5.49579213864881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3272,5.497659395442738,5.497659395442738,5.497659395442738,0.0,0.0,0.0,5.497659395442738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3398,5.49960355344284,5.49960355344284,5.49960355344284,0.0,0.0,0.0,5.49960355344284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3524,5.50162504327563,5.50162504327563,5.50162504327563,0.0,0.0,0.0,5.50162504327563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.365,5.503724315103907,5.503724315103907,5.503724315103907,0.0,0.0,0.0,5.503724315103907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3775,5.505884247763322,5.505884247763322,5.505884247763322,0.0,0.0,0.0,5.505884247763322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3901,5.508139887316324,5.508139887316324,5.508139887316324,0.0,0.0,0.0,5.508139887316324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4027,5.510474776549927,5.510474776549927,5.510474776549927,0.0,0.0,0.0,5.510474776549927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4153,5.5128894478355726,5.5128894478355726,5.5128894478355726,0.0,0.0,0.0,5.5128894478355726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4279,5.51538445531196,5.51538445531196,5.51538445531196,0.0,0.0,0.0,5.51538445531196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4405,5.517960375406358,5.517960375406358,5.517960375406358,0.0,0.0,0.0,5.517960375406358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4531,5.520617807383388,5.520617807383388,5.520617807383388,0.0,0.0,0.0,5.520617807383388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4656,5.523335306312726,5.523335306312726,5.523335306312726,0.0,0.0,0.0,5.523335306312727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4782,5.526156994513505,5.526156994513505,5.526156994513505,0.0,0.0,0.0,5.526156994513504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4908,5.529062129919009,5.529062129919009,5.529062129919009,0.0,0.0,0.0,5.529062129919009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5034,5.5320514090287665,5.5320514090287665,5.5320514090287665,0.0,0.0,0.0,5.5320514090287665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.516,5.535125554382505,5.535125554382505,5.535125554382505,0.0,0.0,0.0,5.535125554382506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5286,5.538285315306143,5.538285315306143,5.538285315306143,0.0,0.0,0.0,5.538285315306143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5411,5.541505363382294,5.541505363382294,5.541505363382294,0.0,0.0,0.0,5.541505363382295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5537,5.544838019243741,5.544838019243741,5.544838019243741,0.0,0.0,0.0,5.544838019243741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5663,5.548258700690795,5.548258700690795,5.548258700690795,0.0,0.0,0.0,5.548258700690795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5789,5.551768272230021,5.551768272230021,5.551768272230021,0.0,0.0,0.0,5.551768272230021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5915,5.555367629511875,5.555367629511875,5.555367629511875,0.0,0.0,0.0,5.555367629511875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6041,5.559057700348499,5.559057700348499,5.559057700348499,0.0,0.0,0.0,5.559057700348499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6167,5.56283944578637,5.56283944578637,5.56283944578637,0.0,0.0,0.0,5.56283944578637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6292,5.56668274441837,5.56668274441837,5.56668274441837,0.0,0.0,0.0,5.56668274441837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6418,5.570650113043388,5.570650113043388,5.570650113043388,0.0,0.0,0.0,5.570650113043388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6544,5.5747122418232875,5.5747122418232875,5.5747122418232875,0.0,0.0,0.0,5.5747122418232875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.667,5.578870236391558,5.578870236391558,5.578870236391558,0.0,0.0,0.0,5.578870236391558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6796,5.583125241926,5.583125241926,5.583125241926,0.0,0.0,0.0,5.583125241926001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6922,5.5874784446333425,5.5874784446333425,5.5874784446333425,0.0,0.0,0.0,5.587478444633343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7048,5.591931073320243,5.591931073320243,5.591931073320243,0.0,0.0,0.0,5.591931073320243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7173,5.596447863688277,5.596447863688277,5.596447863688277,0.0,0.0,0.0,5.596447863688277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7299,5.601102394576718,5.601102394576718,5.601102394576718,0.0,0.0,0.0,5.601102394576718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7425,5.605860299537148,5.605860299537148,5.605860299537148,0.0,0.0,0.0,5.605860299537148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7551,5.610722995005831,5.610722995005831,5.610722995005831,0.0,0.0,0.0,5.610722995005831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7677,5.615691949362993,5.615691949362993,5.615691949362993,0.0,0.0,0.0,5.615691949362993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7803,5.6207686851593675,5.6207686851593675,5.6207686851593675,0.0,0.0,0.0,5.620768685159367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7928,5.625913187218549,5.625913187218549,5.625913187218549,0.0,0.0,0.0,5.625913187218548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8054,5.63120939465526,5.63120939465526,5.63120939465526,0.0,0.0,0.0,5.631209394655261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.818,5.636618286884093,5.636618286884093,5.636618286884093,0.0,0.0,0.0,5.636618286884093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8306,5.642141627832138,5.642141627832138,5.642141627832138,0.0,0.0,0.0,5.642141627832138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8432,5.647781249026229,5.647781249026229,5.647781249026229,0.0,0.0,0.0,5.647781249026228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8558,5.653539052837936,5.653539052837936,5.653539052837936,0.0,0.0,0.0,5.653539052837936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8684,5.6594170159502015,5.6594170159502015,5.6594170159502015,0.0,0.0,0.0,5.6594170159502015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8809,5.665369085954815,5.665369085954815,5.665369085954815,0.0,0.0,0.0,5.665369085954815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8935,5.67149261821873,5.67149261821873,5.67149261821873,0.0,0.0,0.0,5.671492618218731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9061,5.677742706116476,5.677742706116476,5.677742706116476,0.0,0.0,0.0,5.677742706116476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9187,5.684121662651209,5.684121662651209,5.684121662651209,0.0,0.0,0.0,5.684121662651209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9313,5.690631896499973,5.690631896499973,5.690631896499973,0.0,0.0,0.0,5.690631896499973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9439,5.697275917287115,5.697275917287115,5.697275917287115,0.0,0.0,0.0,5.697275917287115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9564,5.7040019843330265,5.7040019843330265,5.7040019843330265,0.0,0.0,0.0,5.7040019843330265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.969,5.710920425236549,5.710920425236549,5.710920425236549,0.0,0.0,0.0,5.710920425236549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9816,5.717980823629795,5.717980823629795,5.717980823629795,0.0,0.0,0.0,5.717980823629795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9942,5.725186153399827,5.725186153399827,5.725186153399827,0.0,0.0,0.0,5.725186153399828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0068,5.7325395226661096,5.7325395226661096,5.7325395226661096,0.0,0.0,0.0,5.7325395226661096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0194,5.740044182197084,5.740044182197084,5.740044182197084,0.0,0.0,0.0,5.740044182197084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.032,5.747703534561064,5.747703534561064,5.747703534561064,0.0,0.0,0.0,5.747703534561064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0445,5.755458466902088,5.755458466902088,5.755458466902088,0.0,0.0,0.0,5.755458466902088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0571,5.76343676972722,5.76343676972722,5.76343676972722,0.0,0.0,0.0,5.76343676972722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0697,5.771580956330634,5.771580956330634,5.771580956330634,0.0,0.0,0.0,5.771580956330634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0823,5.779895144171845,5.779895144171845,5.779895144171845,0.0,0.0,0.0,5.779895144171845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0949,5.788383662469044,5.788383662469044,5.788383662469044,0.0,0.0,0.0,5.788383662469044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1075,5.797051067938263,5.797051067938263,5.797051067938263,0.0,0.0,0.0,5.797051067938263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1201,5.8059021621589855,5.8059021621589855,5.8059021621589855,0.0,0.0,0.0,5.8059021621589855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1326,5.8148695090827625,5.8148695090827625,5.8148695090827625,0.0,0.0,0.0,5.8148695090827625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1452,5.824101900774359,5.824101900774359,5.824101900774359,0.0,0.0,0.0,5.824101900774359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1578,5.833534011827246,5.833534011827246,5.833534011827246,0.0,0.0,0.0,5.833534011827246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1704,5.84317183513116,5.84317183513116,5.84317183513116,0.0,0.0,0.0,5.84317183513116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.183,5.853021728479468,5.853021728479468,5.853021728479468,0.0,0.0,0.0,5.853021728479468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1956,5.863090447804402,5.863090447804402,5.863090447804402,0.0,0.0,0.0,5.863090447804402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2081,5.873302570896361,5.873302570896361,5.873302570896361,0.0,0.0,0.0,5.873302570896361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2207,5.8838291086400005,5.8838291086400005,5.8838291086400005,0.0,0.0,0.0,5.8838291086400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2333,5.8945974620363355,5.8945974620363355,5.8945974620363355,0.0,0.0,0.0,5.894597462036335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2459,5.905616403352475,5.905616403352475,5.905616403352475,0.0,0.0,0.0,5.905616403352475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2585,5.916895348789939,5.916895348789939,5.916895348789939,0.0,0.0,0.0,5.916895348789939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2711,5.928444431258518,5.928444431258518,5.928444431258518,0.0,0.0,0.0,5.928444431258517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2837,5.94027458477703,5.94027458477703,5.94027458477703,0.0,0.0,0.0,5.94027458477703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2962,5.952300242234021,5.952300242234021,5.952300242234021,0.0,0.0,0.0,5.952300242234021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3088,5.964726573756476,5.964726573756476,5.964726573756476,0.0,0.0,0.0,5.964726573756476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
