energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6770074373418202,2.6770074373418202,2.4627427447751846,0.0,0.0,0.0,2.6055858731529415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5887
0.0151,2.6770099468927846,2.6770099468927846,2.462744778200581,0.0,0.0,0.0,2.6055882239953836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0302,2.677017475610545,2.677017475610545,2.4627508785231647,0.0,0.0,0.0,2.6055952765814183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0453,2.677030023689791,2.677030023689791,2.462761045882038,0.0,0.0,0.0,2.6056070310872066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0604,2.677047591454966,2.677047591454966,2.4627752805090894,0.0,0.0,0.0,2.6056234878063402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0755,2.6770701793603653,2.6770701793603653,2.4627935827289478,0.0,0.0,0.0,2.6056446471498926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0906,2.677097787990145,2.677097787990145,2.462815952959067,0.0,0.0,0.0,2.6056705096464525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1057,2.677130418058341,2.677130418058341,2.4628423917096924,0.0,0.0,0.0,2.605701075942125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1208,2.677168070408985,2.677168070408985,2.4628728995839753,0.0,0.0,0.0,2.6057363468006485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1359,2.6772107460161427,2.6772107460161427,2.4629074772779367,0.0,0.0,0.0,2.6057763231034072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.151,2.677258445984001,2.677258445984001,2.4629461255805367,0.0,0.0,0.0,2.605821005849513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1661,2.677311171546936,2.677311171546936,2.46298884537377,0.0,0.0,0.0,2.605870396155881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1812,2.6773689240696648,2.6773689240696648,2.463035637632688,0.0,0.0,0.0,2.605924495257339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1963,2.6774317050473155,2.6774317050473155,2.463086503425467,0.0,0.0,0.0,2.6059833045066996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2114,2.6774995161055584,2.6774995161055584,2.463141443913506,0.0,0.0,0.0,2.6060468253748743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2265,2.67757235900078,2.67757235900078,2.463200460351506,0.0,0.0,0.0,2.606115059451022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2416,2.677650235620174,2.677650235620174,2.4632635540875074,0.0,0.0,0.0,2.6061880084426186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2567,2.6777331479819155,2.6777331479819155,2.4633307265630804,0.0,0.0,0.0,2.606265674175637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2718,2.6778210982353654,2.6778210982353654,2.463401979313316,0.0,0.0,0.0,2.606348058594682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2869,2.677914088661189,2.677914088661189,2.4634773139670285,0.0,0.0,0.0,2.6064351637631353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.302,2.6780121216715793,2.6780121216715793,2.4635567322468055,0.0,0.0,0.0,2.6065269918633214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3171,2.6781151998105015,2.6781151998105015,2.463640235969157,0.0,0.0,0.0,2.60662354519672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3322,2.6782233257537986,2.6782233257537986,2.463727827044634,0.0,0.0,0.0,2.606724826184077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3473,2.6783365023095,2.6783365023095,2.4638195074779987,0.0,0.0,0.0,2.6068308373656666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3624,2.678454732418048,2.678454732418048,2.463915279368281,0.0,0.0,0.0,2.606941581401459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3775,2.6785780191524897,2.6785780191524897,2.4640151449090197,0.0,0.0,0.0,2.607057061071333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3926,2.678706365718811,2.678706365718811,2.4641191063883543,0.0,0.0,0.0,2.607177279275325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4077,2.678839775456141,2.678839775456141,2.4642271661892234,0.0,0.0,0.0,2.607302239033835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4228,2.678978251837059,2.678978251837059,2.464339326789498,0.0,0.0,0.0,2.6074319434878723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4379,2.679121798467901,2.679121798467901,2.464455590762194,0.0,0.0,0.0,2.607566395899332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.453,2.6792704190890175,2.6792704190890175,2.464575960775619,0.0,0.0,0.0,2.607705599651218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4681,2.6794241175751203,2.6794241175751203,2.4647004395935754,0.0,0.0,0.0,2.607849558247939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4833,2.679583966409174,2.679583966409174,2.4648298953796646,0.0,0.0,0.0,2.6079992760660042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
