energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.2335771991963873,2.2335771991963873,3.237846378341343,0.0,0.0,0.0,2.5683335922447057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7313
0.0133,2.2335789983823204,2.2335789983823204,3.237852047648373,0.0,0.0,0.0,2.5683366814710045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0267,2.2335844502044315,2.2335844502044315,3.237869226638123,0.0,0.0,0.0,2.5683460423489954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,2.2335934734461356,2.2335934734461356,3.2378976596293643,0.0,0.0,0.0,2.568361535507212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0533,2.2336060955196664,2.2336060955196664,3.237937433391456,0.0,0.0,0.0,2.568383208143596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0667,2.233622452379807,2.233622452379807,3.2379889768963257,0.0,0.0,0.0,2.568411293885313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,2.2336423003561237,2.2336423003561237,3.2380515230034925,0.0,0.0,0.0,2.568445374571913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,2.2336657485445306,2.2336657485445306,3.2381254163542312,0.0,0.0,0.0,2.568485637814431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1067,2.233693014625234,2.233693014625234,3.2382113439881746,0.0,0.0,0.0,2.568532457746214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,2.2337236924118704,2.2337236924118704,3.2383080270152247,0.0,0.0,0.0,2.5685851372796553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1333,2.2337579727122936,2.2337579727122936,3.2384160680815772,0.0,0.0,0.0,2.5686440045020547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1467,2.2337961549881173,2.2337961549881173,3.2385364125583043,0.0,0.0,0.0,2.5687095741781794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,2.233837670433614,2.233837670433614,3.238667269321446,0.0,0.0,0.0,2.5687808700628914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1733,2.2338827916177717,2.2338827916177717,3.23880949925435,0.0,0.0,0.0,2.568858360829964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1867,2.233931899860855,2.233931899860855,3.2389643064231066,0.0,0.0,0.0,2.5689427020482722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
