energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.570278850030788,2.6640890838113,2.707895945851229,0.0,0.0,0.06317833965553421,2.6474212932311056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5579
0.0133,2.570283293002497,2.664093919359411,2.7079010777847037,0.0,0.0,0.06317883516620305,2.647426096715537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0265,2.570296488844397,2.6641082811650465,2.7079163198816314,0.0,0.0,0.06318030687014461,2.647440363297025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0398,2.5703186383978736,2.6641323877937335,2.7079419041429986,0.0,0.0,0.06318277720664438,2.6474643101115354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0531,2.5703496766183975,2.6641661684169864,2.7079777554639075,0.0,0.0,0.06318623898833593,2.6474978668330973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0664,2.5703896056310738,2.6642096252962055,2.708023876335378,0.0,0.0,0.06319069254594561,2.647541035754219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0796,2.5704380278926795,2.6642623256993456,2.7080798076121164,0.0,0.0,0.06319609365622374,2.647593387068047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0929,2.5704956803949353,2.664325071651386,2.7081464006306835,0.0,0.0,0.06320252467109556,2.6476557175590014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1062,2.57056223369094,2.6643975045023263,2.708223274923666,0.0,0.0,0.06320994901863615,2.6477276710389774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1195,2.5706376923425758,2.6644796291064323,2.708310435838528,0.0,0.0,0.06321836740901665,2.647809252429179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1327,2.5707213939092077,2.664570724383188,2.7084071182872647,0.0,0.0,0.063227706157539,2.6478997455265536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.146,2.57081461234605,2.66467217668206,2.7085147938953265,0.0,0.0,0.0632381076556751,2.6480005276411456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1593,2.5709167534538784,2.6647833391587445,2.708632776422748,0.0,0.0,0.06324950589287014,2.6481109563451235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1726,2.5710278242477127,2.6649042192773535,2.708761074092817,0.0,0.0,0.0632619019617421,2.648231039205961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1858,2.571146896677579,2.6650338068509,2.708898615040442,0.0,0.0,0.06327519260579735,2.648359772856307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1991,2.571275783070041,2.6651740740508036,2.70904749283057,0.0,0.0,0.06328958047586378,2.648499116650471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2124,2.571413623839741,2.665324085163406,2.709206714707939,0.0,0.0,0.06330497002470764,2.648648141237029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2257,2.571560428480006,2.665483850288836,2.7093762918014868,0.0,0.0,0.06332136273202607,2.648806856856776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2389,2.571715002332667,2.665652069070095,2.709554844298416,0.0,0.0,0.06333862561465069,2.6489739719003924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2522,2.5718796981033423,2.665831301635952,2.709745090057068,0.0,0.0,0.06335702189642223,2.6491520299321203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2655,2.5720533899005753,2.666020322423722,2.709945728728849,0.0,0.0,0.0633764263510028,2.649339813684382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2788,2.572236089730275,2.666219144205048,2.7101567743888886,0.0,0.0,0.06339684085147632,2.6495373361080703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.292,2.572426335036786,2.6664261750804474,2.710376537765665,0.0,0.0,0.06341810248794771,2.6497430159609663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3053,2.5726270215196485,2.6666445659167337,2.7106083640767995,0.0,0.0,0.06344053546613457,2.6499599838377272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3186,2.572836755772085,2.666872800014696,2.7108506439632927,0.0,0.0,0.06346398469321753,2.6501867332500244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3319,2.5730555523562035,2.6671108928626888,2.7111033944980516,0.0,0.0,0.06348845244369922,2.650423279905648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3451,2.573281679234565,2.6673569593323725,2.7113646150940447,0.0,0.0,0.06351374563491213,2.6506677512203276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3584,2.573518578332309,2.667614744464811,2.7116382821174643,0.0,0.0,0.06354024996029978,2.6509238683048615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3717,2.573764587224662,2.6678824388244995,2.7119224754378006,0.0,0.0,0.06356778022746447,2.651189833828987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.385,2.5740197230831248,2.668160060671654,2.7122172151888266,0.0,0.0,0.0635963391221574,2.651465666314535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3982,2.574281982503721,2.6684454296431834,2.712520187258721,0.0,0.0,0.06362570309587409,2.651749199801875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4115,2.5745553574976205,2.6687428890584153,2.7128360036892136,0.0,0.0,0.06365631993483971,2.6520447500817497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4248,2.5748379148205984,2.669050334828013,2.7131624314669214,0.0,0.0,0.06368797406729793,2.652350227038511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4381,2.5751296743168552,2.669367788049723,2.7134994938614523,0.0,0.0,0.063720668601969,2.65266565207601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4513,2.575428359023881,2.6696927707931684,2.713844560666705,0.0,0.0,0.06375414918319718,2.6529885634945845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4646,2.575738515542408,2.670030229442772,2.7142028848815394,0.0,0.0,0.06378892639692632,2.65332387662224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4779,2.5760579377023243,2.6703777630135273,2.7145719181405834,0.0,0.0,0.06382475396442559,2.6536692062854783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4911,2.576384141874741,2.6707326688096735,2.7149487914094417,0.0,0.0,0.063861354185599,2.6540218673646185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5044,2.5767220936903215,2.6711003487890745,2.7153392420307103,0.0,0.0,0.06389928524311281,2.6543872281700356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5177,2.5770693808443035,2.671478177765695,2.7157404834346655,0.0,0.0,0.0639382775981383,2.654762680681555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.531,2.5774260280411716,2.6718661819925034,2.716152544595621,0.0,0.0,0.06397833513362548,2.6551482515430984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5442,2.5777892734951924,2.672261356315264,2.7165722349940227,0.0,0.0,0.06401914862468976,2.655540954934826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5575,2.578164646905316,2.672669715828003,2.7170059440473855,0.0,0.0,0.06406134054535775,2.6559467689269014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5708,2.5785494585984576,2.6730883337228137,2.7174505646262723,0.0,0.0,0.06410460995732734,2.6563627856491814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5841,2.578943736182127,2.6735172393287625,2.7179061291138558,0.0,0.0,0.06414896120938529,2.656789034874915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5973,2.579344436632785,2.6739531217569574,2.7183691218929997,0.0,0.0,0.06419405306976482,2.657222226760914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6106,2.57975766008537,2.674402616000741,2.718846591926156,0.0,0.0,0.06424057330877235,2.657668956004089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
