energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8068250891541937,3.8068250891541937,3.8068250891541937,0.0,0.0,0.0,3.8068250891541937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678
0.0121,3.806837155914709,3.806837155914709,3.806837155914709,0.0,0.0,0.0,3.806837155914709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0242,3.8068733571707316,3.8068733571707316,3.8068733571707316,0.0,0.0,0.0,3.8068733571707316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0363,3.8069336958459923,3.8069336958459923,3.8069336958459923,0.0,0.0,0.0,3.8069336958459927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0484,3.8070181768142213,3.8070181768142213,3.8070181768142213,0.0,0.0,0.0,3.8070181768142213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0605,3.8071268069002935,3.8071268069002935,3.8071268069002935,0.0,0.0,0.0,3.807126806900294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0726,3.807259594881992,3.807259594881992,3.807259594881992,0.0,0.0,0.0,3.8072595948819923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0847,3.8074165514922464,3.8074165514922464,3.8074165514922464,0.0,0.0,0.0,3.807416551492247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0968,3.8075976894217796,3.8075976894217796,3.8075976894217796,0.0,0.0,0.0,3.8075976894217796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1089,3.8078030233222844,3.8078030233222844,3.8078030233222844,0.0,0.0,0.0,3.8078030233222844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.121,3.8080325698102344,3.8080325698102344,3.8080325698102344,0.0,0.0,0.0,3.808032569810235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1331,3.808286347470876,3.808286347470876,3.808286347470876,0.0,0.0,0.0,3.808286347470876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1452,3.8085643768630795,3.8085643768630795,3.8085643768630795,0.0,0.0,0.0,3.8085643768630795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1573,3.80886668052445,3.80886668052445,3.80886668052445,0.0,0.0,0.0,3.8088666805244507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
