energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4226551862618466,2.380451496512946,2.376415507320597,0.0,0.0,0.0,2.3931740633651297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1772
0.0143,2.422657547545673,2.380453623623139,2.3764176791453564,0.0,0.0,0.0,2.393176283438056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0285,2.422664565539895,2.380459945622264,2.376424134043641,0.0,0.0,0.0,2.393182881735267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0428,2.4226763393229893,2.380470551746388,2.3764349631356367,0.0,0.0,0.0,2.3931939514016713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0571,2.4226928363766103,2.380485412674552,2.3764501364977084,0.0,0.0,0.0,2.3932094618496236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0713,2.422713892448422,2.3805043804065815,2.3764695030369767,0.0,0.0,0.0,2.3932292586306603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0856,2.422739804803447,2.3805277226753843,2.3764933361401717,0.0,0.0,0.0,2.3932536212063344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0998,2.422770211879447,2.380555113720047,2.3765213032261343,0.0,0.0,0.0,2.3932822096085427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1141,2.4228055429571924,2.3805869401702617,2.376553799090993,0.0,0.0,0.0,2.393315427406149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1284,2.422845601600523,2.3806230249907068,2.376590643017784,0.0,0.0,0.0,2.393353089869671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1426,2.422890059519778,2.380663072367648,2.3766315330148506,0.0,0.0,0.0,2.393394888300759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1569,2.4229395443634747,2.380707647577936,2.376677046304788,0.0,0.0,0.0,2.3934414127487327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1712,2.4229937612304524,2.380756484859412,2.376726911591983,0.0,0.0,0.0,2.393492385893949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1854,2.423052283242072,2.3808091995685077,2.376780736196652,0.0,0.0,0.0,2.393547406335744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1997,2.423115936602703,2.380866535785291,2.376839279933835,0.0,0.0,0.0,2.393607250773943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.214,2.4231843278594436,2.3809281389486032,2.376902180852648,0.0,0.0,0.0,2.3936715492202314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2282,2.423256931418549,2.380993535480271,2.3769689554737763,0.0,0.0,0.0,2.393739807457532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2425,2.42333477228801,2.381063648469124,2.3770405464233937,0.0,0.0,0.0,2.393812989060176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2567,2.423416764340621,2.381137499435675,2.377115954685891,0.0,0.0,0.0,2.3938900728207293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.271,2.4235040651322572,2.3812161308070445,2.3771962447664654,0.0,0.0,0.0,2.3939721469019224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2853,2.4235961167621562,2.3812990398670513,2.377280903452676,0.0,0.0,0.0,2.394058686693961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2995,2.4236922288287612,2.381385604583614,2.37736929568588,0.0,0.0,0.0,2.3941490430327517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3138,2.423793758237614,2.3814770468455277,2.377462669264243,0.0,0.0,0.0,2.3942444914491285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3281,2.423900048162304,2.3815727748268705,2.377560419989748,0.0,0.0,0.0,2.3943444143263073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3423,2.424010309006469,2.3816720771622686,2.3776618215805865,0.0,0.0,0.0,2.3944480692497745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3566,2.4241260974336205,2.3817763555408904,2.3777683054881233,0.0,0.0,0.0,2.394556919487545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3709,2.424246657497555,2.3818849288656287,2.3778791763573306,0.0,0.0,0.0,2.3946702542401717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3851,2.4243711001728094,2.3819969962432945,2.3779936164763282,0.0,0.0,0.0,2.3947872376308106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3994,2.4245011823500775,2.3821141395524092,2.378113241363694,0.0,0.0,0.0,2.3949095210887266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4136,2.42463508899656,2.382234723990159,2.3782363817369045,0.0,0.0,0.0,2.3950353982412076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4279,2.4247747106223327,2.3823604516617722,2.378364775938909,0.0,0.0,0.0,2.395166646074338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4422,2.4249191256469684,2.3824904923292456,2.3784975763053406,0.0,0.0,0.0,2.3953023980938517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4564,2.4250672788054666,2.382623895456296,2.378633812280748,0.0,0.0,0.0,2.3954416621808368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4707,2.425221261753357,2.3827625440986684,2.3787754070852998,0.0,0.0,0.0,2.3955864043124415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.485,2.4253800531271557,2.3829055181962224,2.3789214213118575,0.0,0.0,0.0,2.395735664211745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4992,2.4255424974608877,2.3830517770439545,2.3790707922934944,0.0,0.0,0.0,2.3958883555994457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5135,2.425710888189612,2.383203385173445,2.379225628686801,0.0,0.0,0.0,2.3960466340166193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5278,2.425884103862696,2.383359332449973,2.3793848990734396,0.0,0.0,0.0,2.396209445128703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.542,2.426060888467579,2.383518487712946,2.3795474483699177,0.0,0.0,0.0,2.396375608183481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5563,2.426243737915904,2.383683097547242,2.3797155712839433,0.0,0.0,0.0,2.396547468915696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5706,2.426431430335102,2.3838520614655976,2.379888144090467,0.0,0.0,0.0,2.396723878630389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5848,2.426622608789396,2.384024157539365,2.380063918957026,0.0,0.0,0.0,2.396903561761929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
