energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1564920111770305,3.1564920111770305,3.6855688144824215,0.0,0.0,0.0,3.332850945612161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.112
0.0199,3.1565004418517963,3.1565004418517963,3.685579830527357,0.0,0.0,0.0,3.3328602380769836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0398,3.156525734502783,3.156525734502783,3.6856128794292364,0.0,0.0,0.0,3.332888116144934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0597,3.1565678910101034,3.1565678910101034,3.6856679634893244,0.0,0.0,0.0,3.33293458183651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0796,3.156626914507836,3.156626914507836,3.6857450865436037,0.0,0.0,0.0,3.3329996385197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0995,3.1567028093846505,3.1567028093846505,3.685844253963489,0.0,0.0,0.0,3.33308329091093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,3.156795581284901,3.156795581284901,3.6859654726570135,0.0,0.0,0.0,3.333185545075605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1393,3.156905237109857,3.156905237109857,3.6861087510700683,0.0,0.0,0.0,3.333306408429928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1592,3.1570317850194276,3.1570317850194276,3.6862740991882577,0.0,0.0,0.0,3.333445889742371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1791,3.1571752344338972,3.1571752344338972,3.686461528538765,0.0,0.0,0.0,3.3336039991355197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.199,3.157335596036241,3.157335596036241,3.686671052192811,0.0,0.0,0.0,3.333780748088431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
