energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.49535562974127,3.46036009205991,3.6058461050613464,0.0,0.0,-0.029458567872563988,3.5205206089541754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0668999999999995
0.0154,3.4953643768162603,3.4603671553452076,3.6058551549575006,0.0,0.0,-0.029458717111505803,3.5205288957063225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.89904237672005,0.0,
0.0308,3.4953906186090595,3.460388345567869,3.605882305229904,0.0,0.0,-0.0294591648382389,3.5205537564689444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.8021563872064,0.0,
0.0462,3.4954343568234245,3.4604236638282506,3.605927557630569,0.0,0.0,-0.029459911082489267,3.520595192760748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.7134140126255,0.0,
0.0616,3.4954955942992387,3.460473111960479,3.6059909150797997,0.0,0.0,-0.02946095589380516,3.5206532071131726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.636887929008,0.0,
0.077,3.495574335013086,3.4605366925327115,3.606072381666901,0.0,0.0,-0.029462299341565867,3.5207278030708995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.576651854853,0.0,
0.0924,3.4956705840790705,3.4606144088475728,3.606171962650866,0.0,0.0,-0.029463941514994298,3.5208189851925034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.5367808989674,0.0,
0.1078,3.4957843477496557,3.4607062649426132,3.60628966446148,0.0,0.0,-0.0294658825231708,3.5209267590512496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.5213519085394,0.0,
0.1232,3.4959156334170456,3.4608122655909757,3.606425494700474,0.0,0.0,-0.029468122495052942,3.521051131236165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143.5344438176185,0.0,
0.1386,3.49606444961438,3.4609324163021356,3.606579462143062,0.0,0.0,-0.029470661579496956,3.5211921093531924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411.580137995983,0.0,
