energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.626949561039225,2.599921240136675,2.6209126014977766,0.0,0.0,0.00885780508802911,2.615927800891226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1182
0.0147,2.6269528944072658,2.599924388487305,2.620915776424307,0.0,0.0,0.00885787300712143,2.6159310197729595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0294,2.6269628946833925,2.5999338336877607,2.6209253013485947,0.0,0.0,0.0088580767727258,2.6159406765732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0441,2.626979562383468,2.599949576183742,2.6209411767048145,0.0,0.0,0.00885841640982626,2.6159567717573418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0588,2.6270028983674885,2.5999716167181655,2.6209634032166687,0.0,0.0,0.00885889196007094,2.6159793061007743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0735,2.6270329038396225,2.599999956331314,2.6209919818975065,0.0,0.0,0.008859503481783132,2.616008280689481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0882,2.6270695803485173,2.6000345963609837,2.621026914050515,0.0,0.0,0.008860251049977801,2.616043696920005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1029,2.6271129297875366,2.6000755384427636,2.621068201268908,0.0,0.0,0.008861134756382456,2.6160855564997365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1176,2.6271629543951844,2.600122784510313,2.621115845436253,0.0,0.0,0.008862154709462418,2.61613386144725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1323,2.6272196567555053,2.600176336795684,2.6211698487267414,0.0,0.0,0.00886331103445124,2.6161886140926436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.147,2.6272830397985905,2.600236197829722,2.621230213605606,0.0,0.0,0.008864603873385292,2.6162498170779727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1616,2.627352607567045,2.60030189895996,2.6212964673823387,0.0,0.0,0.00886602319847777,2.616316991303114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1763,2.6274293166462517,2.60037434331303,2.621369520673262,0.0,0.0,0.008867588627251592,2.616391060210848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.191,2.6275127172526154,2.6004531057806064,2.621448944675103,0.0,0.0,0.008869291095948863,2.616471589236108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2057,2.627602813704379,2.6005381900917675,2.6215347430198963,0.0,0.0,0.008871130814144939,2.6165585822720145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2204,2.627699610669377,2.600629600277153,2.6216269196333055,0.0,0.0,0.008873108008463127,2.616652043526612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2351,2.627803113165882,2.600727340669741,2.6217254787353355,0.0,0.0,0.008875222922637675,2.6167519775236525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2498,2.6279133265636423,2.600831415905562,2.621830424841024,0.0,0.0,0.00887747581758235,2.616858389103409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2645,2.628030256584836,2.600941830924576,2.621941762761221,0.0,0.0,0.008879866971463337,2.616971283423544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2792,2.6281539093053072,2.6010585909715243,2.6220594976034572,0.0,0.0,0.008882396679777388,2.6170906659600965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2939,2.628284291155652,2.601181701596892,2.622183634772777,0.0,0.0,0.008885065255434903,2.6172165425084404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3086,2.6284214089225335,2.601311168657917,2.622314179972727,0.0,0.0,0.008887873028847837,2.6173489191843924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3233,2.628565269750004,2.6014469983195787,2.6224511392063095,0.0,0.0,0.008890820348022885,2.6174878024252974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.338,2.6287158811408893,2.6015891970558007,2.622594518777054,0.0,0.0,0.008893907578659661,2.617633198991248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3527,2.628873250958269,2.6017377716505488,2.6227443252900757,0.0,0.0,0.008897135104254073,2.617785115966298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3674,2.6290373874270423,2.6018927291990916,2.6229005656533113,0.0,0.0,0.008900503326206935,2.617943560759815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3821,2.629208299135535,2.602054077109268,2.6230632470786137,0.0,0.0,0.008904012663937757,2.6181085411078056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3968,2.6293859950372127,2.602221823102843,2.623232377083129,0.0,0.0,0.00890766355500391,2.6182800650743947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4115,2.629570484452438,2.6023959752169175,2.6234079634905307,0.0,0.0,0.008911456455225243,2.618458141053295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4262,2.6297617770703248,2.602576541805373,2.6235900144324242,0.0,0.0,0.008915391838814119,2.618642777769374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4409,2.629959882950679,2.602763531540395,2.6237785383498275,0.0,0.0,0.008919470198510875,2.618833984280301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4556,2.6301648125259813,2.6029569534140977,2.623973543994574,0.0,0.0,0.008923692045725016,2.6190317699782177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4703,2.630376576603545,2.603156816740135,2.62417504043094,0.0,0.0,0.008928057910682062,2.61923614459154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4849,2.6305936760743034,2.603361705840606,2.6243816001137126,0.0,0.0,0.008932537169721843,2.6194456606762073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4996,2.6308190964002645,2.6035744373199647,2.624596062265617,0.0,0.0,0.008937191747595852,2.6196631986619487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5143,2.6310513858384565,2.6037936400682575,2.6248170442236187,0.0,0.0,0.008941992044277048,2.619887356710111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.529,2.631290556715098,2.6040193247008543,2.6250445563161664,0.0,0.0,0.008946938666706164,2.6201181459107064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5437,2.631536621742848,2.6042515021638613,2.6252786091927334,0.0,0.0,0.00895203224146074,2.620355577699814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5584,2.6317895940233393,2.6044901837361767,2.6255192138257692,0.0,0.0,0.008957273414937506,2.620599663861762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5731,2.6320494870498767,2.604735381031574,2.625766381512678,0.0,0.0,0.008962662853541406,2.620850416531376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5878,2.6323163147101623,2.604987106000891,2.626020123877818,0.0,0.0,0.008968201243880754,2.6211078481962904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6025,2.6325900912892113,2.6052453709342753,2.626280452874692,0.0,0.0,0.008973889292968742,2.621371971699393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6172,2.6328708314721974,2.605510188463462,2.6265473807880353,0.0,0.0,0.008979727728432314,2.6216428002412315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6319,2.633158550347541,2.60578157156424,2.6268209202360966,0.0,0.0,0.008985717298726697,2.621920347382626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6466,2.633453263410025,2.6060595335588133,2.627101084172973,0.0,0.0,0.008991858773357517,2.6222046270472705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6613,2.6337549865639795,2.606344088118406,2.627387885890922,0.0,0.0,0.008998152943109874,2.6224956535244357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
