energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.126159616448951,2.1172174553432903,2.1312744503322225,0.0,0.0,0.0018224305533978804,2.1248838407081547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2219999999999995
0.0147,2.1261608845964357,2.1172187588289884,2.131275746002396,0.0,0.0,0.001822419538280187,2.1248851298092735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0293,2.1261646546171216,2.1172226339068203,2.131279597844787,0.0,0.0,0.0018223867916434056,2.1248889621229097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.044,2.126170978236612,2.1172291337489217,2.131286058709794,0.0,0.0,0.0018223318633762507,2.1248953902317758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0586,2.1261797695538114,2.117238170068818,2.131295040835508,0.0,0.0,0.0018222554982807563,2.124904326819379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0733,2.126191149187772,2.1172498668590145,2.131306667463966,0.0,0.0,0.0018221566466979304,2.1249158945035838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0879,2.126204962555677,2.1172640652436248,2.1313207806635637,0.0,0.0,0.001822036649009401,2.1249299361542886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1026,2.1262213991804004,2.1172809600468403,2.1313375740788656,0.0,0.0,0.0018218938558139063,2.124946644435369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1172,2.126240235784202,2.117300321788941,2.1313568195946995,0.0,0.0,0.0018217302033201287,2.124965792389281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1319,2.1262617308100946,2.117322416143616,2.1313787812752722,0.0,0.0,0.0018215434420783873,2.1249876427429943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1465,2.126285592266311,2.117346943006516,2.1314031608018498,0.0,0.0,0.0018213361044820391,2.1250118986915587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1612,2.126312147538278,2.1173742389250894,2.1314302926816078,0.0,0.0,0.0018211053406155268,2.125038893048325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1759,2.126341242400132,2.1174041454091665,2.13146001935557,0.0,0.0,0.0018208524847592024,2.125068469054956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1905,2.1263726536931733,2.117436433112612,2.1314921128349344,0.0,0.0,0.0018205794702989236,2.1251003998802402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2052,2.126406812388932,2.1174715450743586,2.1315270134690554,0.0,0.0,0.0018202825445667989,2.125135123644115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2198,2.1264432544710186,2.1175090043745453,2.131564247182272,0.0,0.0,0.0018199657337260014,2.1251721686759453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2345,2.126482479935093,2.1175493250150694,2.1316043248526224,0.0,0.0,0.001819624683109707,2.125212043267595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2491,2.126523955937485,2.1175919593279193,2.131646702082156,0.0,0.0,0.0018192640171872095,2.12525420578252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2638,2.126568251541121,2.117637492325011,2.1316919603227764,0.0,0.0,0.0018188787784838207,2.125299234729636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2784,2.1266147650294283,2.1176853055404097,2.131739484806431,0.0,0.0,0.0018184741906300487,2.1253465184587563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2931,2.1266641345816604,2.117736055049619,2.1317899276103667,0.0,0.0,0.0018180446924221144,2.125396705747215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3077,2.1267156895567676,2.117789051532543,2.131842603542357,0.0,0.0,0.0018175961076177696,2.1254491148772225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3224,2.1267701373054653,2.117845022188407,2.131898235362766,0.0,0.0,0.0018171222702506806,2.1255044649522126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3371,2.12682713455665,2.117903614224108,2.13195647236882,0.0,0.0,0.0018166261550388797,2.125562407049859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3517,2.126886268837791,2.11796440369765,2.132016893146395,0.0,0.0,0.0018161113408399574,2.1256225218939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3664,2.1269483514914715,2.1180282247425146,2.1320803267234227,0.0,0.0,0.0018155707513222705,2.125685634319136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.381,2.127012539182908,2.1180942104933322,2.13214591144943,0.0,0.0,0.0018150117165504247,2.12575088704189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3957,2.127079712590298,2.118163266386504,2.132214547207599,0.0,0.0,0.0018144265523490357,2.1258191753948004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4103,2.1271489592269193,2.1182344544543668,2.1322853016848424,0.0,0.0,0.001813823193173256,2.1258895717887096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.425,2.1272212291828074,2.11830875151941,2.1323591456994864,0.0,0.0,0.0018131933455733564,2.1259630421339013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4396,2.1272955407408443,2.11838514842613,2.1324350761936355,0.0,0.0,0.0018125455498655312,2.1260385884535364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
