energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4120227197717012,2.4120227197717012,2.4120227197717012,0.0,0.0,0.0,2.4120227197717012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7245
0.014,2.4120254353610875,2.4120254353610875,2.4120254353610875,0.0,0.0,0.0,2.4120254353610875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.028,2.4120335822323846,2.4120335822323846,2.4120335822323846,0.0,0.0,0.0,2.4120335822323846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.042,2.4120471606950966,2.4120471606950966,2.4120471606950966,0.0,0.0,0.0,2.4120471606950966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.056,2.4120661712650406,2.4120661712650406,2.4120661712650406,0.0,0.0,0.0,2.4120661712650406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.07,2.412090614664508,2.412090614664508,2.412090614664508,0.0,0.0,0.0,2.412090614664508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.084,2.4121204918222716,2.4121204918222716,2.4121204918222716,0.0,0.0,0.0,2.4121204918222716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.098,2.412155803873725,2.412155803873725,2.412155803873725,0.0,0.0,0.0,2.412155803873725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.112,2.4121965521610087,2.4121965521610087,2.4121965521610087,0.0,0.0,0.0,2.4121965521610087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.126,2.412242738233206,2.412242738233206,2.412242738233206,0.0,0.0,0.0,2.412242738233206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,2.4122943638464545,2.4122943638464545,2.4122943638464545,0.0,0.0,0.0,2.4122943638464545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.154,2.412351430964216,2.412351430964216,2.412351430964216,0.0,0.0,0.0,2.412351430964216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.168,2.412413941757485,2.412413941757485,2.412413941757485,0.0,0.0,0.0,2.412413941757485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.182,2.4124818986050767,2.4124818986050767,2.4124818986050767,0.0,0.0,0.0,2.4124818986050767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.196,2.412555304093842,2.412555304093842,2.412555304093842,0.0,0.0,0.0,2.412555304093842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.21,2.4126341610190316,2.4126341610190316,2.4126341610190316,0.0,0.0,0.0,2.4126341610190316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.224,2.4127184723846007,2.4127184723846007,2.4127184723846007,0.0,0.0,0.0,2.4127184723846007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.238,2.4128082414035985,2.4128082414035985,2.4128082414035985,0.0,0.0,0.0,2.4128082414035985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,2.4129034714985194,2.4129034714985194,2.4129034714985194,0.0,0.0,0.0,2.4129034714985194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.266,2.413004166301705,2.413004166301705,2.413004166301705,0.0,0.0,0.0,2.413004166301705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,2.413110329655814,2.413110329655814,2.413110329655814,0.0,0.0,0.0,2.413110329655814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.294,2.413221965614239,2.413221965614239,2.413221965614239,0.0,0.0,0.0,2.413221965614239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.308,2.4133390784416098,2.4133390784416098,2.4133390784416098,0.0,0.0,0.0,2.4133390784416098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.322,2.413461672614312,2.413461672614312,2.413461672614312,0.0,0.0,0.0,2.413461672614312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.336,2.413589752820986,2.413589752820986,2.413589752820986,0.0,0.0,0.0,2.413589752820986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.35,2.4137233239631533,2.4137233239631533,2.4137233239631533,0.0,0.0,0.0,2.4137233239631533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.364,2.4138623911557193,2.4138623911557193,2.4138623911557193,0.0,0.0,0.0,2.4138623911557193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.378,2.414006959727665,2.414006959727665,2.414006959727665,0.0,0.0,0.0,2.414006959727665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.392,2.4141570352226154,2.4141570352226154,2.4141570352226154,0.0,0.0,0.0,2.4141570352226154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.406,2.414312623399554,2.414312623399554,2.414312623399554,0.0,0.0,0.0,2.414312623399554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.42,2.414473730233516,2.414473730233516,2.414473730233516,0.0,0.0,0.0,2.414473730233516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
