energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1401112553225636,3.1401112553225636,3.1755045270489592,0.0,0.0,0.0,3.1519090125646954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6805
0.0157,3.1401167925241866,3.1401167925241866,3.175510847857665,0.0,0.0,0.0,3.151914810968679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0313,3.140133263542829,3.140133263542829,3.1755296498380114,0.0,0.0,0.0,3.1519320589745567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.047,3.140160880344295,3.140160880344295,3.1755611750611843,0.0,0.0,0.0,3.151960978583258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0627,3.140199573953524,3.140199573953524,3.175605344972192,0.0,0.0,0.0,3.1520014976264132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0784,3.1402493462456498,3.1402493462456498,3.17566216196547,0.0,0.0,0.0,3.1520536181522565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.094,3.140309776960456,3.140309776960456,3.1757311466174225,0.0,0.0,0.0,3.152116900179445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1097,3.140381643783207,3.140381643783207,3.1758131870914768,0.0,0.0,0.0,3.1521921582192967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1254,3.1404645981147516,3.1404645981147516,3.17590788591877,0.0,0.0,0.0,3.1522790273827574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1411,3.140558643977871,3.140558643977871,3.1760152482368222,0.0,0.0,0.0,3.152377512064188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1567,3.140663081117161,3.140663081117161,3.176134475234636,0.0,0.0,0.0,3.1524868791563194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1724,3.1407792535430725,3.1407792535430725,3.176267101942474,0.0,0.0,0.0,3.152608536342873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1881,3.140906532768174,3.140906532768174,3.176412411641293,0.0,0.0,0.0,3.152741825725881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2038,3.141044924972196,3.141044924972196,3.176570412224792,0.0,0.0,0.0,3.1528867540563947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2194,3.141193449369397,3.141193449369397,3.1767399848125075,0.0,0.0,0.0,3.153042294517101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2351,3.141354017343435,3.141354017343435,3.1769233126417507,0.0,0.0,0.0,3.1532104491095403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2508,3.1415257200408666,3.1415257200408666,3.1771193591348568,0.0,0.0,0.0,3.15339026640553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2665,3.1417085658126145,3.1417085658126145,3.1773281349619027,0.0,0.0,0.0,3.153581755529044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2821,3.1419012925924767,3.1419012925924767,3.1775482002167816,0.0,0.0,0.0,3.1537835951339113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2978,3.142106380629992,3.142106380629992,3.177782388252994,0.0,0.0,0.0,3.153998383170993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3135,3.1423226400133393,3.1423226400133393,3.178029341752321,0.0,0.0,0.0,3.154224873926333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3292,3.1425500812839386,3.1425500812839386,3.1782890741885135,0.0,0.0,0.0,3.154463078918797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3448,3.1427871601283552,3.1427871601283552,3.1785598233970997,0.0,0.0,0.0,3.1547113812179366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3605,3.1430369276027146,3.1430369276027146,3.1788450753309507,0.0,0.0,0.0,3.15497297684546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
