energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7258374348614605,3.7258374348614605,3.458758532547598,0.0,0.0,0.0,3.636811134090173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7531999999999996
0.0149,3.7258522670615837,3.7258522670615837,3.458766383674235,0.0,0.0,0.0,3.636823639265801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0298,3.725896765210725,3.725896765210725,3.4587899374791045,0.0,0.0,0.0,3.6368611559668516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0448,3.7259715319821742,3.7259715319821742,3.4588295117679717,0.0,0.0,0.0,3.6369241919107735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0597,3.7260755782856627,3.7260755782856627,3.458884581023736,0.0,0.0,0.0,3.637011912531687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0746,3.7262093138624097,3.7262093138624097,3.458955359356827,0.0,0.0,0.0,3.6371246623605487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0895,3.726372752686594,3.726372752686594,3.459041850599983,0.0,0.0,0.0,3.6372624519910572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1044,3.72656591184205,3.72656591184205,3.459144059437674,0.0,0.0,0.0,3.6374252943739247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,3.726790408019926,3.726790408019926,3.459262836026873,0.0,0.0,0.0,3.6376145506889084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1343,3.7270432713992534,3.7270432713992534,3.4593966031087717,0.0,0.0,0.0,3.6378277153024263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1492,3.727325925266085,3.727325925266085,3.459546107009041,0.0,0.0,0.0,3.6380659858470707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1641,3.7276383992275055,3.7276383992275055,3.4597113558339774,0.0,0.0,0.0,3.638329384762996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.179,3.7279807260370608,3.7279807260370608,3.459892358546985,0.0,0.0,0.0,3.638617936873702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.194,3.728355540753451,3.728355540753451,3.4600904988270447,0.0,0.0,0.0,3.6389338601113153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2089,3.728757885155077,3.728757885155077,3.4603031455485493,0.0,0.0,0.0,3.639272971952901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2238,3.729190199946317,3.729190199946317,3.460531578286524,0.0,0.0,0.0,3.639637326059719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2387,3.7296525306011703,3.7296525306011703,3.4607758094546086,0.0,0.0,0.0,3.64002695688565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2536,3.730144925801816,3.730144925801816,3.461035852332452,0.0,0.0,0.0,3.640441901312028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2686,3.730671046106791,3.730671046106791,3.4613136260325628,0.0,0.0,0.0,3.6408852394153812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2835,3.731223932044643,3.731223932044643,3.4616054420109017,0.0,0.0,0.0,3.6413511020333957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2984,3.731807048387378,3.731807048387378,3.461913114865828,0.0,0.0,0.0,3.641842403880195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3133,3.732420456837418,3.732420456837418,3.462236661370169,0.0,0.0,0.0,3.642359191681668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3283,3.7330686456733466,3.7330686456733466,3.4625784310070857,0.0,0.0,0.0,3.642905240784593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3432,3.7337430410870924,3.7337430410870924,3.4629338854876117,0.0,0.0,0.0,3.643473322553932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3581,3.734447934069897,3.734447934069897,3.463305269352214,0.0,0.0,0.0,3.644067045830669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.373,3.73518339966143,3.73518339966143,3.4636926029120367,0.0,0.0,0.0,3.6446864674116326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3879,3.7359495162879655,3.7359495162879655,3.464095907369408,0.0,0.0,0.0,3.645331646648446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4029,3.7367518177841843,3.7367518177841843,3.4645180729778318,0.0,0.0,0.0,3.646007236182067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4178,3.7375796925626594,3.7375796925626594,3.464953493990094,0.0,0.0,0.0,3.646704293038471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4327,3.7384384748410326,3.7384384748410326,3.4654049550545896,0.0,0.0,0.0,3.647427301578885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4476,3.7393282568808157,3.7393282568808157,3.4658724809821178,0.0,0.0,0.0,3.6481763315812494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4625,3.740249134469137,3.740249134469137,3.4663560974942444,0.0,0.0,0.0,3.648951455477506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4775,3.7412077023123573,3.7412077023123573,3.466859239654698,0.0,0.0,0.0,3.6497582147598044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4924,3.742191283028472,3.742191283028472,3.467375226615125,0.0,0.0,0.0,3.65058593089069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5073,3.7432062688563645,3.7432062688563645,3.4679073870281636,0.0,0.0,0.0,3.651439974913631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5222,3.7442527700376953,3.7442527700376953,3.468455750309972,0.0,0.0,0.0,3.6523204301284538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5371,3.745330900509971,3.745330900509971,3.4690203468110377,0.0,0.0,0.0,3.6532273826103268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5521,3.746448334307594,3.746448334307594,3.469605161234924,0.0,0.0,0.0,3.654167276616704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.567,3.747590294451671,3.747590294451671,3.470202428474637,0.0,0.0,0.0,3.6551276724593262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5819,3.748764249117509,3.748764249117509,3.470816025869878,0.0,0.0,0.0,3.6561148413682987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5968,3.749970327447864,3.749970327447864,3.4714459875687185,0.0,0.0,0.0,3.657128880821482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6117,3.7512086624865644,3.7512086624865644,3.472092348681358,0.0,0.0,0.0,3.658169891218162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6267,3.752488029354069,3.752488029354069,3.472759649191706,0.0,0.0,0.0,3.659245235966615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
