energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.1662165546623546,2.2411571527820504,2.2330683974618273,0.0,0.0,0.0,2.2134807016354108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5059000000000005
0.0226,2.166219207872339,2.2411600791789676,2.2330712818219727,0.0,0.0,0.0,2.2134835229577594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0452,2.1662271676083877,2.241168858492508,2.2330799350228387,0.0,0.0,0.0,2.213491987041245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0679,2.1662405046839908,2.2411835688448756,2.2330944340626306,0.0,0.0,0.0,2.213506169197166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0905,2.1662591021248914,2.2412040812462037,2.2331146518014466,0.0,0.0,0.0,2.2135259450575138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1131,2.1662830076874675,2.2412304484104295,2.233140640191843,0.0,0.0,0.0,2.2135513654299133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1357,2.1663122223280133,2.2412626714440593,2.233172400319119,0.0,0.0,0.0,2.2135824313637307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1584,2.166346911782618,2.2413009332143474,2.2332101124168817,0.0,0.0,0.0,2.213619319137949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.181,2.1663867718044076,2.2413448982182196,2.233253445794213,0.0,0.0,0.0,2.2136617052722802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2036,2.166431945056354,2.241394723896159,2.233302555620945,0.0,0.0,0.0,2.213709741524486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2262,2.1664824333468076,2.241450412340711,2.2333574439494868,0.0,0.0,0.0,2.213763429879002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2489,2.1665384974424002,2.241512251289161,2.233418394371452,0.0,0.0,0.0,2.213823047701004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2715,2.1665996456301864,2.2415796985015435,2.2334848724255103,0.0,0.0,0.0,2.2138880721857466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2941,2.166666115573417,2.241653016253456,2.233557136605247,0.0,0.0,0.0,2.2139587561440397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3167,2.1667379099360415,2.241732207627784,2.2336351899344074,0.0,0.0,0.0,2.214035102499411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3394,2.166815384685424,2.241817665428991,2.2337194195559857,0.0,0.0,0.0,2.2141174898901337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.362,2.166897860329683,2.2419086403184303,2.2338090868834035,0.0,0.0,0.0,2.214205195843839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3846,2.1669856696882226,2.242005499587451,2.233904553911141,0.0,0.0,0.0,2.2142985743956047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4072,2.167078816285836,2.2421082473156,2.234005824640534,0.0,0.0,0.0,2.2143976294139898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4299,2.167177751523452,2.2422173816443576,2.234113390030595,0.0,0.0,0.0,2.214502841066135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4525,2.1672816076972943,2.2423319456356063,2.234226306878293,0.0,0.0,0.0,2.2146132867370647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4751,2.167390813001348,2.242452411849616,2.2343450409273835,0.0,0.0,0.0,2.214729421926116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
