energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.523121800566441,2.523121800566441,2.4810762611474546,0.0,0.0,0.0,2.5091066207601123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8992999999999998
0.0133,2.5231250487639976,2.5231250487639976,2.4810792436540776,0.0,0.0,0.0,2.509109780394024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0267,2.5231348914062215,2.5231348914062215,2.481088281190482,0.0,0.0,0.0,2.5091193546676416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,2.523151182110733,2.523151182110733,2.481103239309668,0.0,0.0,0.0,2.509135201177045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0533,2.5231739707728043,2.5231739707728043,2.4811241637620136,0.0,0.0,0.0,2.509157368435874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0666,2.523203258604517,2.523203258604517,2.481151055571396,0.0,0.0,0.0,2.5091858575934767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,2.5232393408779776,2.5232393408779776,2.48118418573649,0.0,0.0,0.0,2.509220955830815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,2.5232816809693253,2.5232816809693253,2.4812230613969946,0.0,0.0,0.0,2.5092621411118814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1066,2.523330525961707,2.523330525961707,2.481267909255973,0.0,0.0,0.0,2.5093096537264628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1199,2.5233858784556236,2.5233858784556236,2.4813187315100453,0.0,0.0,0.0,2.509363496140431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1333,2.5234482312015363,2.5234482312015363,2.481375980355775,0.0,0.0,0.0,2.5094241475862824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1466,2.523516656879525,2.523516656879525,2.481438804135336,0.0,0.0,0.0,2.509490705964795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1599,2.5235915999766414,2.5235915999766414,2.4815076106866307,0.0,0.0,0.0,2.509563603546638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1732,2.5236730644896395,2.5236730644896395,2.4815824033851936,0.0,0.0,0.0,2.509642844121491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1866,2.523761741075525,2.523761741075525,2.481663815986703,0.0,0.0,0.0,2.509729099379251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1999,2.523856310931802,2.523856310931802,2.4817506373709777,0.0,0.0,0.0,2.5098210864115273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2132,2.523957416337653,2.523957416337653,2.481843456838124,0.0,0.0,0.0,2.50991942983781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2265,2.524065062698183,2.524065062698183,2.481942278952177,0.0,0.0,0.0,2.5100241347828476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2399,2.524180139178851,2.524180139178851,2.4820479195355682,0.0,0.0,0.0,2.5101360659644234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2532,2.5243009343737777,2.5243009343737777,2.482158807058524,0.0,0.0,0.0,2.5102535586020265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2665,2.524428288915931,2.524428288915931,2.4822757127568966,0.0,0.0,0.0,2.510377430196253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2798,2.524562209635132,2.524562209635132,2.482398642396208,0.0,0.0,0.0,2.5105076872221574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2932,2.5247037849829006,2.5247037849829006,2.4825285945212547,0.0,0.0,0.0,2.510645388162352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3065,2.5248509094914313,2.5248509094914313,2.4826636359603222,0.0,0.0,0.0,2.5107884849810618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3198,2.525004622884362,2.525004622884362,2.4828047205061328,0.0,0.0,0.0,2.5109379887582857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
