energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.3657957549309385,2.3657957549309385,2.338748566119957,0.0,0.0,0.0,2.356780025327278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2353000000000005
0.0137,2.3657980699600842,2.3657980699600842,2.338750774904801,0.0,0.0,0.0,2.3567823049416563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0274,2.365805015143999,2.365805015143999,2.3387574013467716,0.0,0.0,0.0,2.3567891438782564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.041,2.3658164895013334,2.3658164895013334,2.3387683490853775,0.0,0.0,0.0,2.3568004426960147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0547,2.365832662251417,2.365832662251417,2.338783779550746,0.0,0.0,0.0,2.35681636801786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0684,2.3658534665979327,2.3658534665979327,2.338803628979975,0.0,0.0,0.0,2.3568368540586135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0821,2.365878903408106,2.365878903408106,2.3388278981591553,0.0,0.0,0.0,2.3568619016584558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0958,2.3659089737424934,2.3659089737424934,2.338856588049528,0.0,0.0,0.0,2.356891511844838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1094,2.3659434087379276,2.3659434087379276,2.3388894420727873,0.0,0.0,0.0,2.3569254198495475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1231,2.365982716229558,2.365982716229558,2.338926944679836,0.0,0.0,0.0,2.356964125712984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1368,2.366026661575857,2.366026661575857,2.3389688719230857,0.0,0.0,0.0,2.3570073983582667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1505,2.3660752466110524,2.3660752466110524,2.339015225464959,0.0,0.0,0.0,2.3570552395623547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1642,2.3661284733637507,2.3661284733637507,2.3390660071440426,0.0,0.0,0.0,2.3571076512905145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1778,2.3661859048127902,2.3661859048127902,2.3391207999136885,0.0,0.0,0.0,2.357164203179756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1915,2.366248387941278,2.366248387941278,2.3391804117276944,0.0,0.0,0.0,2.357225729203417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2052,2.3663155200229715,2.3663155200229715,2.3392444582364873,0.0,0.0,0.0,2.35729183276081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2189,2.3663873038660546,2.3663873038660546,2.3393129419849252,0.0,0.0,0.0,2.3573625165723446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,2.3664637424749495,2.3664637424749495,2.3393858656956317,0.0,0.0,0.0,2.35743778354851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2462,2.3665442302211,2.3665442302211,2.3394626514461105,0.0,0.0,0.0,2.3575170372961036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2599,2.366629954124793,2.366629954124793,2.339544431498591,0.0,0.0,0.0,2.3576014465827257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2736,2.3667203429627683,2.3667203429627683,2.3396306607274875,0.0,0.0,0.0,2.3576904488843415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2873,2.36681540052787,2.36681540052787,2.339721342569426,0.0,0.0,0.0,2.357784047875055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.301,2.36691513081177,2.36691513081177,2.339816480641055,0.0,0.0,0.0,2.3578822474215317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3146,2.3670187589544387,2.3670187589544387,2.33991533557807,0.0,0.0,0.0,2.357984284495649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3283,2.367127813262988,2.367127813262988,2.340019365083058,0.0,0.0,0.0,2.358091663869678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.342,2.36724155343049,2.36724155343049,2.3401278627223334,0.0,0.0,0.0,2.358203656527771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3557,2.3673599842489934,2.3673599842489934,2.3402408328369644,0.0,0.0,0.0,2.3583202671116505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3694,2.3674831107127448,2.3674831107127448,2.3403582799509914,0.0,0.0,0.0,2.358441500458827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.383,2.367609987928985,2.367609987928985,2.340479302531826,0.0,0.0,0.0,2.3585664261299324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3967,2.3677424871066597,2.3677424871066597,2.3406056851849613,0.0,0.0,0.0,2.3586968864660935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4104,2.3678796980919854,2.3678796980919854,2.340736559476598,0.0,0.0,0.0,2.3588319852201898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4241,2.368021626694712,2.368021626694712,2.3408719306683476,0.0,0.0,0.0,2.3589717280192573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4378,2.3681682789309937,2.3681682789309937,2.341011804208433,0.0,0.0,0.0,2.3591161206901403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4514,2.3683185388939645,2.3683185388939645,2.3411551155065093,0.0,0.0,0.0,2.3592640644314797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4651,2.368474622681006,2.368474622681006,2.341303977869572,0.0,0.0,0.0,2.3594177410771944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4788,2.3686354493489556,2.3686354493489556,2.3414573600092394,0.0,0.0,0.0,2.359576086235717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4925,2.3688010257478656,2.3688010257478656,2.341615268127361,0.0,0.0,0.0,2.359739106541031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5062,2.368971358939265,2.368971358939265,2.341777708616812,0.0,0.0,0.0,2.3599068088317807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5198,2.3691451608370016,2.3691451608370016,2.3419434527736005,0.0,0.0,0.0,2.360077924815868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5335,2.369324994792912,2.369324994792912,2.3421149447477934,0.0,0.0,0.0,2.3602549781112057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5472,2.3695096079490057,2.3695096079490057,2.3422909893763784,0.0,0.0,0.0,2.3604367350914632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5609,2.36969900822259,2.36969900822259,2.3424715938249427,0.0,0.0,0.0,2.360623203423374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5746,2.369893203748383,2.369893203748383,2.3426567654552723,0.0,0.0,0.0,2.3608143909840127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5882,2.3700907329074834,2.3700907329074834,2.3428451102236165,0.0,0.0,0.0,2.361008858679528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
