energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.0988304985644852,2.9835790751709905,3.357065284523171,0.0,0.0,0.0,2.8131582860862157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3376
0.0139,2.098831861355145,2.983584142755012,3.357072088149152,0.0,0.0,0.0,2.8131626974197697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0277,2.098835910611136,2.983599200170343,3.3570923038966023,0.0,0.0,0.0,2.8131758048926936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0416,2.0988427051095595,2.9836244663386013,3.357126225670447,0.0,0.0,0.0,2.8131977990395356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0554,2.0988521472400077,2.983659578869811,3.3571733669108297,0.0,0.0,0.0,2.813228364340216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0693,2.0988643740600237,2.983705048269589,3.3572344129770415,0.0,0.0,0.0,2.813267945102218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0832,2.0988793272320128,2.9837606586722787,3.3573090740099087,0.0,0.0,0.0,2.8133163533047334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.097,2.0988968701643334,2.983825903372015,3.3573966696684403,0.0,0.0,0.0,2.81337314773493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1109,2.0989172575020696,2.983901730971243,3.3574984734570017,0.0,0.0,0.0,2.8134391539767716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1247,2.0989401963589964,2.983987053885431,3.357613025147182,0.0,0.0,0.0,2.813513425130536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1386,2.098966019705059,2.984083112638996,3.3577419901440364,0.0,0.0,0.0,2.813597040829364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1525,2.098994571716445,2.9841893299201745,3.3578845932753967,0.0,0.0,0.0,2.8136894983040057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1663,2.09902561824899,2.9843048370759346,3.358039668224671,0.0,0.0,0.0,2.8137900411831986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1802,2.099059609960299,2.9844313134894414,3.3582094695482883,0.0,0.0,0.0,2.813900130999343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1941,2.0990963324681777,2.984567964588643,3.3583929303641797,0.0,0.0,0.0,2.814019075807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2079,2.099135493009057,2.9847137039982945,3.3585885920350655,0.0,0.0,0.0,2.8141459296808056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2218,2.0991776600204055,2.984870650662781,3.3587992991963724,0.0,0.0,0.0,2.8142825366265196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2356,2.099222227728797,2.9850365535383614,3.3590220295808066,0.0,0.0,0.0,2.8144269369493213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2495,2.0992698430603367,2.9852138247387194,3.359260021371718,0.0,0.0,0.0,2.8145812297235913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2634,2.0993201939802852,2.985401306998755,3.3595117207221787,0.0,0.0,0.0,2.8147444072337393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2772,2.0993728899352204,2.985597550210291,3.3597751806551295,0.0,0.0,0.0,2.814915206933547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2911,2.099428695838496,2.9858054076296696,3.3600542315207917,0.0,0.0,0.0,2.8150961116629856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3049,2.099486809981507,2.9860218980400006,3.3603448707972365,0.0,0.0,0.0,2.8152845262729147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3188,2.0995480759267453,2.986250169092138,3.3606513239998104,0.0,0.0,0.0,2.8154831896728982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3327,2.099612083811441,2.9864886995092323,3.3609715485704412,0.0,0.0,0.0,2.815690777297038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3465,2.099678345072152,2.9867356737903528,3.3613031069959396,0.0,0.0,0.0,2.8159057086194816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3604,2.0997478215334877,2.9869946828293132,3.361650819730182,0.0,0.0,0.0,2.8161311080309943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3742,2.0998195150982824,2.9872620118034057,3.362009699458117,0.0,0.0,0.0,2.816363742119935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3881,2.099894466445888,2.987541547573883,3.362384963874063,0.0,0.0,0.0,2.8166069926312773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.402,2.099972167654625,2.987831403113362,3.3627740794073455,0.0,0.0,0.0,2.816859216725111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4158,2.1000520318751192,2.988129395443659,3.3631741152512427,0.0,0.0,0.0,2.817118514190007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4297,2.100135218391684,2.9884398572953526,3.363590887502953,0.0,0.0,0.0,2.8173886543966637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4435,2.1002205321531155,2.9887583359478476,3.3640184183820536,0.0,0.0,0.0,2.8176657621610057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4574,2.1003092115495186,2.9890894620253765,3.3644629237660806,0.0,0.0,0.0,2.817953865780325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4713,2.1004006503135937,2.9894309805853974,3.364921376207961,0.0,0.0,0.0,2.8182510023689837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4851,2.1004941629779674,2.989780338655958,3.3653903482806546,0.0,0.0,0.0,2.8185549499715266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.499,2.100591106949144,2.9901426158924487,3.3658766584323256,0.0,0.0,0.0,2.8188701270913064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5129,2.1006908167629534,2.9905153352773404,3.366376981134686,0.0,0.0,0.0,2.8191943777249935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5267,2.100792547569615,2.990895720343835,3.366887589006374,0.0,0.0,0.0,2.819525285639941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5406,2.1008977760722676,2.9912893019383957,3.3674159059114497,0.0,0.0,0.0,2.8198676613073714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5544,2.1010049905769383,2.991690435370802,3.3679543543551818,0.0,0.0,0.0,2.8202165934343078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5683,2.1011157473900903,2.9921049532161326,3.368510763033928,0.0,0.0,0.0,2.820577154546717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
