energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.431328110489062,3.1771744511740123,3.5628412441099218,0.0,0.0,-0.16298802198807333,3.3904479352576655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2194000000000003
0.013,3.4313348347076604,3.177179982328139,3.5628488424126994,0.0,0.0,-0.16298865131158127,3.3904545531494996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.9435664682763,0.0,
0.026,3.431355007697921,3.1771965760484333,3.5628716377217615,0.0,0.0,-0.1629905392991747,3.3904744071560384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.893294714919,0.0,
0.039,3.431388630463174,3.177224233108776,3.5629096312392843,0.0,0.0,-0.16299368600205755,3.3905074982704115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.8553466778578,0.0,
0.052,3.4314357046759034,3.1772629547991453,3.5629628249690826,0.0,0.0,-0.16299809150556535,3.3905538281480436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.835884614105,0.0,
0.065,3.4314962326778575,3.1773127429256802,3.56303122171697,0.0,0.0,-0.16300375592914645,3.390613399106836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.841071259088,0.0,
0.0781,3.431570838758587,3.1773741108476234,3.5631155271419845,0.0,0.0,-0.16301073756433443,3.3906868255827316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3195.969789998926,0.0,
0.0911,3.431658387601832,3.1774461245099754,3.5632144585810797,0.0,0.0,-0.1630189300102497,3.3907729902309622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3728.0430733029752,0.0,
0.1041,3.4317594013158748,3.1775292131554362,3.563328606316094,0.0,0.0,-0.1630283819409606,3.390872406929135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4260.1595454114195,0.0,
0.1171,3.431873884929684,3.1776233806626597,3.5634579763728427,0.0,0.0,-0.16303909361244803,3.3909850806550623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4792.3253725715795,0.0,
0.1301,3.432001844144367,3.177728631428672,3.563602575582712,0.0,0.0,-0.16305106531469088,3.391111017051917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5324.546722303184,0.0,
0.1431,3.4321432853341074,3.1778449703695473,3.563762411583728,0.0,0.0,-0.16306429737161812,3.3912502224291274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5856.829763555493,0.0,
0.1561,3.4322982155471187,3.1779724029211556,3.563937492821888,0.0,0.0,-0.16307879014107748,3.391402703763387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6389.180666864127,0.0,
