energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.704368614480095,2.704368614480095,2.6300291397302753,0.0,0.0,0.0,2.6795887895634887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2516
0.0162,2.704371851764476,2.704371851764476,2.6300320949892178,0.0,0.0,0.0,2.67959193283939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0323,2.7043814839088682,2.7043814839088682,2.630040887998977,0.0,0.0,0.0,2.6796012852722377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0485,2.704397630871876,2.704397630871876,2.6300556282604943,0.0,0.0,0.0,2.6796169633347486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0647,2.704420253320477,2.704420253320477,2.630076279855457,0.0,0.0,0.0,2.679638928832137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0809,2.7044493519695147,2.7044493519695147,2.630102843419766,0.0,0.0,0.0,2.6796671824529317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.097,2.704484688265172,2.704484688265172,2.6301351011614664,0.0,0.0,0.0,2.6797014925639364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1132,2.7045267022855692,2.7045267022855692,2.630173454792335,0.0,0.0,0.0,2.6797422864544913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1294,2.7045751958708095,2.7045751958708095,2.6302177233853294,0.0,0.0,0.0,2.6797893717089827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1456,2.704630170553897,2.704630170553897,2.630267908304149,0.0,0.0,0.0,2.6798427498039814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1617,2.704691228816565,2.704691228816565,2.63032364662576,0.0,0.0,0.0,2.6799020347529634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1779,2.70475913107948,2.70475913107948,2.6303856324710733,0.0,0.0,0.0,2.6799679648766777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1941,2.7048335202571536,2.7048335202571536,2.630453539816573,0.0,0.0,0.0,2.680040193443627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2103,2.704914398703111,2.704914398703111,2.6305273707557473,0.0,0.0,0.0,2.6801187227206564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2264,2.7050012097357286,2.7050012097357286,2.630606617057535,0.0,0.0,0.0,2.6802030121763303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2426,2.705095034503687,2.705095034503687,2.630692265594912,0.0,0.0,0.0,2.6802941115340957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2588,2.705195356817967,2.705195356817967,2.6307838450894243,0.0,0.0,0.0,2.6803915195751196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2749,2.7053015005076473,2.7053015005076473,2.630880738226489,0.0,0.0,0.0,2.6804945797472612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2911,2.705414787494257,2.705414787494257,2.630984151641975,0.0,0.0,0.0,2.6806045755434966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3073,2.7055345821580135,2.7055345821580135,2.6310935050259534,0.0,0.0,0.0,2.6807208897806603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3235,2.7056608882969835,2.7056608882969835,2.6312088017567516,0.0,0.0,0.0,2.680843526116906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3396,2.7057928700368734,2.7057928700368734,2.6313292787312834,0.0,0.0,0.0,2.68097167293501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3558,2.7059321710945503,2.7059321710945503,2.6314564362867223,0.0,0.0,0.0,2.681106926158608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.372,2.706077996243283,2.706077996243283,2.6315895484103717,0.0,0.0,0.0,2.6812485136323123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3882,2.706230350114165,2.706230350114165,2.631728619221353,0.0,0.0,0.0,2.681396439816561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4043,2.7063882367102474,2.7063882367102474,2.631872739455086,0.0,0.0,0.0,2.6815497376251933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4205,2.706553622379856,2.706553622379856,2.6320237038936467,0.0,0.0,0.0,2.6817103162177864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4367,2.706725551891226,2.706725551891226,2.632180640467417,0.0,0.0,0.0,2.6818772480832895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4529,2.7069040307153527,2.7069040307153527,2.63234355404236,0.0,0.0,0.0,2.6820505384910214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.469,2.707087902232212,2.707087902232212,2.6325113887471545,0.0,0.0,0.0,2.6822290644038596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4852,2.707279456423671,2.707279456423671,2.6326862347,0.0,0.0,0.0,2.682415049182447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5014,2.7074775775738544,2.7074775775738544,2.632867073348134,0.0,0.0,0.0,2.682607409498614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5176,2.7076822720018336,2.7076822720018336,2.633053910311498,0.0,0.0,0.0,2.6828061514383883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5337,2.7078922218821306,2.7078922218821306,2.6332455425940173,0.0,0.0,0.0,2.683009995452759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5499,2.70811004199973,2.70811004199973,2.633444356690068,0.0,0.0,0.0,2.6832214802298426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5661,2.7083344555938296,2.7083344555938296,2.6336491870648358,0.0,0.0,0.0,2.683439366084165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5822,2.7085640235656006,2.7085640235656006,2.633858720051588,0.0,0.0,0.0,2.683662255727596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5984,2.7088016050454033,2.7088016050454033,2.634075565084744,0.0,0.0,0.0,2.683892925058517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6146,2.709045802133698,2.709045802133698,2.634298446078473,0.0,0.0,0.0,2.6841300167819564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6308,2.7092966226569466,2.7092966226569466,2.634527369992602,0.0,0.0,0.0,2.6843735384354983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6469,2.7095524650922975,2.7095524650922975,2.634760874951704,0.0,0.0,0.0,2.684621935045433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6631,2.70981651582777,2.70981651582777,2.635001868948999,0.0,0.0,0.0,2.684878300201513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6793,2.7100872147386657,2.7100872147386657,2.6352489278667495,0.0,0.0,0.0,2.6851411191146934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6955,2.7103645705287898,2.7103645705287898,2.6355020594444074,0.0,0.0,0.0,2.685410400167329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7116,2.7106468184389265,2.7106468184389265,2.635759652875286,0.0,0.0,0.0,2.6856844299177127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7278,2.7109374737546346,2.7109374737546346,2.6360249161695277,0.0,0.0,0.0,2.6859666212262656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.744,2.7112348133360173,2.7112348133360173,2.636296276474747,0.0,0.0,0.0,2.686255301048927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7602,2.7115388467774606,2.7115388467774606,2.6365737423215694,0.0,0.0,0.0,2.686550478625497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7763,2.71184764518516,2.71184764518516,2.6368555531732984,0.0,0.0,0.0,2.686850281181206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7925,2.712165054557621,2.712165054557621,2.637145218670952,0.0,0.0,0.0,2.6871584425953983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8087,2.7124891878642603,2.7124891878642603,2.6374410164488173,0.0,0.0,0.0,2.6874731307257793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8248,2.7128179925324463,2.7128179925324463,2.63774107316019,0.0,0.0,0.0,2.687792352741694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.841,2.7131555637651052,2.7131555637651052,2.6380491257061833,0.0,0.0,0.0,2.6881200844121316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8572,2.71349989105072,2.71349989105072,2.638363339086915,0.0,0.0,0.0,2.6884543737294515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8734,2.71385098557795,2.71385098557795,2.638683723248975,0.0,0.0,0.0,2.688795231468292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
