energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.658053129511093,2.7784998506507383,2.5940180673708566,0.0,0.0,0.0,2.6768570158442295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5784
0.013,2.658056950191093,2.778504169032058,2.59402197642651,0.0,0.0,0.0,2.67686103188322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.026,2.6580684123873346,2.77851712435866,2.594033703763185,0.0,0.0,0.0,2.676873080169726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.039,2.6580875165685076,2.7785387171784137,2.5940532498899374,0.0,0.0,0.0,2.676893161212286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0521,2.658114498885624,2.7785692144357617,2.594080856470908,0.0,0.0,0.0,2.6769215232640975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0651,2.6581489484970264,2.77860815181203,2.5941161032286444,0.0,0.0,0.0,2.6769577345125666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0781,2.658191043387167,2.778655730531762,2.59415917235392,0.0,0.0,0.0,2.6770019820909496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0911,2.658240785278049,2.7787119526079116,2.5942100657170446,0.0,0.0,0.0,2.677054267867668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1041,2.6582981762048252,2.7787768204195045,2.594268785528448,0.0,0.0,0.0,2.6771145940509258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1171,2.658363218516048,2.778850336711965,2.594335334338945,0.0,0.0,0.0,2.677182963188986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1301,2.658435914874019,2.7789325045974236,2.5944097150401015,0.0,0.0,0.0,2.6772593781705147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1432,2.658516916042911,2.77902405974785,2.594492593669907,0.0,0.0,0.0,2.6773445231535558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1562,2.6586049886767,2.7791236082476463,2.5945827085041477,0.0,0.0,0.0,2.6774371018094976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1692,2.65870072525869,2.77923181991531,2.5946806659832715,0.0,0.0,0.0,2.677537737052424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1822,2.6588041297120926,2.7793486993371515,2.594786470368365,0.0,0.0,0.0,2.6776464331392034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,2.6589152062758474,2.7794742514686845,2.5949001262634503,0.0,0.0,0.0,2.677763194669327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2082,2.6590339595051837,2.779608481635197,2.595021638616072,0.0,0.0,0.0,2.677888026585484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2212,2.6591603942721806,2.7797513955324824,2.5951510127179374,0.0,0.0,0.0,2.6780209341742007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2343,2.659295577276,2.7799041991056663,2.5952893404164863,0.0,0.0,0.0,2.6781630389327176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2473,2.6594374501982108,2.780064565957519,2.5954345158602017,0.0,0.0,0.0,2.678312177338644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2603,2.6595870212276993,2.7802336359117295,2.595587571049863,0.0,0.0,0.0,2.6784694093964307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
