energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8132764337448384,2.8132764337448384,2.788815957110355,0.0,0.0,0.0,2.805122941533344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2433000000000005
0.0189,2.813281132383449,2.813281132383449,2.7888203845219968,0.0,0.0,0.0,2.8051275497629646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0378,2.813295228499803,2.813295228499803,2.788833666927749,0.0,0.0,0.0,2.8051413746424516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0567,2.8133187226956142,2.8133187226956142,2.7888558048400895,0.0,0.0,0.0,2.805164416743773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0756,2.81335161597379,2.81335161597379,2.7888867991131545,0.0,0.0,0.0,2.8051966770202448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,2.8133939097385614,2.8133939097385614,2.788926650942905,0.0,0.0,0.0,2.8052381568066758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1134,2.8134456057957156,2.8134456057957156,2.788975361867229,0.0,0.0,0.0,2.805288857819553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1323,2.813506706352767,2.813506706352767,2.7890329337660926,0.0,0.0,0.0,2.8053487821572087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1512,2.8135772140192365,2.8135772140192365,2.789099368861737,0.0,0.0,0.0,2.8054179323000703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1701,2.8136571318070067,2.8136571318070067,2.789174669719028,0.0,0.0,0.0,2.805496311111014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.189,2.813746463130708,2.813746463130708,2.7892588392455466,0.0,0.0,0.0,2.805583921835654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2079,2.813845211808119,2.813845211808119,2.7893518806920623,0.0,0.0,0.0,2.8056807681027665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2268,2.813953382060669,2.813953382060669,2.7894537976528584,0.0,0.0,0.0,2.8057868539247317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2457,2.814070978513966,2.814070978513966,2.7895645940660523,0.0,0.0,0.0,2.8059021836979947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2646,2.8141980061983873,2.8141980061983873,2.789684274214108,0.0,0.0,0.0,2.8060267622036275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2835,2.8143344705496753,2.8143344705496753,2.789812842724234,0.0,0.0,0.0,2.8061605946078614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3024,2.81448037740972,2.81448037740972,2.7899503045689817,0.0,0.0,0.0,2.806303686462807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3213,2.8146357330271865,2.8146357330271865,2.7900966650667005,0.0,0.0,0.0,2.8064560437070245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
