energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5134850666315716,2.8405678839742334,2.6940692126077064,0.0,0.0,0.006753325493665361,2.682707387737837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3121
0.0146,2.5134876644287845,2.8405715210031097,2.6940725892403714,0.0,0.0,0.006753278767572026,2.682710591557422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0291,2.513495386845482,2.8405823327276023,2.6940826268983646,0.0,0.0,0.006753139863421177,2.6827201154904827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0437,2.5135083406267773,2.8406004686132897,2.6940994643709955,0.0,0.0,0.006752906853663363,2.682736091203688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,2.513526490691916,2.8406258795752652,2.6941230561291016,0.0,0.0,0.006752580356706147,2.682758475465428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0728,2.5135496599915044,2.8406583177766063,2.6941531721356835,0.0,0.0,0.0067521635401695266,2.6827870499679314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0874,2.513578168789323,2.8406982316560914,2.694190228800821,0.0,0.0,0.006751650619955041,2.682822209748745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.102,2.5136118759398514,2.840745423668306,2.6942340428127713,0.0,0.0,0.006751044107462802,2.682863780806976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1166,2.5136507824419576,2.840799895288951,2.6942846156496003,0.0,0.0,0.006750343951952935,2.68291176446017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1311,2.5136945696551196,2.8408612004868368,2.694341533325224,0.0,0.0,0.006749555851065507,2.6829657678223935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1457,2.513743842840383,2.8409301867706356,2.6944055828340123,0.0,0.0,0.0067486688684199655,2.683026537481677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1603,2.5137983192891475,2.8410064584421058,2.694476396956726,0.0,0.0,0.006747688043996101,2.6830937248959934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1748,2.5138575741338784,2.8410894207698227,2.6945534236847655,0.0,0.0,0.006746620976637828,2.683166806196155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1894,2.513922426442348,2.8411802206611645,2.6946377280598828,0.0,0.0,0.006745452858737653,2.683246791721132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.204,2.5139924873112873,2.8412783137654434,2.6947288048883378,0.0,0.0,0.006744190629815235,2.6833332019883565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2185,2.51406722553412,2.8413829564854565,2.694825963973455,0.0,0.0,0.006742843795582609,2.683425381997677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2331,2.514147674203941,2.8414955954501897,2.694930548728105,0.0,0.0,0.006741393666060638,2.683524606127412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2477,2.514233338120552,2.8416155375053327,2.6950419158329515,0.0,0.0,0.0067398490854709,2.6836302638196123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2622,2.5143235795981225,2.841741889980789,2.6951592366960058,0.0,0.0,0.006738221473484198,2.6837415687583057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2768,2.514419646031068,2.8418763996347307,2.695284133510009,0.0,0.0,0.006736488243672777,2.6838600597252693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2914,2.514520935791843,2.8420182243165746,2.695415824637344,0.0,0.0,0.006734660151545756,2.6839849949152543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.306,2.514627451892226,2.8421673684752626,2.6955543145371568,0.0,0.0,0.00673273704375699,2.6841163783015483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3205,2.5147384143257456,2.8423227401684534,2.695698589589883,0.0,0.0,0.006730732906902014,2.684253248028027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3351,2.5148553569146506,2.8424864873372666,2.6958506446915207,0.0,0.0,0.00672861992929666,2.6843974963144794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3497,2.51497753579533,2.842657568683695,2.69600951330243,0.0,0.0,0.0067264114290194995,2.6845482059271517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3642,2.515104064044786,2.8428347425463514,2.696174042761154,0.0,0.0,0.006724123328767472,2.6847042831174304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3788,2.515236690655173,2.8430204582784495,2.6963465080304982,0.0,0.0,0.006721723876047287,2.684867885654707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3934,2.515374564921286,2.843213524973554,2.696525803640207,0.0,0.0,0.006719228321175633,2.6850379645116824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4079,2.5155166927687644,2.8434125509042487,2.6967106375395042,0.0,0.0,0.006716654534861133,2.685213293737506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4225,2.515665038828674,2.84362028752851,2.6969035654531766,0.0,0.0,0.00671396679981217,2.6853962972701204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4371,2.515818645329326,2.8438353939991567,2.6971033426477424,0.0,0.0,0.006711182309975593,2.6855857939920753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4517,2.5159775168605973,2.844057877095172,2.69730997592418,0.0,0.0,0.006708300830873212,2.6857817899599827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4662,2.516140515982432,2.844286144272769,2.6975219866582574,0.0,0.0,0.006705342853143181,2.6859828823044865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4808,2.5163098958407484,2.844523351255104,2.6977423063714574,0.0,0.0,0.006702267327476502,2.6861918511557703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
