energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.341004233150725,4.341004233150725,4.015230230762402,0.0,0.0,0.0,4.232412899021284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6065
0.0199,4.3410280202384435,4.3410280202384435,4.015249467523587,0.0,0.0,0.0,4.232435169333491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0397,4.341098907036651,4.341098907036651,4.015306793925243,0.0,0.0,0.0,4.232501535999515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0596,4.3412176188292655,4.3412176188292655,4.01540279596621,0.0,0.0,0.0,4.232612677874914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0794,4.341382977854515,4.341382977854515,4.015536520296988,0.0,0.0,0.0,4.232767492002005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0993,4.34159667600537,4.34159667600537,4.015709333873486,0.0,0.0,0.0,4.232967561961408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1192,4.341858025653407,4.341858025653407,4.015920678982363,0.0,0.0,0.0,4.233212243429725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.139,4.342165388716859,4.342165388716859,4.01616922900246,0.0,0.0,0.0,4.2335000021453935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1589,4.342521910071762,4.342521910071762,4.016457524695519,0.0,0.0,0.0,4.233833781613014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1787,4.342924052698475,4.342924052698475,4.016782703205223,0.0,0.0,0.0,4.234210269534057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1986,4.343375931303255,4.343375931303255,4.017148088661901,0.0,0.0,0.0,4.234633317089471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2185,4.343875694101445,4.343875694101445,4.017552180198116,0.0,0.0,0.0,4.235101189467002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2383,4.344420534271121,4.344420534271121,4.017992704596393,0.0,0.0,0.0,4.235611257712878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
